Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,2529,2551,1641135,64469,AdaniEnt
15-May-25,2463.4,2519,1554801,106591,AdaniEnt
14-May-25,2444.9,2463,774441,46754,AdaniEnt
13-May-25,2425,2438.2,1815179,88886,AdaniEnt
12-May-25,2350,2425,2147039,89860,AdaniEnt
09-May-25,2240,2255,1006000,54744,AdaniEnt
08-May-25,2362,2270,1380069,77928,AdaniEnt
07-May-25,2315,2349,1012640,72371,AdaniEnt
06-May-25,2454,2350,1524692,76489,AdaniEnt
05-May-25,2312.6,2465,4227194,183049,AdaniEnt
02-May-25,2349.9,2290,1958739,97216,AdaniEnt
30-Apr-25,2331.4,2290,837464,52676,AdaniEnt
29-Apr-25,2392,2330.5,670730,43294,AdaniEnt
28-Apr-25,2346,2369.1,681421,48214,AdaniEnt
25-Apr-25,2450.1,2346,1414809,82782,AdaniEnt
24-Apr-25,2450,2441,596696,45640,AdaniEnt
23-Apr-25,2460,2446,672262,44335,AdaniEnt
22-Apr-25,2458.9,2442.9,766567,45565,AdaniEnt
21-Apr-25,2426.1,2440,782559,49163,AdaniEnt
17-Apr-25,2418,2414.8,1054797,65818,AdaniEnt
16-Apr-25,2400,2414.1,889949,49754,AdaniEnt
15-Apr-25,2375,2415.9,1145125,64533,AdaniEnt
11-Apr-25,2303.05,2318.75,981463,61931,AdaniEnt
09-Apr-25,2265.7,2243.45,1001633,56281,AdaniEnt
08-Apr-25,2270,2288.95,1224362,61791,AdaniEnt
07-Apr-25,2150.05,2222.9,1567177,91075,AdaniEnt
04-Apr-25,2394.95,2336.3,1219733,68843,AdaniEnt
03-Apr-25,2339.75,2414,1023200,59356,AdaniEnt
02-Apr-25,2339.75,2369,573928,44789,AdaniEnt
01-Apr-25,2312,2340,501942,38905,AdaniEnt
28-Mar-25,2376,2316.65,1838836,70667,AdaniEnt
27-Mar-25,2310,2363,1696042,81185,AdaniEnt
26-Mar-25,2324.9,2314,1078870,58779,AdaniEnt
25-Mar-25,2385,2319.5,763065,46534,AdaniEnt
24-Mar-25,2370,2370,1010184,39593,AdaniEnt
21-Mar-25,2343.8,2365,1101418,55299,AdaniEnt
20-Mar-25,2348,2338.05,2587051,55254,AdaniEnt
19-Mar-25,2319.95,2316.9,1030345,42002,AdaniEnt
18-Mar-25,2274,2304.55,878007,47968,AdaniEnt
17-Mar-25,2200,2251,927737,52613,AdaniEnt
13-Mar-25,2249,2222.45,750310,52311,AdaniEnt
12-Mar-25,2270,2236,1049076,56794,AdaniEnt
11-Mar-25,2223.15,2252.65,947079,54661,AdaniEnt
10-Mar-25,2245,2224.4,940113,57381,AdaniEnt
07-Mar-25,2249.95,2249.5,818806,44934,AdaniEnt
06-Mar-25,2260,2251,890270,81763,AdaniEnt
05-Mar-25,2153.95,2242,1370106,81480,AdaniEnt
04-Mar-25,2085.1,2147.6,852978,56864,AdaniEnt
03-Mar-25,2109,2122,1592611,105782,AdaniEnt
28-Feb-25,2107,2097.55,2373922,99109,AdaniEnt
27-Feb-25,2143.75,2108,941950,63169,AdaniEnt
25-Feb-25,2115.15,2130,802131,56102,AdaniEnt
24-Feb-25,2128.95,2114.9,1032294,73399,AdaniEnt
21-Feb-25,2190.45,2125,1540308,85375,AdaniEnt
20-Feb-25,2180.8,2178,1086670,74127,AdaniEnt
19-Feb-25,2166,2177,1203163,77627,AdaniEnt
