Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1410.9,1404.1,2777119,76581,AdaniPorts
15-May-25,1375.6,1401.5,3706424,128942,AdaniPorts
14-May-25,1380,1377,1557379,68596,AdaniPorts
13-May-25,1360.6,1370,3356599,113339,AdaniPorts
12-May-25,1360,1361.5,3662785,108208,AdaniPorts
09-May-25,1300,1313,2979366,117720,AdaniPorts
08-May-25,1340,1320,5077662,181619,AdaniPorts
07-May-25,1298.8,1337.5,3269847,111178,AdaniPorts
06-May-25,1350,1316.4,3604276,106576,AdaniPorts
05-May-25,1290,1346.5,14191797,306181,AdaniPorts
02-May-25,1255,1269.7,12024229,319276,AdaniPorts
30-Apr-25,1215.1,1215.8,1824334,69871,AdaniPorts
29-Apr-25,1212,1216.7,2381980,69608,AdaniPorts
28-Apr-25,1188.1,1207,2646406,102513,AdaniPorts
25-Apr-25,1236.3,1189.5,3628854,129403,AdaniPorts
24-Apr-25,1238,1236,2133285,69539,AdaniPorts
23-Apr-25,1240.1,1237,2580999,72145,AdaniPorts
22-Apr-25,1249.6,1228.2,2932537,95418,AdaniPorts
21-Apr-25,1259.4,1243.4,6049182,148403,AdaniPorts
17-Apr-25,1232.9,1261,4280765,138507,AdaniPorts
16-Apr-25,1210,1235.5,1909731,74756,AdaniPorts
15-Apr-25,1200,1212.8,3176522,108943,AdaniPorts
11-Apr-25,1163,1162,3536245,106358,AdaniPorts
09-Apr-25,1133.85,1135,1537177,86698,AdaniPorts
08-Apr-25,1135,1133.15,2423486,91657,AdaniPorts
07-Apr-25,1049.95,1119,2192949,117039,AdaniPorts
04-Apr-25,1196,1152,1785093,80561,AdaniPorts
03-Apr-25,1170.25,1201.3,1300511,56947,AdaniPorts
02-Apr-25,1182.4,1193.5,1232853,50998,AdaniPorts
01-Apr-25,1179,1176.5,1584541,72638,AdaniPorts
28-Mar-25,1197.7,1180.5,1670913,83630,AdaniPorts
27-Mar-25,1182,1201,2004036,80456,AdaniPorts
26-Mar-25,1183,1181,1676081,75984,AdaniPorts
25-Mar-25,1205,1179.7,2090037,88959,AdaniPorts
24-Mar-25,1196,1200.5,2135192,65546,AdaniPorts
21-Mar-25,1182,1189,3127446,74993,AdaniPorts
20-Mar-25,1185,1175,1919013,62423,AdaniPorts
19-Mar-25,1160,1171.7,2416781,70214,AdaniPorts
18-Mar-25,1149.9,1158,1865040,59885,AdaniPorts
17-Mar-25,1114.8,1137.8,1489541,64471,AdaniPorts
13-Mar-25,1135,1118.2,1358839,66258,AdaniPorts
12-Mar-25,1139,1123.65,2842848,74501,AdaniPorts
11-Mar-25,1137.3,1133.9,2399428,69467,AdaniPorts
10-Mar-25,1146,1137.5,2430740,85763,AdaniPorts
07-Mar-25,1136.2,1143.55,2211623,81854,AdaniPorts
06-Mar-25,1118.2,1130.8,4020627,137299,AdaniPorts
05-Mar-25,1056.8,1112.45,3785743,184169,AdaniPorts
04-Mar-25,1047.95,1056.8,1788886,110647,AdaniPorts
03-Mar-25,1074.95,1053.05,2274285,92207,AdaniPorts
28-Feb-25,1074,1072,2849138,110052,AdaniPorts
27-Feb-25,1083,1075.55,1819078,74533,AdaniPorts
25-Feb-25,1074.6,1078.7,1665355,75946,AdaniPorts
24-Feb-25,1083.25,1068.5,1669749,89560,AdaniPorts
21-Feb-25,1111.7,1082,2360177,93197,AdaniPorts
20-Feb-25,1074.2,1110,3714173,103951,AdaniPorts
19-Feb-25,1061.6,1082.05,1792268,74903,AdaniPorts
18-Feb-25,1082.9,1083.5,1715308,67297,AdaniPorts
17-Feb-25,1058.95,1085.1,2518527,90456,AdaniPorts
14-Feb-25,1120,1060.05,4565339,150700,AdaniPorts
13-Feb-25,1133.8,1107.9,3763868,119342,AdaniPorts
12-Feb-25,1140,1128.6,2862155,118065,AdaniPorts
11-Feb-25,1144.2,1138,4901591,126403,AdaniPorts
10-Feb-25,1150,1143,2415627,105605,AdaniPorts
07-Feb-25,1160,1145.55,4079540,115028,AdaniPorts
06-Feb-25,1155.6,1166.1,6263278,126748,AdaniPorts
05-Feb-25,1126,1147.5,2979646,110274,AdaniPorts
04-Feb-25,1100,1123.2,4071098,164944,AdaniPorts
03-Feb-25,1084,1086.9,3961203,139581,AdaniPorts
01-Feb-25,1105.9,1082,4919797,128939,AdaniPorts
31-Jan-25,1085,1099,4659891,154887,AdaniPorts
30-Jan-25,1103.9,1074,14097862,359463,AdaniPorts
29-Jan-25,1085,1098,4603700,96058,AdaniPorts
28-Jan-25,1087,1085,2404643,133063,AdaniPorts
27-Jan-25,1085.1,1081.15,2371555,117596,AdaniPorts
24-Jan-25,1104.15,1093.5,2400140,87932,AdaniPorts
23-Jan-25,1102.25,1106.85,1968815,92800,AdaniPorts
22-Jan-25,1115.5,1101.9,1906032,89487,AdaniPorts
21-Jan-25,1150,1110.9,3134022,124723,AdaniPorts
20-Jan-25,1172,1148.45,1312101,59777,AdaniPorts
