Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,7080.00,7000.00,270773.00,35087.00,Apollo_Hosp
15-May-25,6942.00,7086.50,656146.00,81911.00,Apollo_Hosp
14-May-25,6930.00,6918.00,324593.00,37449.00,Apollo_Hosp
13-May-25,6908.00,6926.00,323598.00,49744.00,Apollo_Hosp
12-May-25,6800.00,6920.00,237009.00,37188.00,Apollo_Hosp
09-May-25,6735.50,6724.00,428193.00,49000.00,Apollo_Hosp
08-May-25,6950.00,6815.00,383274.00,58211.00,Apollo_Hosp
07-May-25,6970.00,6970.00,338311.00,36369.00,Apollo_Hosp
06-May-25,6999.50,6994.50,292595.00,37108.00,Apollo_Hosp
05-May-25,6960.00,6970.00,259097.00,32443.00,Apollo_Hosp
02-May-25,6922.00,6926.50,269757.00,40701.00,Apollo_Hosp
30-Apr-25,6992.00,6970.00,499567.00,43279.00,Apollo_Hosp
29-Apr-25,7049.00,6990.00,174253.00,31643.00,Apollo_Hosp
28-Apr-25,6954.50,7033.00,379519.00,51170.00,Apollo_Hosp
25-Apr-25,7169.50,6932.00,550158.00,48287.00,Apollo_Hosp
24-Apr-25,7141.50,7130.00,277769.00,38007.00,Apollo_Hosp
23-Apr-25,7088.50,7110.50,287593.00,46415.00,Apollo_Hosp
22-Apr-25,7141.50,7071.50,305540.00,27612.00,Apollo_Hosp
21-Apr-25,7150.00,7137.00,244570.00,43111.00,Apollo_Hosp
17-Apr-25,7038.00,7075.00,533349.00,74246.00,Apollo_Hosp
16-Apr-25,6870.00,7010.00,621996.00,99827.00,Apollo_Hosp
15-Apr-25,6965.00,6896.50,778401.00,82124.00,Apollo_Hosp
11-Apr-25,6822.70,6798.00,652003.00,56646.00,Apollo_Hosp
09-Apr-25,6665.00,6840.85,680834.00,58855.00,Apollo_Hosp
08-Apr-25,6725.00,6748.05,578124.00,60815.00,Apollo_Hosp
07-Apr-25,6565.00,6714.50,744140.00,88565.00,Apollo_Hosp
04-Apr-25,6672.00,6735.00,279897.00,49107.00,Apollo_Hosp
03-Apr-25,6675.05,6670.05,312519.00,35390.00,Apollo_Hosp
02-Apr-25,6632.30,6720.35,292940.00,32949.00,Apollo_Hosp
01-Apr-25,6599.00,6632.25,319668.00,37045.00,Apollo_Hosp
28-Mar-25,6492.05,6614.00,413873.00,62767.00,Apollo_Hosp
27-Mar-25,6500.05,6470.00,728926.00,86671.00,Apollo_Hosp
26-Mar-25,6653.80,6529.10,281646.00,57614.00,Apollo_Hosp
25-Mar-25,6596.50,6650.00,223679.00,33944.00,Apollo_Hosp
24-Mar-25,6649.40,6630.00,390002.00,55252.00,Apollo_Hosp
21-Mar-25,6494.00,6615.00,496635.00,45117.00,Apollo_Hosp
20-Mar-25,6465.00,6473.30,457285.00,52921.00,Apollo_Hosp
19-Mar-25,6275.25,6430.00,579880.00,58740.00,Apollo_Hosp
18-Mar-25,6209.90,6240.35,308477.00,40776.00,Apollo_Hosp
17-Mar-25,6002.00,6160.00,287639.00,34958.00,Apollo_Hosp
13-Mar-25,6155.10,6095.20,247628.00,33961.00,Apollo_Hosp
12-Mar-25,6134.10,6140.00,250139.00,35934.00,Apollo_Hosp
11-Mar-25,6130.00,6134.10,526709.00,69621.00,Apollo_Hosp
10-Mar-25,6206.40,6150.00,266044.00,30485.00,Apollo_Hosp
07-Mar-25,6292.25,6207.80,299433.00,42613.00,Apollo_Hosp
06-Mar-25,6255.00,6279.00,284475.00,49711.00,Apollo_Hosp
05-Mar-25,6200.00,6223.00,345922.00,40891.00,Apollo_Hosp
04-Mar-25,6133.00,6199.95,445246.00,41698.00,Apollo_Hosp
03-Mar-25,6025.60,6182.00,373515.00,81757.00,Apollo_Hosp
28-Feb-25,6145.05,6085.00,845516.00,75645.00,Apollo_Hosp
27-Feb-25,6261.00,6170.00,397857.00,75758.00,Apollo_Hosp
25-Feb-25,6251.00,6255.00,421160.00,49887.00,Apollo_Hosp
24-Feb-25,6275.00,6255.00,458224.00,45968.00,Apollo_Hosp
21-Feb-25,6362.30,6303.10,220428.00,41282.00,Apollo_Hosp
20-Feb-25,6384.25,6394.00,165304.00,32942.00,Apollo_Hosp
19-Feb-25,6348.25,6413.00,195067.00,31118.00,Apollo_Hosp
18-Feb-25,6320.00,6358.00,220118.00,43260.00,Apollo_Hosp
17-Feb-25,6150.00,6295.00,482329.00,84163.00,Apollo_Hosp
14-Feb-25,6377.25,6256.75,320088.00,59915.00,Apollo_Hosp
13-Feb-25,6372.25,6365.95,636246.00,86464.00,Apollo_Hosp
12-Feb-25,6349.60,6381.00,1133586.00,149886.00,Apollo_Hosp
11-Feb-25,6799.90,6314.00,1728723.00,235653.00,Apollo_Hosp
10-Feb-25,6817.20,6792.95,213808.00,46186.00,Apollo_Hosp
07-Feb-25,6921.45,6804.00,259335.00,52962.00,Apollo_Hosp
06-Feb-25,6837.40,6880.00,334197.00,47606.00,Apollo_Hosp
05-Feb-25,6826.15,6958.00,389639.00,46679.00,Apollo_Hosp
04-Feb-25,6785.00,6786.00,223642.00,36953.00,Apollo_Hosp
03-Feb-25,6781.60,6792.00,250589.00,47631.00,Apollo_Hosp
01-Feb-25,6810.30,6825.00,117096.00,17817.00,Apollo_Hosp
31-Jan-25,6822.25,6832.00,187712.00,25591.00,Apollo_Hosp
30-Jan-25,6786.25,6840.00,204648.00,38769.00,Apollo_Hosp
29-Jan-25,6741.00,6772.05,146288.00,32729.00,Apollo_Hosp
28-Jan-25,6699.00,6720.10,202194.00,37212.00,Apollo_Hosp
27-Jan-25,6700.00,6698.40,191705.00,34020.00,Apollo_Hosp
24-Jan-25,6915.25,6742.00,317194.00,47547.00,Apollo_Hosp
23-Jan-25,6892.25,6941.85,271085.00,51902.00,Apollo_Hosp
22-Jan-25,6908.00,6900.00,247081.00,41319.00,Apollo_Hosp
21-Jan-25,6838.00,6925.00,799900.00,88051.00,Apollo_Hosp
20-Jan-25,6901.00,6767.00,120356.00,26704.00,Apollo_Hosp
17-Jan-25,6819.95,6813.45,166710.00,24619.00,Apollo_Hosp
16-Jan-25,6760.00,6800.95,579821.00,84362.00,Apollo_Hosp
15-Jan-25,6749.60,6727.90,547360.00,71429.00,Apollo_Hosp
14-Jan-25,6854.60,6716.00,362659.00,53488.00,Apollo_Hosp
13-Jan-25,7000.00,6852.05,431086.00,55878.00,Apollo_Hosp
10-Jan-25,7090.00,7025.10,185381.00,37098.00,Apollo_Hosp
09-Jan-25,7140.00,7102.00,305521.00,46494.00,Apollo_Hosp
08-Jan-25,7448.75,7135.05,450295.00,70699.00,Apollo_Hosp
07-Jan-25,7466.25,7430.00,398234.00,49799.00,Apollo_Hosp
06-Jan-25,7298.35,7440.00,527272.00,63050.00,Apollo_Hosp
03-Jan-25,7427.95,7320.00,180636.00,30041.00,Apollo_Hosp
02-Jan-25,7405.00,7405.10,265991.00,38557.00,Apollo_Hosp
01-Jan-25,7320.00,7370.00,341399.00,49129.00,Apollo_Hosp
31-Dec-24,7305.60,7296.00,212227.00,34635.00,Apollo_Hosp
30-Dec-24,7240.00,7303.00,428884.00,52011.00,Apollo_Hosp
27-Dec-24,7261.15,7250.00,189089.00,32337.00,Apollo_Hosp
26-Dec-24,7272.20,7252.00,116439.00,26463.00,Apollo_Hosp
24-Dec-24,7260.00,7221.00,146814.00,34052.00,Apollo_Hosp
23-Dec-24,7251.10,7250.00,179062.00,41082.00,Apollo_Hosp
20-Dec-24,7324.80,7244.90,349055.00,44658.00,Apollo_Hosp
19-Dec-24,7148.00,7312.90,292899.00,41943.00,Apollo_Hosp
18-Dec-24,7233.25,7239.00,253532.00,40577.00,Apollo_Hosp
17-Dec-24,7227.00,7225.00,237831.00,31224.00,Apollo_Hosp
16-Dec-24,7251.65,7243.45,219812.00,32330.00,Apollo_Hosp
13-Dec-24,7221.00,7256.35,314999.00,51174.00,Apollo_Hosp
12-Dec-24,7300.00,7230.45,396742.00,48637.00,Apollo_Hosp
11-Dec-24,7255.70,7309.15,391192.00,46988.00,Apollo_Hosp
10-Dec-24,7228.80,7263.00,333300.00,43981.00,Apollo_Hosp
09-Dec-24,7162.75,7203.00,203674.00,34025.00,Apollo_Hosp
06-Dec-24,7263.00,7228.85,189048.00,36063.00,Apollo_Hosp
05-Dec-24,7257.25,7257.00,510951.00,82092.00,Apollo_Hosp
04-Dec-24,7216.65,7225.00,604278.00,69092.00,Apollo_Hosp
03-Dec-24,7104.40,7130.00,351470.00,44985.00,Apollo_Hosp
02-Dec-24,6858.00,7064.25,579743.00,60138.00,Apollo_Hosp
29-Nov-24,6867.05,6849.00,410883.00,36692.00,Apollo_Hosp
28-Nov-24,6982.70,6867.90,412343.00,66945.00,Apollo_Hosp
27-Nov-24,7076.55,6982.00,227250.00,35125.00,Apollo_Hosp
26-Nov-24,7095.00,7058.60,179222.00,37285.00,Apollo_Hosp
25-Nov-24,6980.00,7115.60,639047.00,82077.00,Apollo_Hosp
22-Nov-24,6751.60,6902.00,498633.00,58026.00,Apollo_Hosp
21-Nov-24,6623.55,6745.95,258574.00,54959.00,Apollo_Hosp
19-Nov-24,6750.00,6693.60,290018.00,52253.00,Apollo_Hosp
18-Nov-24,6874.45,6747.00,268706.00,47404.00,Apollo_Hosp
14-Nov-24,6860.00,6857.50,192648.00,42103.00,Apollo_Hosp
