Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,2333.90,2353.00,785113.00,54809.00,AsianPaint
15-May-25,2285.00,2331.40,1675016.00,113120.00,AsianPaint
14-May-25,2319.00,2286.00,1549845.00,116059.00,AsianPaint
13-May-25,2354.00,2322.60,1220489.00,81010.00,AsianPaint
12-May-25,2330.00,2339.30,940135.00,47346.00,AsianPaint
09-May-25,2246.60,2307.90,1503010.00,92881.00,AsianPaint
08-May-25,2322.00,2300.00,2292261.00,135625.00,AsianPaint
07-May-25,2388.00,2322.00,1711760.00,109336.00,AsianPaint
06-May-25,2442.00,2414.40,702819.00,43489.00,AsianPaint
05-May-25,2423.10,2441.00,1229593.00,70327.00,AsianPaint
02-May-25,2425.00,2406.00,928084.00,58084.00,AsianPaint
30-Apr-25,2450.00,2416.50,1479678.00,77845.00,AsianPaint
29-Apr-25,2460.00,2456.10,1235066.00,63588.00,AsianPaint
28-Apr-25,2419.90,2446.20,554922.00,52292.00,AsianPaint
25-Apr-25,2464.30,2425.70,702217.00,60107.00,AsianPaint
24-Apr-25,2450.00,2466.40,1203452.00,77050.00,AsianPaint
23-Apr-25,2437.00,2447.50,744696.00,53899.00,AsianPaint
22-Apr-25,2445.00,2428.00,543658.00,52528.00,AsianPaint
21-Apr-25,2465.90,2444.80,541913.00,43480.00,AsianPaint
17-Apr-25,2459.90,2465.00,885842.00,76147.00,AsianPaint
16-Apr-25,2405.10,2456.00,1166700.00,63155.00,AsianPaint
15-Apr-25,2414.90,2419.00,1141279.00,60826.00,AsianPaint
11-Apr-25,2439.50,2393.00,968152.00,67208.00,AsianPaint
09-Apr-25,2400.00,2409.15,1186947.00,81370.00,AsianPaint
08-Apr-25,2356.00,2394.20,1876867.00,115340.00,AsianPaint
07-Apr-25,2190.00,2344.00,1745827.00,139328.00,AsianPaint
04-Apr-25,2349.40,2352.50,1163188.00,59655.00,AsianPaint
03-Apr-25,2295.00,2347.70,608846.00,46641.00,AsianPaint
02-Apr-25,2328.00,2308.95,792695.00,37627.00,AsianPaint
01-Apr-25,2342.00,2316.70,970583.00,60637.00,AsianPaint
28-Mar-25,2343.95,2326.25,1281871.00,67780.00,AsianPaint
27-Mar-25,2315.00,2340.00,1497869.00,80747.00,AsianPaint
26-Mar-25,2340.00,2315.00,1934492.00,91980.00,AsianPaint
25-Mar-25,2325.00,2324.00,1828005.00,89092.00,AsianPaint
24-Mar-25,2302.40,2318.50,1100353.00,58769.00,AsianPaint
21-Mar-25,2291.65,2301.10,1624115.00,72528.00,AsianPaint
20-Mar-25,2290.00,2282.80,1166849.00,66693.00,AsianPaint
19-Mar-25,2274.00,2281.00,663342.00,37919.00,AsianPaint
18-Mar-25,2230.65,2275.00,816364.00,59044.00,AsianPaint
17-Mar-25,2205.00,2222.00,838016.00,46143.00,AsianPaint
13-Mar-25,2255.25,2228.00,747500.00,56228.00,AsianPaint
12-Mar-25,2287.40,2250.00,749232.00,43263.00,AsianPaint
11-Mar-25,2274.00,2286.00,601228.00,45071.00,AsianPaint
10-Mar-25,2270.00,2273.60,1072395.00,67199.00,AsianPaint
07-Mar-25,2267.70,2262.10,921429.00,53822.00,AsianPaint
06-Mar-25,2189.85,2267.00,1985096.00,129082.00,AsianPaint
05-Mar-25,2132.00,2168.40,1535212.00,82283.00,AsianPaint
04-Mar-25,2154.05,2128.00,2181015.00,100470.00,AsianPaint
03-Mar-25,2179.75,2180.40,959075.00,74350.00,AsianPaint
28-Feb-25,2210.00,2181.20,1701193.00,99936.00,AsianPaint
27-Feb-25,2214.00,2211.05,1027196.00,95543.00,AsianPaint
25-Feb-25,2246.20,2218.10,947724.00,75396.00,AsianPaint
24-Feb-25,2245.90,2243.90,765060.00,73952.00,AsianPaint
21-Feb-25,2249.05,2254.00,755633.00,45219.00,AsianPaint
20-Feb-25,2239.10,2247.90,637444.00,51610.00,AsianPaint
19-Feb-25,2237.60,2239.70,645236.00,55477.00,AsianPaint
18-Feb-25,2248.00,2232.65,735853.00,64195.00,AsianPaint
17-Feb-25,2231.30,2249.50,923979.00,59539.00,AsianPaint
14-Feb-25,2236.40,2224.95,1380052.00,96135.00,AsianPaint
13-Feb-25,2228.25,2232.00,921923.00,85854.00,AsianPaint
12-Feb-25,2241.85,2228.00,1181718.00,100126.00,AsianPaint
11-Feb-25,2279.00,2238.00,1607952.00,109879.00,AsianPaint
10-Feb-25,2271.05,2270.00,1181565.00,84314.00,AsianPaint
07-Feb-25,2266.00,2273.80,1336756.00,82789.00,AsianPaint
06-Feb-25,2287.20,2266.00,1285982.00,87116.00,AsianPaint
05-Feb-25,2269.00,2274.20,3474657.00,166103.00,AsianPaint
04-Feb-25,2304.65,2350.00,5373740.00,255010.00,AsianPaint
03-Feb-25,2351.15,2291.15,1070392.00,91492.00,AsianPaint
01-Feb-25,2312.00,2351.85,1318652.00,70668.00,AsianPaint
31-Jan-25,2255.00,2305.00,1292925.00,77356.00,AsianPaint
30-Jan-25,2223.15,2255.00,1155749.00,64226.00,AsianPaint
29-Jan-25,2241.80,2223.70,1281122.00,75757.00,AsianPaint
28-Jan-25,2260.00,2239.00,897503.00,72849.00,AsianPaint
27-Jan-25,2255.30,2249.50,1097947.00,76944.00,AsianPaint
24-Jan-25,2283.00,2263.50,543217.00,49773.00,AsianPaint
23-Jan-25,2262.10,2278.40,1142498.00,74388.00,AsianPaint
22-Jan-25,2270.00,2260.05,835523.00,64392.00,AsianPaint
21-Jan-25,2280.55,2262.80,1410331.00,98781.00,AsianPaint
20-Jan-25,2272.25,2279.15,555730.00,56946.00,AsianPaint
17-Jan-25,2225.65,2257.55,878871.00,59699.00,AsianPaint
16-Jan-25,2239.00,2219.00,1936132.00,106569.00,AsianPaint
15-Jan-25,2249.00,2230.00,1308999.00,94121.00,AsianPaint
14-Jan-25,2269.00,2240.00,1317678.00,87016.00,AsianPaint
13-Jan-25,2291.75,2250.70,1181928.00,96556.00,AsianPaint
10-Jan-25,2335.60,2318.00,1214382.00,61912.00,AsianPaint
09-Jan-25,2341.90,2352.00,1362314.00,109001.00,AsianPaint
08-Jan-25,2287.05,2336.50,1439655.00,80037.00,AsianPaint
07-Jan-25,2272.00,2292.00,740798.00,60009.00,AsianPaint
06-Jan-25,2335.95,2270.00,1191044.00,104012.00,AsianPaint
03-Jan-25,2344.00,2333.80,1355358.00,89891.00,AsianPaint
02-Jan-25,2314.00,2338.00,1342922.00,84907.00,AsianPaint
01-Jan-25,2280.00,2304.80,1067329.00,67605.00,AsianPaint
31-Dec-24,2280.00,2284.20,685486.00,55912.00,AsianPaint
30-Dec-24,2280.25,2272.50,1076978.00,66326.00,AsianPaint
27-Dec-24,2270.25,2273.75,822000.00,53458.00,AsianPaint
26-Dec-24,2284.00,2261.50,1267383.00,90752.00,AsianPaint
24-Dec-24,2282.10,2285.00,601634.00,45905.00,AsianPaint
23-Dec-24,2300.00,2275.30,855677.00,67772.00,AsianPaint
20-Dec-24,2297.00,2280.00,1719699.00,115146.00,AsianPaint
19-Dec-24,2325.00,2295.00,2784410.00,173134.00,AsianPaint
18-Dec-24,2356.80,2345.00,855724.00,62975.00,AsianPaint
17-Dec-24,2388.00,2356.80,1258249.00,92530.00,AsianPaint
16-Dec-24,2419.95,2396.00,987790.00,77582.00,AsianPaint
13-Dec-24,2389.55,2409.75,1150900.00,120910.00,AsianPaint
12-Dec-24,2413.00,2388.00,1089049.00,82311.00,AsianPaint
11-Dec-24,2399.75,2417.60,1337745.00,83254.00,AsianPaint
10-Dec-24,2399.90,2392.60,1657888.00,125397.00,AsianPaint
09-Dec-24,2438.15,2392.90,2301291.00,192815.00,AsianPaint
06-Dec-24,2468.00,2428.80,1736042.00,151112.00,AsianPaint
05-Dec-24,2465.00,2457.00,3190866.00,170647.00,AsianPaint
04-Dec-24,2478.90,2459.00,1005016.00,79840.00,AsianPaint
03-Dec-24,2494.00,2470.30,1344774.00,70847.00,AsianPaint
02-Dec-24,2479.60,2478.00,914674.00,59229.00,AsianPaint
29-Nov-24,2458.05,2478.00,1030935.00,75877.00,AsianPaint
28-Nov-24,2500.00,2460.90,1506233.00,127061.00,AsianPaint
27-Nov-24,2517.50,2490.00,864733.00,65183.00,AsianPaint
26-Nov-24,2459.90,2505.70,1152258.00,63301.00,AsianPaint
25-Nov-24,2505.00,2470.70,1857124.00,84364.00,AsianPaint
22-Nov-24,2430.00,2469.75,3805854.00,127561.00,AsianPaint
21-Nov-24,2454.70,2427.00,1377624.00,151130.00,AsianPaint
19-Nov-24,2488.00,2483.55,941558.00,109986.00,AsianPaint
18-Nov-24,2520.00,2482.00,945477.00,143861.00,AsianPaint
14-Nov-24,2482.80,2487.90,1206975.00,120096.00,AsianPaint
13-Nov-24,2470.00,2478.00,1803849.00,155496.00,AsianPaint
12-Nov-24,2535.00,2470.30,3445983.00,315876.00,AsianPaint
11-Nov-24,2565.05,2547.80,8855022.00,531328.00,AsianPaint
08-Nov-24,2842.85,2767.00,2060486.00,170154.00,AsianPaint
07-Nov-24,2900.00,2846.00,1112515.00,132834.00,AsianPaint
06-Nov-24,2890.50,2903.00,1817087.00,192927.00,AsianPaint
05-Nov-24,2895.00,2890.00,935516.00,88027.00,AsianPaint
04-Nov-24,2962.15,2911.45,1146008.00,80106.00,AsianPaint
01-Nov-24,2958.00,2936.00,112249.00,14114.00,AsianPaint
31-Oct-24,2994.20,2926.35,1031171.00,86563.00,AsianPaint
30-Oct-24,3006.00,2996.30,812725.00,59712.00,AsianPaint
29-Oct-24,3020.00,2992.00,613459.00,54559.00,AsianPaint
28-Oct-24,2987.90,3004.00,504961.00,42844.00,AsianPaint
25-Oct-24,2975.50,2960.00,1047769.00,83131.00,AsianPaint
24-Oct-24,2989.70,2975.00,571259.00,88357.00,AsianPaint
23-Oct-24,2999.95,2995.00,624689.00,46783.00,AsianPaint
22-Oct-24,3054.00,3010.85,541838.00,61303.00,AsianPaint
21-Oct-24,3007.05,3043.00,806970.00,64693.00,AsianPaint
18-Oct-24,3057.00,2998.85,899318.00,74852.00,AsianPaint
17-Oct-24,3082.90,3055.00,674481.00,49764.00,AsianPaint
16-Oct-24,3088.00,3078.00,764001.00,51357.00,AsianPaint
15-Oct-24,3075.00,3075.00,1242322.00,76416.00,AsianPaint
14-Oct-24,3037.00,3040.00,716011.00,65593.00,AsianPaint
11-Oct-24,3059.20,3042.95,976017.00,65051.00,AsianPaint
10-Oct-24,3090.05,3065.00,1161933.00,97292.00,AsianPaint
09-Oct-24,3095.55,3086.55,1225598.00,89592.00,AsianPaint
08-Oct-24,3058.00,3098.00,817718.00,80023.00,AsianPaint
07-Oct-24,3075.00,3069.90,909812.00,91414.00,AsianPaint
04-Oct-24,3135.00,3073.85,1551818.00,141806.00,AsianPaint
03-Oct-24,3192.30,3152.00,1741363.00,169211.00,AsianPaint
01-Oct-24,3317.00,3275.00,968660.00,70952.00,AsianPaint
30-Sep-24,3310.75,3320.00,1088162.00,82479.00,AsianPaint
27-Sep-24,3290.95,3308.00,1315996.00,98063.00,AsianPaint
26-Sep-24,3250.00,3276.60,951080.00,79224.00,AsianPaint
25-Sep-24,3252.00,3240.00,740636.00,70336.00,AsianPaint
24-Sep-24,3277.45,3249.50,1057933.00,61806.00,AsianPaint
23-Sep-24,3316.95,3274.00,522775.00,49884.00,AsianPaint
