Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1206.00,1209.00,4016269.00,115311.00,AxisBank
15-May-25,1197.00,1206.80,6705748.00,174483.00,AxisBank
14-May-25,1195.90,1195.00,4084921.00,94453.00,AxisBank
13-May-25,1205.20,1193.30,5569926.00,143677.00,AxisBank
12-May-25,1185.00,1204.50,7616208.00,170402.00,AxisBank
09-May-25,1160.00,1153.00,5379571.00,134431.00,AxisBank
08-May-25,1170.00,1170.00,9912347.00,144531.00,AxisBank
07-May-25,1159.00,1163.00,4263817.00,116326.00,AxisBank
06-May-25,1178.00,1159.00,5348267.00,166692.00,AxisBank
05-May-25,1190.00,1174.10,7236056.00,168773.00,AxisBank
02-May-25,1182.10,1180.60,6567678.00,161531.00,AxisBank
30-Apr-25,1185.10,1183.50,6288257.00,168279.00,AxisBank
29-Apr-25,1194.00,1189.60,6074520.00,181038.00,AxisBank
28-Apr-25,1166.30,1191.30,5523502.00,121834.00,AxisBank
25-Apr-25,1177.00,1165.30,17243807.00,333692.00,AxisBank
24-Apr-25,1199.10,1208.50,9078137.00,136986.00,AxisBank
23-Apr-25,1225.30,1206.00,9433911.00,148975.00,AxisBank
22-Apr-25,1230.40,1215.20,8461710.00,235824.00,AxisBank
21-Apr-25,1202.00,1220.90,15166580.00,282053.00,AxisBank
17-Apr-25,1155.60,1190.10,13446336.00,250174.00,AxisBank
16-Apr-25,1122.70,1161.00,12836428.00,276884.00,AxisBank
15-Apr-25,1090.00,1115.50,9320299.00,181266.00,AxisBank
11-Apr-25,1063.30,1068.75,8144072.00,137579.00,AxisBank
09-Apr-25,1073.10,1063.40,6690201.00,154579.00,AxisBank
08-Apr-25,1061.00,1078.00,8723357.00,226367.00,AxisBank
07-Apr-25,1035.00,1052.00,9720457.00,298776.00,AxisBank
04-Apr-25,1081.50,1090.10,6059991.00,128117.00,AxisBank
03-Apr-25,1078.90,1089.90,5345660.00,182207.00,AxisBank
02-Apr-25,1091.70,1086.20,4065344.00,119257.00,AxisBank
01-Apr-25,1093.20,1085.20,6638140.00,243314.00,AxisBank
28-Mar-25,1098.40,1101.00,4921190.00,126540.00,AxisBank
27-Mar-25,1092.00,1098.00,8508917.00,143198.00,AxisBank
26-Mar-25,1115.00,1094.00,7127060.00,180359.00,AxisBank
25-Mar-25,1109.95,1109.00,11720528.00,190217.00,AxisBank
24-Mar-25,1082.00,1099.00,8284863.00,131231.00,AxisBank
21-Mar-25,1054.35,1075.55,6848565.00,104946.00,AxisBank
20-Mar-25,1056.25,1052.00,3742644.00,106266.00,AxisBank
19-Mar-25,1047.80,1051.50,4822365.00,116632.00,AxisBank
18-Mar-25,1044.15,1045.00,7365940.00,144396.00,AxisBank
17-Mar-25,1011.10,1034.00,5938668.00,176948.00,AxisBank
13-Mar-25,1015.00,1010.30,4004140.00,93202.00,AxisBank
12-Mar-25,1025.20,1010.95,7504702.00,258740.00,AxisBank
11-Mar-25,1030.40,1026.00,4771085.00,229713.00,AxisBank
10-Mar-25,1036.00,1035.30,5995655.00,134845.00,AxisBank
07-Mar-25,1033.70,1038.00,7597321.00,190760.00,AxisBank
06-Mar-25,1022.60,1034.00,7861120.00,185457.00,AxisBank
05-Mar-25,1003.00,1014.15,5133873.00,97572.00,AxisBank
04-Mar-25,1001.10,1003.00,5786420.00,202534.00,AxisBank
03-Mar-25,1017.05,1006.00,6763184.00,251708.00,AxisBank
28-Feb-25,1014.80,1015.60,15026849.00,259384.00,AxisBank
27-Feb-25,1007.65,1017.45,9777690.00,176924.00,AxisBank
25-Feb-25,1004.00,1008.75,5708975.00,123245.00,AxisBank
24-Feb-25,1001.35,1010.40,4265454.00,124743.00,AxisBank
21-Feb-25,1012.00,1005.50,5019937.00,107764.00,AxisBank
20-Feb-25,1008.40,1019.00,5011212.00,128195.00,AxisBank
19-Feb-25,991.65,1009.40,6401381.00,136108.00,AxisBank
