Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,8350.00,8491.00,483122.00,54407.00,BajajAuto
15-May-25,8135.00,8335.00,497959.00,85429.00,BajajAuto
14-May-25,8090.00,8095.50,225717.00,35513.00,BajajAuto
13-May-25,8039.50,8066.50,407395.00,57904.00,BajajAuto
12-May-25,7800.00,8047.00,296774.00,40508.00,BajajAuto
09-May-25,7620.00,7711.50,248982.00,47790.00,BajajAuto
08-May-25,7850.50,7670.50,461725.00,70938.00,BajajAuto
07-May-25,7915.50,7845.00,459640.00,55124.00,BajajAuto
06-May-25,7930.00,7926.50,270568.00,39935.00,BajajAuto
05-May-25,7869.50,7905.00,250175.00,36482.00,BajajAuto
02-May-25,8000.00,7809.00,455898.00,74875.00,BajajAuto
30-Apr-25,8060.00,8015.00,447067.00,39138.00,BajajAuto
29-Apr-25,8136.50,8088.50,228383.00,31599.00,BajajAuto
28-Apr-25,8034.00,8097.50,282481.00,30651.00,BajajAuto
25-Apr-25,8225.00,8010.50,508224.00,51578.00,BajajAuto
24-Apr-25,8260.00,8215.00,322100.00,44141.00,BajajAuto
23-Apr-25,8111.00,8229.00,598686.00,59699.00,BajajAuto
22-Apr-25,8186.00,8135.00,394636.00,43964.00,BajajAuto
21-Apr-25,8010.00,8230.00,285132.00,45682.00,BajajAuto
17-Apr-25,7994.00,8008.00,274331.00,53694.00,BajajAuto
16-Apr-25,7999.00,7947.00,294161.00,41575.00,BajajAuto
15-Apr-25,8000.00,7984.50,387999.00,48741.00,BajajAuto
11-Apr-25,7719.50,7779.00,290737.00,43501.00,BajajAuto
09-Apr-25,7525.45,7576.45,261256.00,40615.00,BajajAuto
08-Apr-25,7384.50,7519.95,259199.00,43557.00,BajajAuto
07-Apr-25,7300.00,7322.05,469629.00,72993.00,BajajAuto
04-Apr-25,7880.00,7699.80,461228.00,44664.00,BajajAuto
03-Apr-25,7940.05,7909.75,470005.00,52563.00,BajajAuto
02-Apr-25,7962.00,8075.00,237191.00,33808.00,BajajAuto
01-Apr-25,7631.00,7975.00,283618.00,40125.00,BajajAuto
28-Mar-25,7970.40,7859.95,392400.00,51307.00,BajajAuto
