Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,2054.00,2036.00,1568556.00,64803.00,Bajaj_Finsv
15-May-25,2015.10,2042.00,2640223.00,133748.00,Bajaj_Finsv
14-May-25,2028.90,2019.90,1670853.00,56885.00,Bajaj_Finsv
13-May-25,2046.90,2022.90,2217985.00,104157.00,Bajaj_Finsv
12-May-25,2024.90,2048.00,1057561.00,55915.00,Bajaj_Finsv
09-May-25,1970.00,1975.00,1207361.00,80510.00,Bajaj_Finsv
08-May-25,2032.00,2000.00,1697652.00,92264.00,Bajaj_Finsv
07-May-25,2011.30,2030.50,1078158.00,66555.00,Bajaj_Finsv
06-May-25,2028.90,2032.00,1698230.00,81535.00,Bajaj_Finsv
05-May-25,1964.90,2029.00,2072898.00,109841.00,Bajaj_Finsv
02-May-25,1955.00,1954.00,2236491.00,131044.00,Bajaj_Finsv
30-Apr-25,2018.20,1951.00,4684518.00,270995.00,Bajaj_Finsv
29-Apr-25,2061.00,2063.80,2119823.00,129661.00,Bajaj_Finsv
28-Apr-25,2040.00,2050.00,6311008.00,94363.00,Bajaj_Finsv
25-Apr-25,2105.00,2045.00,1960343.00,121923.00,Bajaj_Finsv
24-Apr-25,2121.80,2103.30,1465968.00,80988.00,Bajaj_Finsv
23-Apr-25,2094.00,2097.30,1483177.00,92289.00,Bajaj_Finsv
22-Apr-25,2104.00,2074.00,1447675.00,89910.00,Bajaj_Finsv
21-Apr-25,2037.10,2106.00,2642028.00,120077.00,Bajaj_Finsv
17-Apr-25,1961.50,2031.00,2104540.00,106220.00,Bajaj_Finsv
16-Apr-25,1961.00,1968.50,1033717.00,75492.00,Bajaj_Finsv
15-Apr-25,1984.00,1971.00,1250872.00,70250.00,Bajaj_Finsv
11-Apr-25,1909.45,1946.30,1880510.00,97508.00,Bajaj_Finsv
09-Apr-25,1899.00,1900.00,1394829.00,87029.00,Bajaj_Finsv
08-Apr-25,1890.00,1903.45,3182018.00,112746.00,Bajaj_Finsv
07-Apr-25,1835.00,1849.70,2594074.00,113616.00,Bajaj_Finsv
04-Apr-25,1912.00,1911.85,2120708.00,77607.00,Bajaj_Finsv
03-Apr-25,1915.00,1919.00,1598430.00,71288.00,Bajaj_Finsv
02-Apr-25,1946.30,1921.35,1057344.00,48639.00,Bajaj_Finsv
01-Apr-25,1998.00,1941.90,2125921.00,134764.00,Bajaj_Finsv
28-Mar-25,1995.75,2002.30,1907116.00,98083.00,Bajaj_Finsv
27-Mar-25,1940.00,1999.00,4506778.00,170421.00,Bajaj_Finsv
26-Mar-25,1951.00,1935.00,2779682.00,147190.00,Bajaj_Finsv
25-Mar-25,1905.00,1935.45,3512725.00,164527.00,Bajaj_Finsv
24-Mar-25,1855.35,1895.35,1864839.00,88656.00,Bajaj_Finsv
21-Mar-25,1878.00,1842.00,3537391.00,100832.00,Bajaj_Finsv
20-Mar-25,1842.25,1852.00,2306910.00,80931.00,Bajaj_Finsv
19-Mar-25,1855.00,1841.00,2411880.00,53144.00,Bajaj_Finsv
18-Mar-25,1900.00,1846.50,4342446.00,139248.00,Bajaj_Finsv
17-Mar-25,1820.00,1875.10,6994838.00,137436.00,Bajaj_Finsv
13-Mar-25,1828.00,1807.00,1333932.00,72823.00,Bajaj_Finsv
12-Mar-25,1814.00,1822.00,1196955.00,59222.00,Bajaj_Finsv
11-Mar-25,1830.00,1808.20,2298735.00,96641.00,Bajaj_Finsv
10-Mar-25,1844.75,1837.55,1703046.00,102164.00,Bajaj_Finsv
07-Mar-25,1845.15,1839.00,1332323.00,65579.00,Bajaj_Finsv
06-Mar-25,1818.80,1842.50,2176883.00,116521.00,Bajaj_Finsv
05-Mar-25,1787.00,1805.90,2143253.00,90678.00,Bajaj_Finsv
04-Mar-25,1829.75,1789.90,1443339.00,85829.00,Bajaj_Finsv
03-Mar-25,1884.70,1840.00,1046987.00,69233.00,Bajaj_Finsv
28-Feb-25,1911.05,1870.20,1797567.00,100037.00,Bajaj_Finsv
27-Feb-25,1882.15,1920.10,2878330.00,135147.00,Bajaj_Finsv
25-Feb-25,1857.80,1872.00,1761019.00,92372.00,Bajaj_Finsv
24-Feb-25,1868.00,1862.45,1076484.00,76366.00,Bajaj_Finsv
21-Feb-25,1872.20,1872.50,852037.00,47511.00,Bajaj_Finsv
20-Feb-25,1867.85,1881.45,1012144.00,59280.00,Bajaj_Finsv
19-Feb-25,1891.05,1873.40,768994.00,53147.00,Bajaj_Finsv
18-Feb-25,1892.00,1889.20,2116513.00,130673.00,Bajaj_Finsv
17-Feb-25,1841.30,1890.05,3022597.00,158604.00,Bajaj_Finsv
14-Feb-25,1853.50,1839.00,1823774.00,93825.00,Bajaj_Finsv
13-Feb-25,1803.95,1842.35,4070038.00,149987.00,Bajaj_Finsv
12-Feb-25,1749.00,1792.25,1888823.00,105418.00,Bajaj_Finsv
11-Feb-25,1792.40,1744.05,1944713.00,88571.00,Bajaj_Finsv
10-Feb-25,1804.90,1789.05,908769.00,51076.00,Bajaj_Finsv
07-Feb-25,1801.00,1800.00,1748940.00,82177.00,Bajaj_Finsv
06-Feb-25,1808.00,1790.95,1119866.00,73249.00,Bajaj_Finsv
05-Feb-25,1811.00,1791.85,1286850.00,101972.00,Bajaj_Finsv
04-Feb-25,1800.00,1804.10,2285643.00,129778.00,Bajaj_Finsv
03-Feb-25,1735.00,1794.75,2918355.00,202204.00,Bajaj_Finsv
01-Feb-25,1747.00,1766.30,2887325.00,93248.00,Bajaj_Finsv
31-Jan-25,1713.60,1742.35,1917476.00,100846.00,Bajaj_Finsv
30-Jan-25,1825.00,1750.00,5190089.00,243873.00,Bajaj_Finsv
29-Jan-25,1776.95,1787.60,1880079.00,98757.00,Bajaj_Finsv
28-Jan-25,1732.95,1770.10,2439528.00,121743.00,Bajaj_Finsv
27-Jan-25,1714.85,1705.05,1017680.00,59456.00,Bajaj_Finsv
24-Jan-25,1751.00,1729.55,747930.00,42241.00,Bajaj_Finsv
23-Jan-25,1742.55,1747.00,1888122.00,76896.00,Bajaj_Finsv
22-Jan-25,1720.00,1742.55,1369310.00,65189.00,Bajaj_Finsv
21-Jan-25,1745.00,1712.00,2008953.00,91485.00,Bajaj_Finsv
20-Jan-25,1686.30,1737.00,1674215.00,72811.00,Bajaj_Finsv
17-Jan-25,1686.10,1682.70,905680.00,43706.00,Bajaj_Finsv
16-Jan-25,1680.00,1695.90,1105433.00,79807.00,Bajaj_Finsv
15-Jan-25,1721.10,1674.80,2098490.00,115194.00,Bajaj_Finsv
14-Jan-25,1689.00,1727.00,2084348.00,94492.00,Bajaj_Finsv
13-Jan-25,1689.60,1674.85,1177882.00,64253.00,Bajaj_Finsv
10-Jan-25,1682.00,1698.85,1467079.00,91384.00,Bajaj_Finsv
09-Jan-25,1697.00,1689.00,1036731.00,65105.00,Bajaj_Finsv
08-Jan-25,1681.00,1695.00,1437122.00,92096.00,Bajaj_Finsv
07-Jan-25,1692.00,1680.05,1242573.00,83242.00,Bajaj_Finsv
06-Jan-25,1715.00,1689.00,1837772.00,87654.00,Bajaj_Finsv
03-Jan-25,1700.00,1698.00,1563600.00,94536.00,Bajaj_Finsv
02-Jan-25,1581.30,1700.00,8022190.00,244036.00,Bajaj_Finsv
01-Jan-25,1565.00,1577.00,464064.00,39434.00,Bajaj_Finsv
31-Dec-24,1569.95,1570.00,1041557.00,63848.00,Bajaj_Finsv
30-Dec-24,1580.00,1572.95,1307371.00,57278.00,Bajaj_Finsv
27-Dec-24,1567.95,1579.00,1174865.00,65621.00,Bajaj_Finsv
26-Dec-24,1554.45,1558.95,760870.00,55179.00,Bajaj_Finsv
24-Dec-24,1563.10,1563.90,810638.00,54950.00,Bajaj_Finsv
23-Dec-24,1583.00,1562.95,1017438.00,63452.00,Bajaj_Finsv
20-Dec-24,1589.55,1570.00,1806341.00,106298.00,Bajaj_Finsv
19-Dec-24,1616.80,1592.80,1681562.00,94539.00,Bajaj_Finsv
18-Dec-24,1642.00,1627.90,952592.00,65924.00,Bajaj_Finsv
17-Dec-24,1673.00,1643.85,1045630.00,57959.00,Bajaj_Finsv
16-Dec-24,1675.00,1673.40,797240.00,44245.00,Bajaj_Finsv
13-Dec-24,1667.10,1678.05,1389802.00,79479.00,Bajaj_Finsv
12-Dec-24,1685.00,1675.85,1137744.00,75233.00,Bajaj_Finsv
11-Dec-24,1667.10,1683.90,2131913.00,78265.00,Bajaj_Finsv
10-Dec-24,1644.75,1664.00,1673974.00,80123.00,Bajaj_Finsv
09-Dec-24,1642.00,1637.10,859106.00,50398.00,Bajaj_Finsv
06-Dec-24,1640.00,1630.95,1049225.00,61859.00,Bajaj_Finsv
05-Dec-24,1636.75,1647.00,1706032.00,104907.00,Bajaj_Finsv
04-Dec-24,1619.00,1629.95,2271608.00,95426.00,Bajaj_Finsv
03-Dec-24,1597.10,1609.70,1045367.00,64521.00,Bajaj_Finsv
02-Dec-24,1588.00,1595.05,1423549.00,57332.00,Bajaj_Finsv
29-Nov-24,1581.90,1580.00,1998058.00,98215.00,Bajaj_Finsv
28-Nov-24,1605.00,1582.30,3458405.00,139523.00,Bajaj_Finsv
27-Nov-24,1595.95,1600.00,1335825.00,49396.00,Bajaj_Finsv
26-Nov-24,1614.90,1594.00,2483861.00,78248.00,Bajaj_Finsv
25-Nov-24,1618.00,1612.00,2191916.00,96393.00,Bajaj_Finsv
22-Nov-24,1569.95,1601.00,2082813.00,100614.00,Bajaj_Finsv
21-Nov-24,1596.00,1565.25,984265.00,82494.00,Bajaj_Finsv
19-Nov-24,1622.95,1594.00,2569730.00,105962.00,Bajaj_Finsv
18-Nov-24,1634.00,1619.70,1618700.00,56766.00,Bajaj_Finsv
14-Nov-24,1665.00,1639.05,744472.00,71049.00,Bajaj_Finsv
13-Nov-24,1690.00,1665.05,668302.00,63477.00,Bajaj_Finsv
12-Nov-24,1725.00,1690.20,903492.00,71996.00,Bajaj_Finsv
11-Nov-24,1727.55,1720.00,696798.00,50462.00,Bajaj_Finsv
08-Nov-24,1739.00,1738.00,869560.00,65208.00,Bajaj_Finsv
07-Nov-24,1745.00,1732.15,855044.00,64871.00,Bajaj_Finsv
06-Nov-24,1732.10,1750.15,926170.00,57278.00,Bajaj_Finsv
05-Nov-24,1714.10,1734.90,1646381.00,119462.00,Bajaj_Finsv
04-Nov-24,1754.70,1709.85,1294236.00,77239.00,Bajaj_Finsv
01-Nov-24,1762.00,1760.00,134827.00,12175.00,Bajaj_Finsv
31-Oct-24,1745.20,1748.00,869480.00,69470.00,Bajaj_Finsv
30-Oct-24,1766.70,1752.00,826677.00,46288.00,Bajaj_Finsv
29-Oct-24,1725.15,1762.20,1561586.00,113935.00,Bajaj_Finsv
28-Oct-24,1710.75,1724.15,653158.00,45487.00,Bajaj_Finsv
25-Oct-24,1742.10,1713.40,875973.00,70435.00,Bajaj_Finsv
24-Oct-24,1740.05,1745.00,1502718.00,70977.00,Bajaj_Finsv
23-Oct-24,1727.55,1741.95,2585058.00,152189.00,Bajaj_Finsv
22-Oct-24,1758.55,1727.55,3142294.00,155718.00,Bajaj_Finsv
21-Oct-24,1822.00,1758.55,1663903.00,128240.00,Bajaj_Finsv
18-Oct-24,1815.00,1821.50,990257.00,85322.00,Bajaj_Finsv
17-Oct-24,1868.00,1814.45,1115879.00,90771.00,Bajaj_Finsv
16-Oct-24,1855.00,1857.00,850008.00,57386.00,Bajaj_Finsv
15-Oct-24,1873.60,1856.95,2072690.00,85173.00,Bajaj_Finsv
14-Oct-24,1885.10,1866.75,809881.00,63549.00,Bajaj_Finsv
11-Oct-24,1875.95,1877.95,516757.00,49420.00,Bajaj_Finsv
10-Oct-24,1874.80,1876.50,1209065.00,75793.00,Bajaj_Finsv
09-Oct-24,1849.00,1868.00,1411255.00,79981.00,Bajaj_Finsv
08-Oct-24,1873.20,1836.00,1423384.00,81671.00,Bajaj_Finsv
07-Oct-24,1884.55,1879.00,1423722.00,93128.00,Bajaj_Finsv
04-Oct-24,1913.30,1886.50,2423416.00,117523.00,Bajaj_Finsv
03-Oct-24,1961.00,1920.00,1702709.00,99263.00,Bajaj_Finsv
01-Oct-24,1973.00,1975.20,1326900.00,80488.00,Bajaj_Finsv
30-Sep-24,2010.70,1969.65,1859917.00,121204.00,Bajaj_Finsv
27-Sep-24,1976.85,2004.75,3718693.00,126375.00,Bajaj_Finsv
26-Sep-24,1940.00,1978.40,2541200.00,122516.00,Bajaj_Finsv
25-Sep-24,1905.00,1935.00,901659.00,48897.00,Bajaj_Finsv
24-Sep-24,1920.00,1907.90,1461016.00,83248.00,Bajaj_Finsv
23-Sep-24,1929.85,1917.05,1118846.00,68299.00,Bajaj_Finsv
20-Sep-24,1892.10,1918.00,4225587.00,145184.00,Bajaj_Finsv
19-Sep-24,1890.00,1890.00,1821882.00,99575.00,Bajaj_Finsv
18-Sep-24,1848.70,1881.15,2960854.00,118509.00,Bajaj_Finsv
17-Sep-24,1859.00,1847.30,1920113.00,107998.00,Bajaj_Finsv
16-Sep-24,1902.00,1856.10,3180768.00,205992.00,Bajaj_Finsv
13-Sep-24,1874.80,1898.00,3078216.00,172472.00,Bajaj_Finsv
12-Sep-24,1850.70,1849.00,2040386.00,118125.00,Bajaj_Finsv
11-Sep-24,1829.00,1831.00,1492450.00,77524.00,Bajaj_Finsv
10-Sep-24,1874.80,1827.90,2155688.00,147790.00,Bajaj_Finsv
09-Sep-24,1860.00,1860.90,1576721.00,97224.00,Bajaj_Finsv
06-Sep-24,1864.00,1857.30,2970645.00,146758.00,Bajaj_Finsv
05-Sep-24,1868.00,1865.10,1441842.00,110359.00,Bajaj_Finsv
04-Sep-24,1840.20,1865.35,2634954.00,125251.00,Bajaj_Finsv
03-Sep-24,1850.00,1866.25,4429269.00,169905.00,Bajaj_Finsv
02-Sep-24,1796.40,1842.00,5442576.00,253728.00,Bajaj_Finsv
30-Aug-24,1769.95,1782.00,3865499.00,195873.00,Bajaj_Finsv
29-Aug-24,1716.00,1758.30,5508206.00,289557.00,Bajaj_Finsv
28-Aug-24,1728.00,1712.00,1444329.00,103200.00,Bajaj_Finsv
27-Aug-24,1686.20,1727.60,4205533.00,213278.00,Bajaj_Finsv
26-Aug-24,1649.00,1683.25,2446507.00,156411.00,Bajaj_Finsv
23-Aug-24,1627.90,1644.00,1114056.00,94274.00,Bajaj_Finsv
22-Aug-24,1624.80,1625.00,1325535.00,146376.00,Bajaj_Finsv
21-Aug-24,1600.00,1617.00,1966030.00,124859.00,Bajaj_Finsv
20-Aug-24,1554.95,1604.00,3149863.00,122804.00,Bajaj_Finsv
19-Aug-24,1563.90,1551.00,940893.00,84351.00,Bajaj_Finsv
16-Aug-24,1539.00,1550.00,1841887.00,85055.00,Bajaj_Finsv
14-Aug-24,1545.00,1529.50,1173504.00,77731.00,Bajaj_Finsv
13-Aug-24,1554.00,1543.95,1817066.00,111780.00,Bajaj_Finsv
12-Aug-24,1557.00,1557.40,1125254.00,51376.00,Bajaj_Finsv
09-Aug-24,1559.90,1557.00,1014828.00,50975.00,Bajaj_Finsv
08-Aug-24,1562.45,1538.25,1683534.00,92789.00,Bajaj_Finsv
07-Aug-24,1584.10,1574.00,1443063.00,40952.00,Bajaj_Finsv
06-Aug-24,1575.15,1563.20,1897942.00,108258.00,Bajaj_Finsv
05-Aug-24,1590.00,1564.40,2058076.00,112538.00,Bajaj_Finsv
02-Aug-24,1620.00,1622.00,1105569.00,68300.00,Bajaj_Finsv
01-Aug-24,1655.00,1632.65,747329.00,57340.00,Bajaj_Finsv
31-Jul-24,1650.90,1650.00,1324150.00,64607.00,Bajaj_Finsv
30-Jul-24,1614.00,1642.40,3703774.00,167026.00,Bajaj_Finsv
29-Jul-24,1588.15,1618.00,2217892.00,82131.00,Bajaj_Finsv
26-Jul-24,1578.00,1584.40,2768936.00,107847.00,Bajaj_Finsv
25-Jul-24,1565.60,1576.00,1694503.00,98634.00,Bajaj_Finsv
24-Jul-24,1600.60,1585.00,3675430.00,176812.00,Bajaj_Finsv
23-Jul-24,1635.00,1613.45,2718846.00,132286.00,Bajaj_Finsv
22-Jul-24,1625.00,1633.00,784867.00,50019.00,Bajaj_Finsv
19-Jul-24,1652.00,1635.00,1865129.00,72752.00,Bajaj_Finsv
18-Jul-24,1606.00,1648.00,2999670.00,131559.00,Bajaj_Finsv
16-Jul-24,1605.00,1610.00,980434.00,56338.00,Bajaj_Finsv
15-Jul-24,1597.00,1605.00,1753186.00,55180.00,Bajaj_Finsv
12-Jul-24,1604.85,1597.95,1003699.00,89811.00,Bajaj_Finsv
11-Jul-24,1584.00,1588.35,1848978.00,82242.00,Bajaj_Finsv
10-Jul-24,1583.90,1583.00,1355610.00,99379.00,Bajaj_Finsv
09-Jul-24,1577.70,1581.00,1233946.00,70426.00,Bajaj_Finsv
08-Jul-24,1579.60,1568.00,1000005.00,80582.00,Bajaj_Finsv
05-Jul-24,1587.00,1580.00,1070592.00,103206.00,Bajaj_Finsv
04-Jul-24,1610.00,1583.60,1450706.00,65469.00,Bajaj_Finsv
03-Jul-24,1583.00,1594.00,892102.00,45137.00,Bajaj_Finsv
02-Jul-24,1580.20,1582.00,2572175.00,172144.00,Bajaj_Finsv
01-Jul-24,1588.20,1580.00,2444681.00,86514.00,Bajaj_Finsv
28-Jun-24,1603.10,1590.95,2058302.00,93481.00,Bajaj_Finsv
27-Jun-24,1600.25,1599.75,2620064.00,156183.00,Bajaj_Finsv
26-Jun-24,1607.00,1600.50,1310438.00,51181.00,Bajaj_Finsv
25-Jun-24,1587.65,1606.00,3093861.00,141660.00,Bajaj_Finsv
24-Jun-24,1570.05,1586.85,822750.00,44488.00,Bajaj_Finsv
21-Jun-24,1586.00,1579.90,3345305.00,115582.00,Bajaj_Finsv
20-Jun-24,1592.50,1587.50,1649421.00,106178.00,Bajaj_Finsv
19-Jun-24,1600.00,1590.50,1269273.00,47050.00,Bajaj_Finsv
18-Jun-24,1599.00,1597.35,1282756.00,111193.00,Bajaj_Finsv
14-Jun-24,1590.10,1587.05,681385.00,60911.00,Bajaj_Finsv
13-Jun-24,1586.95,1586.15,1095701.00,77073.00,Bajaj_Finsv
12-Jun-24,1568.00,1580.00,1799090.00,73036.00,Bajaj_Finsv
11-Jun-24,1573.00,1569.95,1184425.00,99642.00,Bajaj_Finsv
10-Jun-24,1586.05,1560.05,1154334.00,101419.00,Bajaj_Finsv
07-Jun-24,1538.95,1565.90,2787254.00,127738.00,Bajaj_Finsv
06-Jun-24,1521.50,1531.00,2891789.00,128791.00,Bajaj_Finsv
05-Jun-24,1490.00,1519.00,1456768.00,90611.00,Bajaj_Finsv
04-Jun-24,1556.00,1489.40,4388491.00,292765.00,Bajaj_Finsv
03-Jun-24,1580.00,1578.60,1826290.00,70981.00,Bajaj_Finsv
31-May-24,1530.00,1531.00,2794001.00,153437.00,Bajaj_Finsv
30-May-24,1566.75,1525.00,2285079.00,150586.00,Bajaj_Finsv
29-May-24,1594.15,1567.05,1665575.00,73125.00,Bajaj_Finsv
28-May-24,1602.95,1598.65,1306333.00,64213.00,Bajaj_Finsv
27-May-24,1605.00,1597.55,1365230.00,50630.00,Bajaj_Finsv
24-May-24,1609.00,1605.00,566278.00,47721.00,Bajaj_Finsv
23-May-24,1587.10,1607.00,1547483.00,100098.00,Bajaj_Finsv
22-May-24,1582.55,1585.00,578669.00,39713.00,Bajaj_Finsv
21-May-24,1587.50,1581.00,903561.00,84340.00,Bajaj_Finsv
18-May-24,1584.70,1589.90,58954.00,4369.00,Bajaj_Finsv
17-May-24,1595.00,1587.00,699522.00,59838.00,Bajaj_Finsv
16-May-24,1575.05,1593.95,1212568.00,110380.00,Bajaj_Finsv
