Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,9188.50,9172.00,625192.00,63031.00,BajFinance
15-May-25,9099.50,9182.00,1038500.00,109672.00,BajFinance
14-May-25,9045.00,9076.00,759400.00,82137.00,BajFinance
13-May-25,9004.00,9050.00,1336300.00,136605.00,BajFinance
12-May-25,8849.00,9013.00,1063822.00,84970.00,BajFinance
09-May-25,8650.00,8662.00,1215134.00,114043.00,BajFinance
08-May-25,8977.00,8780.00,1201809.00,117820.00,BajFinance
07-May-25,8750.00,8977.00,1163557.00,122242.00,BajFinance
06-May-25,8911.00,8785.00,1204087.00,123221.00,BajFinance
05-May-25,8877.50,8940.00,893061.00,101616.00,BajFinance
02-May-25,8575.50,8868.00,2202675.00,182711.00,BajFinance
30-Apr-25,8840.00,8613.50,3969057.00,423669.00,BajFinance
29-Apr-25,9130.00,9105.00,1176818.00,169967.00,BajFinance
28-Apr-25,9080.00,9075.00,994656.00,133616.00,BajFinance
25-Apr-25,9310.50,9080.50,1089354.00,108445.00,BajFinance
24-Apr-25,9620.00,9290.00,1849671.00,163098.00,BajFinance
23-Apr-25,9282.00,9305.00,1081872.00,118959.00,BajFinance
22-Apr-25,9295.00,9235.00,1129358.00,134456.00,BajFinance
21-Apr-25,9170.00,9274.00,782415.00,86149.00,BajFinance
17-Apr-25,9040.00,9170.00,1141513.00,113025.00,BajFinance
16-Apr-25,9149.50,9065.00,719822.00,87994.00,BajFinance
15-Apr-25,9255.50,9138.00,1263361.00,112755.00,BajFinance
11-Apr-25,8825.05,8912.00,1009722.00,107731.00,BajFinance
09-Apr-25,8815.00,8745.00,1048774.00,138514.00,BajFinance
08-Apr-25,8650.00,8825.05,1477563.00,140461.00,BajFinance
07-Apr-25,8340.00,8590.10,1398124.00,159133.00,BajFinance
04-Apr-25,8656.00,8739.90,1849658.00,155607.00,BajFinance
03-Apr-25,8650.00,8570.00,1396633.00,148865.00,BajFinance
02-Apr-25,8730.00,8630.00,646495.00,73065.00,BajFinance
01-Apr-25,8783.30,8719.35,1183424.00,126566.00,BajFinance
28-Mar-25,8997.60,8929.90,977099.00,96063.00,BajFinance
27-Mar-25,8861.00,9004.70,2092044.00,130155.00,BajFinance
26-Mar-25,9102.05,8870.00,886211.00,91406.00,BajFinance
25-Mar-25,9125.00,9040.00,1748260.00,168353.00,BajFinance
24-Mar-25,9095.95,9079.70,1433217.00,139069.00,BajFinance
21-Mar-25,9039.95,8911.10,2744801.00,188335.00,BajFinance
20-Mar-25,8725.00,8680.00,792433.00,100459.00,BajFinance
19-Mar-25,8700.00,8693.25,1289820.00,123937.00,BajFinance
18-Mar-25,8615.00,8694.00,1103110.00,90493.00,BajFinance
17-Mar-25,8399.20,8580.00,1102085.00,103206.00,BajFinance
13-Mar-25,8500.00,8415.00,1217351.00,108914.00,BajFinance
12-Mar-25,8341.10,8515.45,2088223.00,100018.00,BajFinance
11-Mar-25,8305.00,8344.90,813567.00,97805.00,BajFinance
10-Mar-25,8437.75,8330.00,1016453.00,115793.00,BajFinance
07-Mar-25,8409.90,8406.00,472946.00,64573.00,BajFinance
