Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,351.60,363.80,68855818.00,673858.00,Bel
15-May-25,346.50,350.00,35959338.00,259856.00,Bel
14-May-25,339.00,344.50,43684324.00,312261.00,Bel
13-May-25,323.70,335.90,57985762.00,628573.00,Bel
12-May-25,325.00,322.20,39927141.00,502870.00,Bel
09-May-25,305.00,316.15,44244945.00,443942.00,Bel
08-May-25,310.50,304.90,17110997.00,116453.00,Bel
07-May-25,305.00,310.10,19274367.00,126765.00,Bel
06-May-25,315.65,309.50,17029890.00,123408.00,Bel
05-May-25,313.95,315.65,10955763.00,85400.00,Bel
02-May-25,310.80,311.00,18979609.00,147507.00,Bel
30-Apr-25,319.00,312.95,24863436.00,208936.00,Bel
29-Apr-25,306.55,317.15,57883471.00,375574.00,Bel
28-Apr-25,296.00,305.30,29913417.00,185562.00,Bel
25-Apr-25,306.80,297.00,20307004.00,145183.00,Bel
24-Apr-25,305.00,305.45,17241517.00,108129.00,Bel
23-Apr-25,305.60,305.60,21918666.00,169771.00,Bel
22-Apr-25,301.00,303.50,11962358.00,103710.00,Bel
21-Apr-25,297.50,300.20,14064356.00,121862.00,Bel
17-Apr-25,293.00,294.55,13609937.00,120621.00,Bel
16-Apr-25,293.50,294.10,12479078.00,115326.00,Bel
15-Apr-25,289.90,293.60,19512440.00,173583.00,Bel
11-Apr-25,283.00,285.30,13883110.00,121027.00,Bel
09-Apr-25,281.00,281.00,11389916.00,102082.00,Bel
08-Apr-25,282.45,282.15,26787606.00,214793.00,Bel
07-Apr-25,257.00,274.00,24954083.00,208401.00,Bel
04-Apr-25,287.10,280.50,19699594.00,160549.00,Bel
03-Apr-25,283.00,287.50,20968721.00,179031.00,Bel
02-Apr-25,289.90,282.45,52653587.00,388113.00,Bel
01-Apr-25,302.00,290.90,33171384.00,266366.00,Bel
28-Mar-25,304.00,301.33,20850848.00,139398.00,Bel
27-Mar-25,297.00,301.80,14453677.00,120151.00,Bel
26-Mar-25,301.07,299.25,23869923.00,162602.00,Bel
25-Mar-25,304.00,299.30,19364944.00,169170.00,Bel
24-Mar-25,296.90,302.95,29935092.00,165187.00,Bel
21-Mar-25,301.00,296.00,41751586.00,220702.00,Bel
20-Mar-25,294.81,296.70,27889890.00,167953.00,Bel
19-Mar-25,286.00,289.98,21098065.00,188934.00,Bel
18-Mar-25,282.00,285.60,15290505.00,112138.00,Bel
17-Mar-25,281.00,279.90,13883682.00,131397.00,Bel
13-Mar-25,283.00,280.10,38015489.00,242972.00,Bel
12-Mar-25,278.78,276.50,15308721.00,137876.00,Bel
11-Mar-25,271.95,277.58,20980143.00,150205.00,Bel
10-Mar-25,278.60,272.29,20986855.00,162153.00,Bel
07-Mar-25,275.80,276.20,25542382.00,183737.00,Bel
06-Mar-25,276.21,272.50,22586087.00,198864.00,Bel
05-Mar-25,265.00,274.35,28499877.00,220341.00,Bel
04-Mar-25,253.89,264.60,24998454.00,198471.00,Bel
03-Mar-25,247.50,257.50,24644079.00,187276.00,Bel
28-Feb-25,250.00,247.25,17754591.00,148251.00,Bel
27-Feb-25,257.10,252.00,11087404.00,108069.00,Bel
25-Feb-25,256.35,256.10,14770656.00,104286.00,Bel
24-Feb-25,251.00,256.60,15409569.00,129465.00,Bel
21-Feb-25,259.50,255.00,16594628.00,131323.00,Bel
20-Feb-25,252.00,260.15,18922988.00,129451.00,Bel
19-Feb-25,240.70,253.25,21516255.00,159897.00,Bel
18-Feb-25,249.00,243.80,21180375.00,184568.00,Bel
17-Feb-25,248.95,249.65,24947159.00,177073.00,Bel
14-Feb-25,262.20,250.00,25683310.00,231849.00,Bel
13-Feb-25,259.15,261.15,18016813.00,145058.00,Bel
12-Feb-25,264.95,259.40,27997028.00,236424.00,Bel
11-Feb-25,273.80,264.45,23839025.00,214280.00,Bel
10-Feb-25,278.90,273.90,21789085.00,183366.00,Bel
07-Feb-25,280.75,277.30,26682639.00,202399.00,Bel
06-Feb-25,288.95,280.05,16834939.00,163338.00,Bel
05-Feb-25,285.65,288.75,18818511.00,190973.00,Bel
04-Feb-25,276.00,284.25,29035155.00,202132.00,Bel
03-Feb-25,277.85,273.80,41786023.00,376401.00,Bel
01-Feb-25,295.95,280.65,61832253.00,439222.00,Bel
31-Jan-25,283.90,294.00,50252116.00,361876.00,Bel
30-Jan-25,268.85,280.20,46735932.00,244650.00,Bel
29-Jan-25,259.00,267.85,14361301.00,112248.00,Bel
28-Jan-25,263.50,258.50,29049716.00,204673.00,Bel
27-Jan-25,267.00,262.85,13710859.00,135027.00,Bel
24-Jan-25,273.95,270.30,10164897.00,84378.00,Bel
23-Jan-25,268.80,274.60,11978782.00,124253.00,Bel
22-Jan-25,279.00,270.60,21272549.00,187494.00,Bel
21-Jan-25,285.80,279.00,13020489.00,118518.00,Bel
20-Jan-25,283.20,285.35,10483849.00,110964.00,Bel
17-Jan-25,275.45,281.95,12741720.00,116100.00,Bel
16-Jan-25,273.40,277.50,17234302.00,142418.00,Bel
15-Jan-25,272.00,268.00,11376064.00,110855.00,Bel
14-Jan-25,263.00,270.55,18938129.00,169064.00,Bel
13-Jan-25,265.00,259.15,19429753.00,171312.00,Bel
10-Jan-25,280.00,270.80,15317565.00,229023.00,Bel
09-Jan-25,281.25,281.45,12715512.00,145298.00,Bel
08-Jan-25,287.00,282.00,10996122.00,131873.00,Bel
07-Jan-25,282.15,286.40,13247733.00,119709.00,Bel
06-Jan-25,292.55,282.00,12638091.00,129239.00,Bel
03-Jan-25,296.50,291.95,8167968.00,78939.00,Bel
02-Jan-25,294.45,296.30,13361957.00,108260.00,Bel
01-Jan-25,293.15,294.00,6954271.00,68363.00,Bel
31-Dec-24,284.50,293.00,15725947.00,146510.00,Bel
30-Dec-24,292.05,286.20,25876258.00,152615.00,Bel
27-Dec-24,295.85,292.20,9495184.00,78558.00,Bel
26-Dec-24,293.00,295.85,9172485.00,110384.00,Bel
24-Dec-24,296.25,292.65,10685518.00,86298.00,Bel
23-Dec-24,294.00,294.10,10201072.00,99783.00,Bel
20-Dec-24,298.00,290.35,14964677.00,121867.00,Bel
19-Dec-24,295.00,298.20,13349532.00,123301.00,Bel
18-Dec-24,310.20,304.55,16598070.00,147444.00,Bel
17-Dec-24,315.55,310.20,18053073.00,121731.00,Bel
16-Dec-24,315.80,316.00,10543307.00,92085.00,Bel
13-Dec-24,313.00,315.80,15557064.00,145458.00,Bel
12-Dec-24,313.55,312.10,10978075.00,147129.00,Bel
11-Dec-24,314.90,313.85,9281006.00,139038.00,Bel
10-Dec-24,317.55,314.80,15811501.00,127130.00,Bel
09-Dec-24,313.60,314.45,11830104.00,121599.00,Bel
06-Dec-24,314.50,313.70,8359798.00,106140.00,Bel
05-Dec-24,314.00,314.10,17911694.00,157060.00,Bel
04-Dec-24,316.00,312.90,41441172.00,241451.00,Bel
03-Dec-24,309.00,312.00,21405136.00,185559.00,Bel
02-Dec-24,307.80,306.80,15549685.00,222943.00,Bel
29-Nov-24,305.70,307.65,23241947.00,202363.00,Bel
28-Nov-24,308.00,305.80,27772319.00,320545.00,Bel
27-Nov-24,298.85,307.05,39464505.00,272286.00,Bel
26-Nov-24,294.00,297.80,27347402.00,189211.00,Bel
25-Nov-24,290.00,293.00,49366681.00,412595.00,Bel
22-Nov-24,276.00,281.05,13268900.00,98372.00,Bel
21-Nov-24,278.45,275.05,14858108.00,158061.00,Bel
19-Nov-24,280.00,277.50,13160982.00,109991.00,Bel
18-Nov-24,283.00,278.20,13000137.00,134036.00,Bel
14-Nov-24,282.00,281.25,20541591.00,175458.00,Bel
13-Nov-24,288.00,282.00,20001842.00,199498.00,Bel
12-Nov-24,300.00,289.30,14292965.00,142938.00,Bel
11-Nov-24,297.50,299.45,20155408.00,277310.00,Bel
08-Nov-24,300.35,297.00,22935845.00,198509.00,Bel
07-Nov-24,301.00,299.95,24357430.00,244075.00,Bel
06-Nov-24,287.50,301.60,52804364.00,382163.00,Bel
05-Nov-24,282.50,285.65,18761867.00,162147.00,Bel
04-Nov-24,289.00,284.05,15157659.00,146158.00,Bel
