Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1834.00,1814.40,100662047.00,286997.00,Bharti_Artl
15-May-25,1849.90,1863.10,8788351.00,195431.00,Bharti_Artl
14-May-25,1830.00,1837.90,7401614.00,226624.00,Bharti_Artl
13-May-25,1870.00,1824.50,8817763.00,282085.00,Bharti_Artl
12-May-25,1868.90,1873.00,3936019.00,134363.00,Bharti_Artl
09-May-25,1855.00,1850.00,3686209.00,142316.00,Bharti_Artl
08-May-25,1897.00,1864.50,5500724.00,188110.00,Bharti_Artl
07-May-25,1901.00,1892.70,5554616.00,184822.00,Bharti_Artl
06-May-25,1888.30,1896.00,8597920.00,200749.00,Bharti_Artl
05-May-25,1868.00,1866.00,3548839.00,103413.00,Bharti_Artl
02-May-25,1852.00,1849.00,5528529.00,181226.00,Bharti_Artl
30-Apr-25,1837.00,1854.80,9139821.00,152336.00,Bharti_Artl
29-Apr-25,1823.70,1827.20,4684155.00,153385.00,Bharti_Artl
28-Apr-25,1836.00,1820.30,3301891.00,100779.00,Bharti_Artl
25-Apr-25,1846.70,1815.00,4570083.00,123799.00,Bharti_Artl
24-Apr-25,1874.50,1846.10,5180688.00,136668.00,Bharti_Artl
23-Apr-25,1867.00,1869.90,6855027.00,149770.00,Bharti_Artl
22-Apr-25,1888.00,1848.20,6155127.00,196921.00,Bharti_Artl
21-Apr-25,1898.40,1884.00,3501123.00,154074.00,Bharti_Artl
17-Apr-25,1834.00,1882.90,10894325.00,285724.00,Bharti_Artl
16-Apr-25,1802.40,1821.00,6180958.00,169343.00,Bharti_Artl
15-Apr-25,1808.20,1798.00,10313411.00,225430.00,Bharti_Artl
11-Apr-25,1760.00,1760.60,8340002.00,240119.00,Bharti_Artl
09-Apr-25,1719.65,1715.10,5600666.00,166612.00,Bharti_Artl
08-Apr-25,1720.70,1721.35,7206935.00,251891.00,Bharti_Artl
07-Apr-25,1730.00,1693.00,14870388.00,403223.00,Bharti_Artl
04-Apr-25,1754.50,1740.50,7817334.00,258867.00,Bharti_Artl
03-Apr-25,1748.00,1742.50,2341989.00,91775.00,Bharti_Artl
02-Apr-25,1720.00,1751.15,6431226.00,137465.00,Bharti_Artl
01-Apr-25,1715.00,1723.60,6773056.00,171800.00,Bharti_Artl
28-Mar-25,1733.30,1727.40,4133264.00,179997.00,Bharti_Artl
27-Mar-25,1739.95,1726.00,6222339.00,193040.00,Bharti_Artl
26-Mar-25,1739.15,1733.10,7142394.00,218179.00,Bharti_Artl
25-Mar-25,1725.00,1727.50,4857399.00,167951.00,Bharti_Artl
24-Mar-25,1740.00,1716.95,4120999.00,165902.00,Bharti_Artl
21-Mar-25,1709.65,1721.85,14715349.00,201573.00,Bharti_Artl
20-Mar-25,1660.00,1704.00,12074465.00,240074.00,Bharti_Artl
19-Mar-25,1635.00,1635.00,6283464.00,199602.00,Bharti_Artl
18-Mar-25,1649.50,1632.00,6539954.00,182821.00,Bharti_Artl
17-Mar-25,1612.20,1641.30,6405525.00,212442.00,Bharti_Artl
13-Mar-25,1650.80,1632.90,8317331.00,174903.00,Bharti_Artl
12-Mar-25,1690.00,1647.70,9907628.00,300458.00,Bharti_Artl
11-Mar-25,1630.00,1664.00,6078564.00,356280.00,Bharti_Artl
10-Mar-25,1640.00,1628.00,3778450.00,162065.00,Bharti_Artl
07-Mar-25,1629.00,1637.95,3035558.00,143747.00,Bharti_Artl
06-Mar-25,1618.00,1625.00,5174009.00,185788.00,Bharti_Artl
05-Mar-25,1578.00,1610.00,6295425.00,271207.00,Bharti_Artl
04-Mar-25,1589.00,1575.90,5219668.00,164399.00,Bharti_Artl
03-Mar-25,1579.00,1597.85,6993525.00,236184.00,Bharti_Artl
28-Feb-25,1641.95,1569.10,13640211.00,207431.00,Bharti_Artl
27-Feb-25,1643.40,1646.00,7568745.00,195260.00,Bharti_Artl
25-Feb-25,1597.00,1638.45,6286808.00,223534.00,Bharti_Artl
24-Feb-25,1627.00,1600.00,4673190.00,191311.00,Bharti_Artl
21-Feb-25,1643.50,1636.75,5447583.00,161361.00,Bharti_Artl
20-Feb-25,1639.85,1647.00,5524503.00,194090.00,Bharti_Artl
19-Feb-25,1670.00,1640.00,7776555.00,229239.00,Bharti_Artl
18-Feb-25,1692.00,1669.50,7529598.00,182050.00,Bharti_Artl
17-Feb-25,1711.75,1676.50,4906462.00,167548.00,Bharti_Artl
14-Feb-25,1714.00,1715.00,5125863.00,132902.00,Bharti_Artl
13-Feb-25,1710.00,1710.60,5356002.00,248069.00,Bharti_Artl
12-Feb-25,1704.00,1712.00,7148192.00,193104.00,Bharti_Artl
11-Feb-25,1706.00,1695.90,8965266.00,204795.00,Bharti_Artl
10-Feb-25,1698.85,1694.50,6782878.00,220261.00,Bharti_Artl
07-Feb-25,1635.05,1678.00,14873255.00,458983.00,Bharti_Artl
06-Feb-25,1665.90,1621.90,5229162.00,135010.00,Bharti_Artl
05-Feb-25,1670.00,1657.80,3920893.00,160722.00,Bharti_Artl
04-Feb-25,1662.15,1663.00,6385876.00,209388.00,Bharti_Artl
03-Feb-25,1619.90,1651.00,4146970.00,192465.00,Bharti_Artl
01-Feb-25,1627.00,1624.90,2741589.00,87609.00,Bharti_Artl
31-Jan-25,1639.10,1627.35,8340866.00,254531.00,Bharti_Artl
30-Jan-25,1606.70,1642.50,4283637.00,189279.00,Bharti_Artl
29-Jan-25,1620.00,1605.70,5009227.00,143936.00,Bharti_Artl
28-Jan-25,1607.65,1618.80,5216471.00,159833.00,Bharti_Artl
27-Jan-25,1638.95,1604.35,6622807.00,171786.00,Bharti_Artl
24-Jan-25,1634.05,1641.45,3620058.00,122533.00,Bharti_Artl
23-Jan-25,1624.50,1638.00,2457080.00,123511.00,Bharti_Artl
22-Jan-25,1627.50,1631.00,3262136.00,116455.00,Bharti_Artl
21-Jan-25,1654.00,1628.85,7958844.00,266374.00,Bharti_Artl
20-Jan-25,1638.00,1640.00,3933044.00,146010.00,Bharti_Artl
17-Jan-25,1630.10,1624.30,2678801.00,91952.00,Bharti_Artl
16-Jan-25,1619.05,1634.00,5299325.00,197728.00,Bharti_Artl
15-Jan-25,1608.05,1609.00,2960985.00,172794.00,Bharti_Artl
14-Jan-25,1604.70,1594.05,7284572.00,296914.00,Bharti_Artl
13-Jan-25,1580.00,1594.10,3705039.00,169667.00,Bharti_Artl
10-Jan-25,1608.00,1611.00,4145892.00,182178.00,Bharti_Artl
09-Jan-25,1600.00,1607.80,4684859.00,312415.00,Bharti_Artl
08-Jan-25,1598.75,1601.15,3674564.00,209954.00,Bharti_Artl
07-Jan-25,1594.00,1591.00,2830856.00,110398.00,Bharti_Artl
06-Jan-25,1596.15,1589.35,4584188.00,126704.00,Bharti_Artl
03-Jan-25,1615.00,1594.00,3669685.00,128800.00,Bharti_Artl
02-Jan-25,1599.90,1613.00,3728040.00,189267.00,Bharti_Artl
01-Jan-25,1593.00,1597.95,1405565.00,63674.00,Bharti_Artl
31-Dec-24,1583.00,1593.40,2249626.00,115546.00,Bharti_Artl
30-Dec-24,1605.00,1590.65,4438130.00,178966.00,Bharti_Artl
27-Dec-24,1599.50,1605.55,2559578.00,101745.00,Bharti_Artl
26-Dec-24,1583.90,1600.45,3400479.00,107771.00,Bharti_Artl
24-Dec-24,1590.00,1583.00,3610076.00,169345.00,Bharti_Artl
23-Dec-24,1586.00,1585.00,4363599.00,149394.00,Bharti_Artl
20-Dec-24,1610.00,1587.00,9738879.00,169338.00,Bharti_Artl
19-Dec-24,1586.40,1599.00,5865855.00,158170.00,Bharti_Artl
18-Dec-24,1621.40,1601.40,3905144.00,102635.00,Bharti_Artl
17-Dec-24,1650.50,1616.00,6182486.00,174466.00,Bharti_Artl
16-Dec-24,1681.75,1663.00,4375126.00,128634.00,Bharti_Artl
13-Dec-24,1618.00,1682.00,12900707.00,309678.00,Bharti_Artl
12-Dec-24,1578.50,1610.00,13120939.00,296489.00,Bharti_Artl
11-Dec-24,1588.00,1586.95,3853182.00,131818.00,Bharti_Artl
10-Dec-24,1610.55,1580.05,14645786.00,261312.00,Bharti_Artl
09-Dec-24,1595.90,1604.00,4264409.00,121567.00,Bharti_Artl
06-Dec-24,1618.00,1597.75,4296866.00,147791.00,Bharti_Artl
05-Dec-24,1600.00,1613.25,10324005.00,289816.00,Bharti_Artl
04-Dec-24,1629.75,1583.65,8772014.00,286888.00,Bharti_Artl
03-Dec-24,1652.90,1618.90,9131055.00,178499.00,Bharti_Artl
02-Dec-24,1627.15,1642.00,3790108.00,190206.00,Bharti_Artl
29-Nov-24,1551.15,1629.00,10775801.00,351472.00,Bharti_Artl
28-Nov-24,1571.00,1564.95,6714728.00,221954.00,Bharti_Artl
27-Nov-24,1569.15,1577.00,4982785.00,162967.00,Bharti_Artl
26-Nov-24,1590.00,1577.95,4030593.00,143576.00,Bharti_Artl
25-Nov-24,1581.95,1583.45,12155641.00,212297.00,Bharti_Artl
22-Nov-24,1533.00,1568.40,7640321.00,188502.00,Bharti_Artl
21-Nov-24,1538.00,1524.00,7356679.00,284902.00,Bharti_Artl
19-Nov-24,1537.00,1524.30,6238241.00,151761.00,Bharti_Artl
18-Nov-24,1568.95,1542.20,4816078.00,193391.00,Bharti_Artl
14-Nov-24,1550.00,1554.40,5139154.00,167251.00,Bharti_Artl
13-Nov-24,1559.90,1552.00,5816699.00,191024.00,Bharti_Artl
12-Nov-24,1568.80,1552.55,4479934.00,192555.00,Bharti_Artl
11-Nov-24,1561.00,1556.90,3664301.00,148436.00,Bharti_Artl
08-Nov-24,1571.00,1570.30,3096384.00,183724.00,Bharti_Artl
07-Nov-24,1595.95,1573.70,5160994.00,196604.00,Bharti_Artl
06-Nov-24,1583.00,1597.25,6631728.00,254078.00,Bharti_Artl
05-Nov-24,1583.25,1587.45,6473278.00,215994.00,Bharti_Artl
04-Nov-24,1619.15,1589.90,6094029.00,222617.00,Bharti_Artl
01-Nov-24,1620.00,1613.80,279441.00,15038.00,Bharti_Artl
31-Oct-24,1634.00,1620.00,4921681.00,235785.00,Bharti_Artl
30-Oct-24,1627.80,1636.50,4622628.00,159697.00,Bharti_Artl
29-Oct-24,1650.50,1641.90,6990747.00,232073.00,Bharti_Artl
28-Oct-24,1658.15,1665.05,2811651.00,133010.00,Bharti_Artl
25-Oct-24,1681.10,1670.75,3434386.00,188065.00,Bharti_Artl
24-Oct-24,1687.00,1682.95,3669575.00,182028.00,Bharti_Artl
23-Oct-24,1690.00,1685.05,2764757.00,96507.00,Bharti_Artl
22-Oct-24,1692.00,1690.00,3070057.00,196059.00,Bharti_Artl
21-Oct-24,1705.55,1690.00,3836168.00,212409.00,Bharti_Artl
18-Oct-24,1710.00,1702.00,4154915.00,183111.00,Bharti_Artl
17-Oct-24,1736.75,1701.95,4373392.00,148163.00,Bharti_Artl
16-Oct-24,1720.00,1732.00,3299887.00,155634.00,Bharti_Artl
15-Oct-24,1708.00,1718.00,5891334.00,160508.00,Bharti_Artl
14-Oct-24,1686.00,1693.95,2069815.00,128955.00,Bharti_Artl
11-Oct-24,1678.10,1683.10,2367678.00,108341.00,Bharti_Artl
10-Oct-24,1686.60,1676.35,5047657.00,171894.00,Bharti_Artl
09-Oct-24,1666.75,1685.25,3414614.00,169649.00,Bharti_Artl
08-Oct-24,1662.60,1660.70,5224335.00,153127.00,Bharti_Artl
07-Oct-24,1651.00,1662.60,5387707.00,336860.00,Bharti_Artl
04-Oct-24,1670.05,1644.00,8576527.00,291710.00,Bharti_Artl
03-Oct-24,1665.00,1684.60,7200276.00,238761.00,Bharti_Artl
01-Oct-24,1705.00,1704.75,3649090.00,133978.00,Bharti_Artl
30-Sep-24,1714.00,1713.35,6907288.00,214418.00,Bharti_Artl
27-Sep-24,1755.20,1737.00,7116861.00,269204.00,Bharti_Artl
26-Sep-24,1770.00,1767.15,7417423.00,185575.00,Bharti_Artl
25-Sep-24,1755.55,1761.00,4017103.00,180716.00,Bharti_Artl
24-Sep-24,1752.00,1757.00,7579205.00,248064.00,Bharti_Artl
23-Sep-24,1719.00,1751.15,5001827.00,203386.00,Bharti_Artl
20-Sep-24,1671.00,1710.00,21646275.00,401560.00,Bharti_Artl
19-Sep-24,1647.70,1672.00,8498240.00,258313.00,Bharti_Artl
18-Sep-24,1655.20,1650.10,3171195.00,149155.00,Bharti_Artl
17-Sep-24,1650.00,1663.00,4223072.00,166923.00,Bharti_Artl
16-Sep-24,1634.45,1636.45,3762063.00,139236.00,Bharti_Artl
13-Sep-24,1651.00,1632.20,5609618.00,194137.00,Bharti_Artl
12-Sep-24,1596.15,1634.00,12204496.00,296745.00,Bharti_Artl
11-Sep-24,1578.45,1579.40,5994914.00,197562.00,Bharti_Artl
10-Sep-24,1545.15,1577.10,6163457.00,207249.00,Bharti_Artl
09-Sep-24,1523.25,1541.00,3912508.00,107173.00,Bharti_Artl
06-Sep-24,1552.80,1540.10,5497805.00,211219.00,Bharti_Artl
05-Sep-24,1559.00,1545.05,5652812.00,222657.00,Bharti_Artl
04-Sep-24,1558.00,1561.30,5213811.00,142070.00,Bharti_Artl
03-Sep-24,1579.00,1559.05,4546295.00,104090.00,Bharti_Artl
02-Sep-24,1605.00,1576.75,4890314.00,187443.00,Bharti_Artl
30-Aug-24,1576.00,1584.00,37820442.00,328853.00,Bharti_Artl
29-Aug-24,1565.00,1565.00,8036748.00,222292.00,Bharti_Artl
28-Aug-24,1527.95,1554.00,6225319.00,193408.00,Bharti_Artl
27-Aug-24,1518.00,1520.65,3965066.00,120915.00,Bharti_Artl
26-Aug-24,1509.00,1512.00,4307432.00,116614.00,Bharti_Artl
23-Aug-24,1493.00,1510.00,6238112.00,176667.00,Bharti_Artl
22-Aug-24,1473.70,1486.90,6781325.00,237518.00,Bharti_Artl
21-Aug-24,1453.00,1466.60,6175510.00,193971.00,Bharti_Artl
20-Aug-24,1480.00,1449.00,10046892.00,205415.00,Bharti_Artl
19-Aug-24,1487.00,1470.00,4404075.00,186308.00,Bharti_Artl
16-Aug-24,1480.00,1485.90,7176426.00,226556.00,Bharti_Artl
14-Aug-24,1453.10,1473.25,5891784.00,210601.00,Bharti_Artl
13-Aug-24,1468.00,1458.75,4495208.00,230986.00,Bharti_Artl
12-Aug-24,1466.00,1463.40,4028226.00,152239.00,Bharti_Artl
09-Aug-24,1465.00,1463.30,3615910.00,191256.00,Bharti_Artl
08-Aug-24,1435.00,1449.05,5986360.00,241299.00,Bharti_Artl
07-Aug-24,1452.00,1437.45,5700734.00,240181.00,Bharti_Artl
06-Aug-24,1483.10,1445.55,8249573.00,273433.00,Bharti_Artl
05-Aug-24,1482.00,1469.00,5111901.00,237596.00,Bharti_Artl
02-Aug-24,1494.10,1492.70,3335905.00,144749.00,Bharti_Artl
01-Aug-24,1485.00,1502.10,4531379.00,242216.00,Bharti_Artl
31-Jul-24,1477.85,1493.00,5634305.00,221143.00,Bharti_Artl
30-Jul-24,1484.40,1468.90,4263689.00,135607.00,Bharti_Artl
29-Jul-24,1525.00,1482.85,4589313.00,166069.00,Bharti_Artl
26-Jul-24,1450.25,1511.75,9564987.00,315332.00,Bharti_Artl
25-Jul-24,1445.00,1449.75,4277756.00,147470.00,Bharti_Artl
24-Jul-24,1466.00,1454.90,4529339.00,190939.00,Bharti_Artl
23-Jul-24,1470.00,1465.40,2936143.00,147816.00,Bharti_Artl
22-Jul-24,1450.00,1463.90,3560584.00,205570.00,Bharti_Artl
19-Jul-24,1480.00,1463.05,3858596.00,166375.00,Bharti_Artl
18-Jul-24,1466.00,1480.60,6470342.00,268043.00,Bharti_Artl
16-Jul-24,1452.00,1463.60,6967651.00,193572.00,Bharti_Artl
15-Jul-24,1433.25,1436.05,3324806.00,163122.00,Bharti_Artl
12-Jul-24,1442.00,1429.90,6342135.00,231150.00,Bharti_Artl
11-Jul-24,1450.00,1438.75,4178558.00,175796.00,Bharti_Artl
10-Jul-24,1441.00,1444.95,3416762.00,163036.00,Bharti_Artl
09-Jul-24,1436.00,1434.35,2897480.00,122682.00,Bharti_Artl
08-Jul-24,1431.00,1434.55,3261797.00,100128.00,Bharti_Artl
05-Jul-24,1422.50,1429.25,4881198.00,190753.00,Bharti_Artl
04-Jul-24,1418.00,1424.45,9570938.00,271028.00,Bharti_Artl
03-Jul-24,1427.95,1421.65,8261388.00,360185.00,Bharti_Artl
02-Jul-24,1462.00,1419.05,7792632.00,315887.00,Bharti_Artl
01-Jul-24,1450.00,1458.00,6011806.00,234540.00,Bharti_Artl
