Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1509.70,1501.00,1660861.00,65109.00,Cipla
15-May-25,1495.00,1500.90,3918531.00,179484.00,Cipla
14-May-25,1495.00,1499.90,3417567.00,191966.00,Cipla
13-May-25,1515.00,1520.00,4042184.00,192782.00,Cipla
12-May-25,1478.00,1507.30,1706217.00,104009.00,Cipla
09-May-25,1469.90,1477.00,1042380.00,123546.00,Cipla
08-May-25,1500.00,1480.00,2773328.00,191367.00,Cipla
07-May-25,1500.00,1511.00,1424662.00,62971.00,Cipla
06-May-25,1530.00,1505.90,1788719.00,92252.00,Cipla
05-May-25,1532.00,1542.70,786898.00,40000.00,Cipla
02-May-25,1537.50,1530.00,2020145.00,93365.00,Cipla
30-Apr-25,1542.00,1550.00,2315010.00,83543.00,Cipla
29-Apr-25,1555.00,1542.00,1385331.00,92484.00,Cipla
28-Apr-25,1525.90,1552.00,1207247.00,92013.00,Cipla
25-Apr-25,1556.00,1525.10,1353813.00,88697.00,Cipla
24-Apr-25,1533.70,1554.00,1590469.00,76384.00,Cipla
23-Apr-25,1533.00,1532.00,819016.00,46358.00,Cipla
22-Apr-25,1514.90,1523.00,954974.00,51860.00,Cipla
21-Apr-25,1525.00,1513.50,570266.00,39460.00,Cipla
17-Apr-25,1498.00,1514.10,1211601.00,70640.00,Cipla
16-Apr-25,1467.10,1498.00,1023697.00,69137.00,Cipla
15-Apr-25,1482.20,1481.90,1720323.00,80819.00,Cipla
11-Apr-25,1460.00,1459.00,2311803.00,135303.00,Cipla
09-Apr-25,1416.50,1416.00,1701314.00,79805.00,Cipla
08-Apr-25,1394.80,1432.30,1324180.00,77089.00,Cipla
07-Apr-25,1336.00,1393.40,1604721.00,98777.00,Cipla
04-Apr-25,1495.70,1416.60,2768438.00,134028.00,Cipla
03-Apr-25,1482.00,1500.00,3488899.00,153378.00,Cipla
02-Apr-25,1441.00,1453.20,1054143.00,56930.00,Cipla
01-Apr-25,1438.55,1447.00,1080262.00,65591.00,Cipla
28-Mar-25,1475.00,1441.00,1495932.00,84874.00,Cipla
27-Mar-25,1464.70,1484.90,1848444.00,83275.00,Cipla
26-Mar-25,1507.00,1473.50,1375794.00,67387.00,Cipla
25-Mar-25,1530.00,1506.00,1092805.00,55781.00,Cipla
24-Mar-25,1525.05,1524.45,826040.00,59616.00,Cipla
21-Mar-25,1513.90,1515.75,2846648.00,66099.00,Cipla
20-Mar-25,1499.65,1508.25,984355.00,50285.00,Cipla
19-Mar-25,1515.00,1499.45,1015731.00,48442.00,Cipla
18-Mar-25,1499.10,1509.05,1571087.00,71601.00,Cipla
17-Mar-25,1459.85,1491.70,1329904.00,101217.00,Cipla
13-Mar-25,1456.40,1460.05,804032.00,49958.00,Cipla
12-Mar-25,1442.00,1453.80,1254797.00,52955.00,Cipla
11-Mar-25,1448.00,1448.50,1231247.00,60429.00,Cipla
10-Mar-25,1458.35,1460.60,905854.00,62850.00,Cipla
07-Mar-25,1465.95,1459.00,678497.00,41555.00,Cipla
06-Mar-25,1424.95,1460.50,1525159.00,132856.00,Cipla
05-Mar-25,1395.10,1418.75,2187830.00,113840.00,Cipla
04-Mar-25,1402.45,1404.00,1456530.00,88813.00,Cipla
03-Mar-25,1400.00,1407.00,854264.00,66799.00,Cipla
28-Feb-25,1440.00,1405.00,3340343.00,113326.00,Cipla
27-Feb-25,1452.00,1438.50,1260808.00,102761.00,Cipla
25-Feb-25,1471.00,1458.00,992994.00,46671.00,Cipla
24-Feb-25,1460.00,1476.55,1403090.00,78568.00,Cipla
21-Feb-25,1489.00,1472.00,1413123.00,74642.00,Cipla
20-Feb-25,1462.00,1478.15,1652209.00,77470.00,Cipla
19-Feb-25,1454.95,1465.95,1210464.00,68675.00,Cipla
18-Feb-25,1474.65,1482.00,967394.00,64310.00,Cipla
17-Feb-25,1457.45,1473.95,1113888.00,70847.00,Cipla
14-Feb-25,1478.00,1457.00,1703559.00,71450.00,Cipla
13-Feb-25,1449.20,1474.80,1879916.00,91612.00,Cipla
12-Feb-25,1453.15,1451.40,1791670.00,93230.00,Cipla
