Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,406.00,405.00,4702603.00,74827.00,CoalIndia
15-May-25,403.75,403.50,10511989.00,121229.00,CoalIndia
14-May-25,396.75,403.75,6822756.00,78279.00,CoalIndia
13-May-25,395.50,395.80,6307140.00,73665.00,CoalIndia
12-May-25,391.95,394.80,6743279.00,65946.00,CoalIndia
09-May-25,379.10,382.65,3809943.00,65041.00,CoalIndia
08-May-25,390.00,383.25,14258083.00,135448.00,CoalIndia
07-May-25,370.30,384.20,9162368.00,86743.00,CoalIndia
06-May-25,386.50,378.10,5982166.00,69718.00,CoalIndia
05-May-25,385.95,385.45,6395704.00,111481.00,CoalIndia
02-May-25,385.50,383.35,6455015.00,187022.00,CoalIndia
30-Apr-25,389.10,384.10,4559122.00,68225.00,CoalIndia
29-Apr-25,397.15,388.70,6274213.00,86558.00,CoalIndia
28-Apr-25,393.15,397.05,3458518.00,54186.00,CoalIndia
25-Apr-25,400.30,392.65,7337588.00,85539.00,CoalIndia
24-Apr-25,398.90,399.80,5762303.00,93435.00,CoalIndia
23-Apr-25,400.00,398.20,7429142.00,85047.00,CoalIndia
22-Apr-25,403.50,399.40,7558174.00,73532.00,CoalIndia
21-Apr-25,399.25,400.70,8987570.00,144005.00,CoalIndia
17-Apr-25,396.90,399.00,8364450.00,114556.00,CoalIndia
16-Apr-25,395.25,399.80,4992290.00,81985.00,CoalIndia
15-Apr-25,399.00,395.20,4371156.00,61357.00,CoalIndia
11-Apr-25,389.95,391.85,6185984.00,77309.00,CoalIndia
09-Apr-25,382.30,375.25,5781453.00,76973.00,CoalIndia
08-Apr-25,385.00,382.70,3577328.00,73491.00,CoalIndia
07-Apr-25,358.85,378.90,10202400.00,138083.00,CoalIndia
04-Apr-25,396.00,385.50,6718760.00,113957.00,CoalIndia
03-Apr-25,395.00,396.80,4970602.00,78446.00,CoalIndia
02-Apr-25,401.60,398.15,4197123.00,52849.00,CoalIndia
01-Apr-25,397.80,398.00,4332950.00,56235.00,CoalIndia
