Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1238.90,1228.50,882873.00,39496.00,Dr_Reddy
15-May-25,1214.00,1231.00,2053553.00,100056.00,Dr_Reddy
14-May-25,1213.30,1220.30,1197152.00,55110.00,Dr_Reddy
13-May-25,1196.00,1208.00,3134295.00,114153.00,Dr_Reddy
12-May-25,1155.90,1193.60,5065176.00,141292.00,Dr_Reddy
09-May-25,1142.50,1158.10,1248574.00,58467.00,Dr_Reddy
08-May-25,1152.70,1146.00,2616533.00,99397.00,Dr_Reddy
07-May-25,1143.40,1162.00,1421366.00,60034.00,Dr_Reddy
06-May-25,1172.20,1156.00,1990745.00,60270.00,Dr_Reddy
05-May-25,1188.70,1178.00,1893680.00,55068.00,Dr_Reddy
02-May-25,1176.10,1184.00,1306311.00,55170.00,Dr_Reddy
30-Apr-25,1176.20,1179.50,1604442.00,63580.00,Dr_Reddy
29-Apr-25,1204.40,1176.20,1663018.00,71628.00,Dr_Reddy
28-Apr-25,1176.30,1202.40,1236678.00,57178.00,Dr_Reddy
25-Apr-25,1203.90,1172.00,1286573.00,51311.00,Dr_Reddy
24-Apr-25,1179.00,1204.90,4819678.00,80333.00,Dr_Reddy
23-Apr-25,1185.10,1183.10,3192132.00,82010.00,Dr_Reddy
22-Apr-25,1173.90,1175.10,1313400.00,42491.00,Dr_Reddy
21-Apr-25,1163.40,1176.80,1938756.00,66564.00,Dr_Reddy
17-Apr-25,1150.10,1163.30,2788024.00,72694.00,Dr_Reddy
16-Apr-25,1150.20,1150.90,1451875.00,77501.00,Dr_Reddy
15-Apr-25,1140.90,1156.00,2683350.00,72640.00,Dr_Reddy
11-Apr-25,1139.90,1110.00,2740831.00,91866.00,Dr_Reddy
09-Apr-25,1094.50,1093.25,5511474.00,117243.00,Dr_Reddy
08-Apr-25,1100.00,1109.85,1577632.00,79851.00,Dr_Reddy
07-Apr-25,1020.00,1092.30,3888037.00,136195.00,Dr_Reddy
04-Apr-25,1151.80,1114.00,5423861.00,206413.00,Dr_Reddy
03-Apr-25,1190.50,1151.80,6324685.00,175194.00,Dr_Reddy
02-Apr-25,1150.00,1151.65,2071245.00,60874.00,Dr_Reddy
01-Apr-25,1144.20,1150.00,4158012.00,98563.00,Dr_Reddy
28-Mar-25,1159.25,1145.00,2762934.00,95730.00,Dr_Reddy
27-Mar-25,1160.00,1161.40,4460409.00,141276.00,Dr_Reddy
26-Mar-25,1177.90,1161.40,2864505.00,134793.00,Dr_Reddy
25-Mar-25,1210.30,1173.50,2860907.00,98645.00,Dr_Reddy
24-Mar-25,1205.00,1208.00,1660669.00,64032.00,Dr_Reddy
21-Mar-25,1190.20,1202.25,2313824.00,90859.00,Dr_Reddy
20-Mar-25,1178.95,1186.00,1521677.00,90571.00,Dr_Reddy
