Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,5504.00,5509.00,638327.00,59243.00,EicherMot
15-May-25,5500.00,5473.50,1930277.00,168706.00,EicherMot
14-May-25,5430.00,5447.00,315866.00,39786.00,EicherMot
13-May-25,5506.50,5424.00,416275.00,44047.00,EicherMot
12-May-25,5505.00,5525.00,327631.00,37927.00,EicherMot
09-May-25,5295.00,5328.00,412056.00,73452.00,EicherMot
08-May-25,5463.50,5355.00,609858.00,58774.00,EicherMot
07-May-25,5460.50,5468.50,349955.00,39958.00,EicherMot
06-May-25,5460.50,5505.00,514699.00,51260.00,EicherMot
05-May-25,5469.50,5473.00,320466.00,36689.00,EicherMot
02-May-25,5560.00,5428.00,695557.00,72873.00,EicherMot
30-Apr-25,5605.00,5573.50,509786.00,53509.00,EicherMot
29-Apr-25,5626.50,5574.50,309552.00,48124.00,EicherMot
28-Apr-25,5580.50,5618.00,403569.00,58261.00,EicherMot
25-Apr-25,5662.50,5560.00,457510.00,45892.00,EicherMot
24-Apr-25,5736.00,5632.00,503663.00,59332.00,EicherMot
23-Apr-25,5789.00,5730.00,582611.00,71511.00,EicherMot
22-Apr-25,5811.00,5789.00,459537.00,52379.00,EicherMot
21-Apr-25,5695.50,5808.00,551547.00,46644.00,EicherMot
17-Apr-25,5615.50,5663.00,564357.00,79735.00,EicherMot
16-Apr-25,5549.00,5600.00,734279.00,65271.00,EicherMot
15-Apr-25,5464.00,5549.50,542322.00,63928.00,EicherMot
11-Apr-25,5290.00,5339.40,500528.00,53726.00,EicherMot
09-Apr-25,5270.55,5254.95,472302.00,61725.00,EicherMot
08-Apr-25,5165.55,5238.95,355195.00,55452.00,EicherMot
07-Apr-25,5000.00,5078.40,519173.00,53428.00,EicherMot
04-Apr-25,5350.95,5240.25,261887.00,39560.00,EicherMot
03-Apr-25,5265.00,5372.50,224286.00,29951.00,EicherMot
02-Apr-25,5361.70,5322.00,365908.00,48174.00,EicherMot
01-Apr-25,5365.55,5301.15,562006.00,75797.00,EicherMot
28-Mar-25,5363.00,5345.25,286609.00,44226.00,EicherMot
27-Mar-25,5329.45,5347.00,603145.00,70233.00,EicherMot
26-Mar-25,5433.90,5398.00,384678.00,57741.00,EicherMot
25-Mar-25,5460.00,5419.00,324007.00,56087.00,EicherMot
24-Mar-25,5325.50,5426.00,316612.00,41935.00,EicherMot
21-Mar-25,5249.15,5315.05,414691.00,37927.00,EicherMot
20-Mar-25,5129.00,5234.00,491655.00,59222.00,EicherMot
19-Mar-25,5131.00,5105.00,417978.00,46552.00,EicherMot
18-Mar-25,5066.20,5104.80,328246.00,45966.00,EicherMot
17-Mar-25,4935.00,5050.20,287729.00,46074.00,EicherMot
13-Mar-25,5030.50,5010.00,265867.00,36902.00,EicherMot
12-Mar-25,4985.00,5024.25,235018.00,32220.00,EicherMot
11-Mar-25,4950.00,5005.00,228128.00,37829.00,EicherMot
10-Mar-25,5123.00,4972.50,316750.00,45702.00,EicherMot
07-Mar-25,5094.40,5130.00,590548.00,41109.00,EicherMot
06-Mar-25,4995.60,5086.00,648307.00,88275.00,EicherMot
05-Mar-25,4808.00,4990.60,551830.00,87549.00,EicherMot
04-Mar-25,4887.00,4808.05,638281.00,104850.00,EicherMot
03-Mar-25,4827.00,4914.00,503560.00,74867.00,EicherMot
28-Feb-25,4910.05,4803.00,1076243.00,107333.00,EicherMot
27-Feb-25,4960.50,4920.00,561804.00,48780.00,EicherMot
25-Feb-25,5028.00,4997.75,402917.00,48763.00,EicherMot
24-Feb-25,4936.00,5016.65,410180.00,70080.00,EicherMot
21-Feb-25,4888.00,4968.00,324027.00,46244.00,EicherMot
20-Feb-25,4780.00,4897.00,277284.00,49187.00,EicherMot
19-Feb-25,4700.00,4810.00,275722.00,46433.00,EicherMot
18-Feb-25,4769.00,4726.00,254026.00,38433.00,EicherMot
17-Feb-25,4700.00,4754.00,232211.00,49018.00,EicherMot
14-Feb-25,4831.10,4705.00,476473.00,66577.00,EicherMot
13-Feb-25,4850.65,4808.05,571526.00,103530.00,EicherMot
12-Feb-25,4950.00,4855.00,813864.00,113955.00,EicherMot
11-Feb-25,5138.85,4977.95,2272410.00,191586.00,EicherMot
10-Feb-25,5400.00,5327.80,631815.00,83029.00,EicherMot
07-Feb-25,5368.65,5391.85,604384.00,82257.00,EicherMot
06-Feb-25,5428.10,5350.00,361000.00,69431.00,EicherMot
05-Feb-25,5450.00,5428.10,442234.00,56295.00,EicherMot
04-Feb-25,5536.55,5451.00,591631.00,75856.00,EicherMot
03-Feb-25,5575.00,5474.00,1330533.00,129014.00,EicherMot
01-Feb-25,5214.80,5394.45,609534.00,73765.00,EicherMot
31-Jan-25,5165.00,5198.25,394118.00,46769.00,EicherMot
30-Jan-25,5182.90,5160.00,480830.00,66946.00,EicherMot
29-Jan-25,5080.55,5181.25,357310.00,60599.00,EicherMot
28-Jan-25,5160.00,5100.50,603950.00,75657.00,EicherMot
27-Jan-25,5190.00,5140.00,418597.00,68398.00,EicherMot
24-Jan-25,5134.00,5190.25,730641.00,77961.00,EicherMot
23-Jan-25,4996.60,5111.00,442186.00,73775.00,EicherMot
22-Jan-25,4980.00,4996.50,494734.00,64810.00,EicherMot
21-Jan-25,5032.35,4968.70,416551.00,46004.00,EicherMot
20-Jan-25,5012.35,5018.10,255315.00,34026.00,EicherMot
17-Jan-25,5005.00,5021.25,197564.00,25283.00,EicherMot
16-Jan-25,5112.05,5060.95,435315.00,50913.00,EicherMot
15-Jan-25,5037.90,5089.70,497259.00,45744.00,EicherMot
14-Jan-25,4950.05,5033.10,448429.00,38762.00,EicherMot
13-Jan-25,5010.00,4946.55,213093.00,42628.00,EicherMot
10-Jan-25,5150.00,5061.45,316803.00,52887.00,EicherMot
09-Jan-25,5186.30,5153.55,239408.00,53390.00,EicherMot
08-Jan-25,5212.20,5163.75,343162.00,69284.00,EicherMot
07-Jan-25,5250.10,5175.00,439721.00,73865.00,EicherMot
06-Jan-25,5310.75,5246.00,419050.00,54279.00,EicherMot
03-Jan-25,5325.00,5310.00,836689.00,79634.00,EicherMot
02-Jan-25,4885.00,5303.00,2863478.00,236386.00,EicherMot
01-Jan-25,4829.00,4867.25,290234.00,39120.00,EicherMot
31-Dec-24,4827.00,4825.00,313948.00,33582.00,EicherMot
30-Dec-24,4890.00,4850.00,242799.00,35170.00,EicherMot
27-Dec-24,4820.00,4874.00,408992.00,49541.00,EicherMot
26-Dec-24,4792.90,4800.00,328172.00,39609.00,EicherMot
24-Dec-24,4750.55,4800.00,227611.00,28645.00,EicherMot
23-Dec-24,4750.00,4756.95,371318.00,46896.00,EicherMot
20-Dec-24,4748.00,4740.00,386086.00,40390.00,EicherMot
19-Dec-24,4710.00,4770.00,500287.00,64173.00,EicherMot
18-Dec-24,4724.00,4758.95,331577.00,29155.00,EicherMot
17-Dec-24,4808.10,4730.00,402231.00,33489.00,EicherMot
16-Dec-24,4820.00,4822.00,404180.00,31195.00,EicherMot
13-Dec-24,4788.00,4831.00,404369.00,32779.00,EicherMot
12-Dec-24,4801.95,4802.70,236847.00,37435.00,EicherMot
11-Dec-24,4822.00,4803.35,240736.00,29297.00,EicherMot
10-Dec-24,4840.00,4815.60,342297.00,36118.00,EicherMot
09-Dec-24,4886.60,4857.40,377043.00,28283.00,EicherMot
06-Dec-24,4851.00,4882.85,327806.00,36748.00,EicherMot
05-Dec-24,4797.05,4826.05,525957.00,77188.00,EicherMot
04-Dec-24,4836.05,4803.55,349544.00,42361.00,EicherMot
03-Dec-24,4820.75,4842.00,351449.00,47974.00,EicherMot
02-Dec-24,4838.05,4824.95,250521.00,31210.00,EicherMot
29-Nov-24,4838.00,4832.20,407774.00,33922.00,EicherMot
28-Nov-24,4920.00,4849.00,954250.00,111888.00,EicherMot
27-Nov-24,4933.00,4923.00,189349.00,28494.00,EicherMot
26-Nov-24,5009.00,4947.00,564637.00,59597.00,EicherMot
25-Nov-24,4999.00,5009.00,945466.00,66541.00,EicherMot
22-Nov-24,4913.00,4980.50,339941.00,57001.00,EicherMot
21-Nov-24,4890.30,4895.00,593722.00,79979.00,EicherMot
19-Nov-24,4880.00,4953.00,452273.00,54001.00,EicherMot
18-Nov-24,4879.95,4874.00,494329.00,65184.00,EicherMot
14-Nov-24,4725.45,4890.95,2874648.00,197367.00,EicherMot
13-Nov-24,4700.00,4598.80,656931.00,65871.00,EicherMot
12-Nov-24,4788.00,4719.00,326018.00,48915.00,EicherMot
11-Nov-24,4762.00,4789.10,209237.00,24620.00,EicherMot
08-Nov-24,4875.00,4792.20,194765.00,34777.00,EicherMot
07-Nov-24,4917.15,4875.00,221554.00,29733.00,EicherMot
06-Nov-24,4910.95,4920.95,370356.00,47097.00,EicherMot
05-Nov-24,4831.85,4910.00,499976.00,60862.00,EicherMot
04-Nov-24,5002.45,4830.35,719165.00,81208.00,EicherMot
01-Nov-24,4984.85,4940.00,79729.00,7715.00,EicherMot
31-Oct-24,4869.00,4909.95,510074.00,62287.00,EicherMot
30-Oct-24,4850.10,4866.20,842334.00,78134.00,EicherMot
29-Oct-24,4688.00,4880.00,1065819.00,97905.00,EicherMot
28-Oct-24,4591.60,4697.95,989928.00,69991.00,EicherMot
25-Oct-24,4650.00,4601.00,446738.00,52913.00,EicherMot
24-Oct-24,4665.00,4670.00,288778.00,32211.00,EicherMot
23-Oct-24,4722.55,4660.70,655987.00,47729.00,EicherMot
22-Oct-24,4810.45,4759.45,528037.00,31633.00,EicherMot
