Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,242.60,244.90,30854384.00,152112.00,Eternal
15-May-25,236.20,242.18,40335990.00,191729.00,Eternal
14-May-25,232.00,236.27,23158211.00,144650.00,Eternal
13-May-25,238.00,231.50,44837486.00,309388.00,Eternal
12-May-25,232.00,239.05,31757003.00,163171.00,Eternal
09-May-25,222.00,228.15,24415321.00,255926.00,Eternal
08-May-25,235.25,227.00,49888442.00,222882.00,Eternal
07-May-25,228.60,236.48,31614852.00,137963.00,Eternal
06-May-25,240.00,232.70,25327712.00,213490.00,Eternal
05-May-25,234.50,240.10,37948115.00,240824.00,Eternal
02-May-25,220.05,234.41,104910316.00,697809.00,Eternal
30-Apr-25,232.00,231.43,45831746.00,213328.00,Eternal
29-Apr-25,228.37,231.16,32761971.00,177098.00,Eternal
28-Apr-25,226.00,226.70,29327020.00,146990.00,Eternal
25-Apr-25,235.90,227.71,32437650.00,165167.00,Eternal
24-Apr-25,237.00,236.80,46103369.00,186390.00,Eternal
23-Apr-25,237.48,238.15,42294685.00,280063.00,Eternal
22-Apr-25,236.00,236.57,59667380.00,320284.00,Eternal
21-Apr-25,229.00,234.22,66028533.00,318929.00,Eternal
17-Apr-25,220.60,232.00,70125937.00,302980.00,Eternal
16-Apr-25,220.51,221.85,26155875.00,130093.00,Eternal
15-Apr-25,224.25,222.90,45034496.00,194207.00,Eternal
11-Apr-25,216.00,216.00,28917549.00,179516.00,Eternal
09-Apr-25,216.00,211.15,25359931.00,162551.00,Eternal
08-Apr-25,213.19,214.55,62002510.00,362486.00,Eternal
07-Apr-25,196.00,211.00,64932923.00,334420.00,Eternal
04-Apr-25,211.84,210.46,48296676.00,248714.00,Eternal
03-Apr-25,208.15,211.00,44447473.00,298707.00,Eternal
02-Apr-25,203.50,211.70,59441448.00,277483.00,Eternal
01-Apr-25,201.70,203.35,63369467.00,361222.00,Eternal
28-Mar-25,204.24,201.20,74842762.00,334406.00,Eternal
27-Mar-25,204.47,203.00,400414753.00,539248.00,Eternal
26-Mar-25,202.35,204.47,114342130.00,478755.00,Eternal
25-Mar-25,223.80,210.20,84184995.00,422009.00,Eternal
24-Mar-25,228.80,222.84,41920679.00,246715.00,Eternal
21-Mar-25,220.00,227.50,113328549.00,257104.00,Eternal
20-Mar-25,226.00,224.00,61376776.00,188392.00,Eternal
19-Mar-25,218.50,223.80,65519150.00,381459.00,Eternal
18-Mar-25,204.28,218.91,79201906.00,367430.00,Eternal
17-Mar-25,200.00,204.28,48729405.00,312138.00,Eternal
13-Mar-25,208.20,202.50,60780855.00,278069.00,Eternal
12-Mar-25,209.09,205.80,80010768.00,320372.00,Eternal
11-Mar-25,205.01,208.50,122391053.00,655855.00,Eternal
10-Mar-25,217.41,211.51,62786821.00,293972.00,Eternal
07-Mar-25,223.89,217.10,43864788.00,224254.00,Eternal
06-Mar-25,231.44,225.02,31864115.00,193971.00,Eternal
05-Mar-25,229.00,227.07,33095222.00,196956.00,Eternal
04-Mar-25,220.60,226.90,40794122.00,230022.00,Eternal
03-Mar-25,222.05,222.47,33262928.00,237045.00,Eternal
28-Feb-25,226.00,221.50,115467128.00,299830.00,Eternal
27-Feb-25,226.00,228.91,33845022.00,166607.00,Eternal
25-Feb-25,224.20,225.80,48478366.00,273484.00,Eternal
24-Feb-25,219.98,222.57,43335473.00,239930.00,Eternal
21-Feb-25,233.00,229.81,36768250.00,249247.00,Eternal
20-Feb-25,231.50,232.95,27119319.00,187397.00,Eternal
19-Feb-25,220.60,234.00,47896911.00,294295.00,Eternal
18-Feb-25,220.00,222.50,35519896.00,220740.00,Eternal
17-Feb-25,213.19,218.83,23560419.00,260613.00,Eternal
14-Feb-25,218.54,216.44,32738152.00,188566.00,Eternal
13-Feb-25,218.01,217.49,25633804.00,173231.00,Eternal
12-Feb-25,213.01,217.00,86778158.00,468042.00,Eternal
11-Feb-25,227.00,216.00,71258339.00,406441.00,Eternal
10-Feb-25,233.35,227.00,38606975.00,208383.00,Eternal
07-Feb-25,230.70,233.37,39271458.00,234305.00,Eternal
06-Feb-25,233.47,229.90,41606913.00,289404.00,Eternal
05-Feb-25,234.00,231.49,36437504.00,351041.00,Eternal
04-Feb-25,242.00,233.29,64341167.00,341415.00,Eternal
03-Feb-25,233.99,238.65,70249177.00,385974.00,Eternal
01-Feb-25,220.35,235.02,85297849.00,498770.00,Eternal
31-Jan-25,219.00,222.10,33200044.00,154834.00,Eternal
30-Jan-25,223.00,218.75,44730687.00,199242.00,Eternal
29-Jan-25,211.00,222.15,53638588.00,262293.00,Eternal
28-Jan-25,206.25,209.30,54426157.00,279495.00,Eternal
27-Jan-25,213.00,206.10,55203993.00,309246.00,Eternal
24-Jan-25,221.00,215.45,43901547.00,265340.00,Eternal
23-Jan-25,219.65,220.95,75649874.00,376145.00,Eternal
22-Jan-25,207.15,218.10,178256196.00,654957.00,Eternal
21-Jan-25,223.00,215.40,308217731.00,1403192.00,Eternal
20-Jan-25,251.00,230.70,102666319.00,446072.00,Eternal
17-Jan-25,244.70,248.65,40007808.00,244274.00,Eternal
16-Jan-25,250.00,243.85,69621318.00,367498.00,Eternal
15-Jan-25,235.00,245.70,65921349.00,353117.00,Eternal
