Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,2845.00,2808.00,700214.00,48990.00,Grasim
15-May-25,2734.30,2829.50,1353535.00,92091.00,Grasim
14-May-25,2719.90,2739.00,330652.00,32256.00,Grasim
13-May-25,2741.00,2713.40,313964.00,28936.00,Grasim
12-May-25,2671.10,2741.00,498304.00,34800.00,Grasim
09-May-25,2676.90,2638.90,444671.00,46194.00,Grasim
08-May-25,2685.00,2680.60,966461.00,64880.00,Grasim
07-May-25,2699.00,2697.70,417883.00,32124.00,Grasim
06-May-25,2754.00,2718.00,288396.00,25953.00,Grasim
05-May-25,2730.00,2748.80,661587.00,42213.00,Grasim
02-May-25,2725.60,2715.00,1007903.00,42205.00,Grasim
30-Apr-25,2735.00,2722.10,662477.00,27818.00,Grasim
29-Apr-25,2753.10,2737.10,890929.00,41123.00,Grasim
28-Apr-25,2735.00,2752.00,416635.00,37851.00,Grasim
25-Apr-25,2726.00,2732.10,649356.00,45697.00,Grasim
24-Apr-25,2690.00,2730.50,562050.00,39302.00,Grasim
23-Apr-25,2750.10,2695.00,603774.00,43307.00,Grasim
22-Apr-25,2750.30,2737.70,211167.00,22885.00,Grasim
21-Apr-25,2755.00,2756.00,322964.00,37266.00,Grasim
17-Apr-25,2701.00,2761.90,1061496.00,91814.00,Grasim
16-Apr-25,2690.00,2715.80,462016.00,41564.00,Grasim
15-Apr-25,2675.00,2725.00,815058.00,52975.00,Grasim
11-Apr-25,2650.00,2660.00,669041.00,53806.00,Grasim
09-Apr-25,2562.50,2568.00,494024.00,40113.00,Grasim
08-Apr-25,2550.00,2593.00,1296141.00,58905.00,Grasim
07-Apr-25,2550.00,2511.60,974267.00,95346.00,Grasim
04-Apr-25,2635.10,2623.75,290533.00,26976.00,Grasim
03-Apr-25,2595.10,2652.00,298330.00,36091.00,Grasim
02-Apr-25,2619.00,2612.05,413523.00,40620.00,Grasim
01-Apr-25,2611.40,2612.05,317974.00,30190.00,Grasim
28-Mar-25,2614.95,2605.50,435022.00,43441.00,Grasim
27-Mar-25,2584.00,2596.10,1246219.00,69464.00,Grasim
26-Mar-25,2582.95,2585.00,555486.00,45628.00,Grasim
25-Mar-25,2529.75,2566.50,993289.00,78530.00,Grasim
24-Mar-25,2478.65,2511.00,594207.00,50743.00,Grasim
21-Mar-25,2479.90,2478.65,1372022.00,66480.00,Grasim
20-Mar-25,2464.80,2461.85,317002.00,34728.00,Grasim
19-Mar-25,2426.00,2460.00,415476.00,31153.00,Grasim
18-Mar-25,2402.35,2424.90,423611.00,36681.00,Grasim
17-Mar-25,2381.75,2400.00,646728.00,37957.00,Grasim
13-Mar-25,2402.00,2368.00,479648.00,39490.00,Grasim
12-Mar-25,2413.55,2398.70,561893.00,39218.00,Grasim
11-Mar-25,2372.00,2415.90,445250.00,43939.00,Grasim
10-Mar-25,2407.25,2386.20,650796.00,53695.00,Grasim
07-Mar-25,2380.00,2405.00,317388.00,35322.00,Grasim
06-Mar-25,2401.65,2388.20,754593.00,76858.00,Grasim
05-Mar-25,2404.00,2399.00,755361.00,94844.00,Grasim
04-Mar-25,2356.00,2395.85,521061.00,55486.00,Grasim
03-Mar-25,2328.50,2380.00,790068.00,89557.00,Grasim
28-Feb-25,2347.15,2324.85,1153007.00,74923.00,Grasim
27-Feb-25,2373.00,2347.00,1045684.00,81161.00,Grasim
25-Feb-25,2392.00,2370.70,497013.00,39966.00,Grasim
