Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1691.90,1661.00,2586263.00,99649.00,Hcl_Tech
15-May-25,1650.00,1692.00,4961582.00,184925.00,Hcl_Tech
14-May-25,1630.00,1641.30,1569126.00,83272.00,Hcl_Tech
13-May-25,1685.00,1619.90,3118470.00,119292.00,Hcl_Tech
12-May-25,1598.80,1663.00,4028207.00,133071.00,Hcl_Tech
09-May-25,1566.00,1572.50,2035161.00,85397.00,Hcl_Tech
08-May-25,1561.90,1572.10,2789018.00,98946.00,Hcl_Tech
07-May-25,1552.00,1565.30,5469936.00,128223.00,Hcl_Tech
06-May-25,1576.80,1570.00,2055057.00,86060.00,Hcl_Tech
05-May-25,1580.00,1569.00,1012225.00,59357.00,Hcl_Tech
02-May-25,1567.00,1572.40,1895904.00,93227.00,Hcl_Tech
30-Apr-25,1571.00,1556.50,3682256.00,129457.00,Hcl_Tech
29-Apr-25,1555.00,1570.00,2231069.00,89109.00,Hcl_Tech
28-Apr-25,1565.00,1550.00,2618810.00,107060.00,Hcl_Tech
25-Apr-25,1590.00,1576.40,3800415.00,118647.00,Hcl_Tech
24-Apr-25,1595.00,1590.30,3193118.00,123766.00,Hcl_Tech
23-Apr-25,1555.00,1594.40,13293318.00,329993.00,Hcl_Tech
22-Apr-25,1490.00,1485.90,2608145.00,95264.00,Hcl_Tech
21-Apr-25,1435.00,1478.00,2840104.00,97809.00,Hcl_Tech
17-Apr-25,1420.00,1439.00,3549969.00,168356.00,Hcl_Tech
16-Apr-25,1415.00,1434.00,2553111.00,93892.00,Hcl_Tech
15-Apr-25,1420.00,1426.00,3265147.00,94027.00,Hcl_Tech
11-Apr-25,1360.00,1393.50,4859622.00,185045.00,Hcl_Tech
09-Apr-25,1380.65,1380.70,3306801.00,135840.00,Hcl_Tech
08-Apr-25,1380.00,1402.90,3938359.00,147712.00,Hcl_Tech
07-Apr-25,1345.00,1377.95,6484139.00,266089.00,Hcl_Tech
04-Apr-25,1449.00,1427.00,4421312.00,196195.00,Hcl_Tech
03-Apr-25,1500.00,1468.40,3966161.00,214252.00,Hcl_Tech
02-Apr-25,1515.00,1531.00,3167863.00,108710.00,Hcl_Tech
01-Apr-25,1577.00,1534.50,4126827.00,191916.00,Hcl_Tech
28-Mar-25,1616.10,1591.00,2211077.00,80891.00,Hcl_Tech
27-Mar-25,1625.65,1637.25,3383080.00,112017.00,Hcl_Tech
26-Mar-25,1624.90,1625.65,3096513.00,106271.00,Hcl_Tech
25-Mar-25,1622.00,1621.05,4906013.00,175718.00,Hcl_Tech
24-Mar-25,1591.00,1602.85,2487843.00,100840.00,Hcl_Tech
21-Mar-25,1535.10,1565.00,8109210.00,157465.00,Hcl_Tech
20-Mar-25,1547.85,1555.00,4608677.00,183935.00,Hcl_Tech
19-Mar-25,1558.50,1547.00,4522829.00,163793.00,Hcl_Tech
18-Mar-25,1545.15,1560.95,2930865.00,110392.00,Hcl_Tech
17-Mar-25,1528.00,1545.00,2029100.00,102852.00,Hcl_Tech
13-Mar-25,1540.60,1532.00,1983351.00,109012.00,Hcl_Tech
12-Mar-25,1556.00,1537.60,3113860.00,127422.00,Hcl_Tech
11-Mar-25,1529.95,1567.00,1846190.00,116653.00,Hcl_Tech
10-Mar-25,1557.00,1549.80,1855766.00,111573.00,Hcl_Tech
07-Mar-25,1582.65,1558.60,2091986.00,117645.00,Hcl_Tech
06-Mar-25,1580.00,1582.65,2011489.00,107474.00,Hcl_Tech
05-Mar-25,1532.00,1573.00,3112003.00,132849.00,Hcl_Tech
04-Mar-25,1560.00,1536.50,3246644.00,143743.00,Hcl_Tech
03-Mar-25,1575.05,1573.80,1784684.00,113522.00,Hcl_Tech
28-Feb-25,1612.00,1576.70,4910121.00,257806.00,Hcl_Tech
27-Feb-25,1620.00,1621.00,2266866.00,123330.00,Hcl_Tech
25-Feb-25,1636.00,1635.10,1951519.00,102638.00,Hcl_Tech
24-Feb-25,1685.00,1642.75,4455420.00,253025.00,Hcl_Tech
21-Feb-25,1690.00,1695.65,1222563.00,113308.00,Hcl_Tech
20-Feb-25,1705.20,1690.90,1681532.00,127006.00,Hcl_Tech
