Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1933.80,1934.50,7934005.00,175140.00,HdfcBank
15-May-25,1913.50,1933.80,16120729.00,224596.00,HdfcBank
14-May-25,1922.10,1913.50,7722654.00,189542.00,HdfcBank
13-May-25,1950.00,1924.90,12121051.00,234495.00,HdfcBank
12-May-25,1917.60,1956.40,9309486.00,207249.00,HdfcBank
09-May-25,1910.10,1893.30,8594398.00,292155.00,HdfcBank
08-May-25,1954.80,1921.50,17401715.00,280256.00,HdfcBank
07-May-25,1934.00,1945.00,10710389.00,178998.00,HdfcBank
06-May-25,1930.00,1928.60,8745078.00,140830.00,HdfcBank
05-May-25,1939.00,1935.80,7534012.00,160044.00,HdfcBank
02-May-25,1929.80,1923.50,11406024.00,236285.00,HdfcBank
30-Apr-25,1913.00,1920.10,15968435.00,275126.00,HdfcBank
29-Apr-25,1918.80,1906.00,9459154.00,186299.00,HdfcBank
28-Apr-25,1911.20,1921.00,6960246.00,155527.00,HdfcBank
25-Apr-25,1924.80,1908.00,9250439.00,201781.00,HdfcBank
24-Apr-25,1910.00,1914.90,12965877.00,227034.00,HdfcBank
23-Apr-25,1978.90,1920.70,15285321.00,247823.00,HdfcBank
22-Apr-25,1935.00,1960.00,22980875.00,512026.00,HdfcBank
21-Apr-25,1924.00,1925.20,17123649.00,411337.00,HdfcBank
17-Apr-25,1882.00,1905.80,17851542.00,394807.00,HdfcBank
16-Apr-25,1883.80,1875.90,9568410.00,252887.00,HdfcBank
15-Apr-25,1865.00,1865.60,24649172.00,360194.00,HdfcBank
11-Apr-25,1774.75,1805.20,16387883.00,395826.00,HdfcBank
09-Apr-25,1765.00,1765.30,11227304.00,207950.00,HdfcBank
08-Apr-25,1765.00,1770.15,17781936.00,355184.00,HdfcBank
07-Apr-25,1762.80,1760.05,18997725.00,374557.00,HdfcBank
04-Apr-25,1813.00,1816.80,16770227.00,316416.00,HdfcBank
03-Apr-25,1781.10,1792.80,5625019.00,147618.00,HdfcBank
02-Apr-25,1770.70,1798.90,5786782.00,144509.00,HdfcBank
01-Apr-25,1802.00,1769.90,14255503.00,409481.00,HdfcBank
28-Mar-25,1829.00,1825.50,14386824.00,276619.00,HdfcBank
27-Mar-25,1800.00,1821.20,20829050.00,416415.00,HdfcBank
26-Mar-25,1825.00,1803.00,12239221.00,265431.00,HdfcBank
25-Mar-25,1804.90,1816.00,19550708.00,407401.00,HdfcBank
24-Mar-25,1779.00,1802.80,8696868.00,286856.00,HdfcBank
21-Mar-25,1755.55,1772.50,16754132.00,210244.00,HdfcBank
20-Mar-25,1754.00,1766.60,8916989.00,218030.00,HdfcBank
19-Mar-25,1735.00,1743.95,7610703.00,201878.00,HdfcBank
18-Mar-25,1728.00,1735.60,10953589.00,248631.00,HdfcBank
17-Mar-25,1705.00,1710.50,9475957.00,365060.00,HdfcBank
13-Mar-25,1716.05,1705.00,7868132.00,185351.00,HdfcBank
12-Mar-25,1691.55,1711.80,9392053.00,277146.00,HdfcBank
11-Mar-25,1682.40,1687.90,9949215.00,272484.00,HdfcBank
10-Mar-25,1689.00,1688.70,7802025.00,284969.00,HdfcBank
07-Mar-25,1682.00,1688.00,6686457.00,191461.00,HdfcBank
06-Mar-25,1687.00,1692.40,16483044.00,399697.00,HdfcBank
05-Mar-25,1701.95,1692.10,10791936.00,361183.00,HdfcBank
04-Mar-25,1698.00,1711.30,9960479.00,323741.00,HdfcBank
03-Mar-25,1739.80,1703.55,10602682.00,298350.00,HdfcBank
28-Feb-25,1685.00,1730.15,27258364.00,439035.00,HdfcBank
27-Feb-25,1682.55,1698.25,17893400.00,333728.00,HdfcBank
25-Feb-25,1671.10,1680.85,12069354.00,222521.00,HdfcBank
24-Feb-25,1681.10,1677.00,10346823.00,245559.00,HdfcBank
21-Feb-25,1680.90,1690.00,7840470.00,292907.00,HdfcBank
20-Feb-25,1711.00,1685.95,13195255.00,246655.00,HdfcBank
19-Feb-25,1717.00,1725.05,5942056.00,300603.00,HdfcBank
18-Feb-25,1713.05,1723.00,8175455.00,322226.00,HdfcBank
17-Feb-25,1685.20,1719.00,6469473.00,262946.00,HdfcBank
14-Feb-25,1701.90,1694.40,9979946.00,309031.00,HdfcBank
13-Feb-25,1699.00,1698.95,6301217.00,200278.00,HdfcBank
12-Feb-25,1693.00,1710.65,11404785.00,286053.00,HdfcBank
11-Feb-25,1703.00,1700.95,11362352.00,182730.00,HdfcBank
10-Feb-25,1717.30,1716.60,8597975.00,175150.00,HdfcBank
07-Feb-25,1750.00,1732.00,11754800.00,326327.00,HdfcBank
06-Feb-25,1735.50,1746.50,13380358.00,225108.00,HdfcBank
05-Feb-25,1733.00,1734.80,11837753.00,275185.00,HdfcBank
04-Feb-25,1688.70,1716.30,14308251.00,342091.00,HdfcBank
03-Feb-25,1670.00,1679.60,10138270.00,230780.00,HdfcBank
01-Feb-25,1697.50,1692.00,2793764.00,88839.00,HdfcBank
31-Jan-25,1687.25,1699.50,7910843.00,215938.00,HdfcBank
30-Jan-25,1681.00,1693.10,12872423.00,263161.00,HdfcBank
29-Jan-25,1675.00,1676.00,6309945.00,196187.00,HdfcBank
28-Jan-25,1647.00,1673.30,15089656.00,350835.00,HdfcBank
27-Jan-25,1641.10,1629.50,11402083.00,277125.00,HdfcBank
24-Jan-25,1660.00,1645.00,12118100.00,271994.00,HdfcBank
23-Jan-25,1687.00,1665.00,17454579.00,445411.00,HdfcBank
22-Jan-25,1642.40,1671.90,15309653.00,367130.00,HdfcBank
21-Jan-25,1658.25,1645.75,15579072.00,270722.00,HdfcBank
20-Jan-25,1626.00,1652.85,8778809.00,226533.00,HdfcBank
17-Jan-25,1643.50,1636.70,11556038.00,214237.00,HdfcBank
16-Jan-25,1652.85,1654.85,10606227.00,215124.00,HdfcBank
15-Jan-25,1656.50,1645.70,7011446.00,207907.00,HdfcBank
14-Jan-25,1639.90,1650.75,13330716.00,315905.00,HdfcBank
13-Jan-25,1640.00,1632.10,10834533.00,275849.00,HdfcBank
10-Jan-25,1671.00,1657.00,8726640.00,215325.00,HdfcBank
09-Jan-25,1684.15,1668.80,20210111.00,484900.00,HdfcBank
08-Jan-25,1708.25,1694.20,9869095.00,333259.00,HdfcBank
07-Jan-25,1715.00,1712.95,6763953.00,183035.00,HdfcBank
06-Jan-25,1740.10,1711.00,9408174.00,286152.00,HdfcBank
03-Jan-25,1791.00,1748.40,12213097.00,331392.00,HdfcBank
02-Jan-25,1777.10,1792.35,9279288.00,207825.00,HdfcBank
01-Jan-25,1773.45,1784.95,3656903.00,137050.00,HdfcBank
31-Dec-24,1770.30,1772.00,7058618.00,178863.00,HdfcBank
30-Dec-24,1792.20,1784.00,11111109.00,242576.00,HdfcBank
