Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,750,748.65,1426234,43247,Hdfc_Life
15-May-25,743.05,748.65,3338741,105170,Hdfc_Life
14-May-25,740,741,2058831,62944,Hdfc_Life
13-May-25,735.4,735.3,1445358,72517,Hdfc_Life
12-May-25,720,733.65,1488045,55032,Hdfc_Life
09-May-25,709,716.45,3210705,80101,Hdfc_Life
08-May-25,718.5,718.05,3057761,81929,Hdfc_Life
07-May-25,719,721.4,1657343,58325,Hdfc_Life
06-May-25,738.9,723,1498360,63756,Hdfc_Life
05-May-25,730.1,738,2761798,50082,Hdfc_Life
02-May-25,743.7,726.5,3286801,103466,Hdfc_Life
30-Apr-25,712.1,745,8732964,185049,Hdfc_Life
29-Apr-25,715.9,715,2545118,73402,Hdfc_Life
28-Apr-25,702.7,707.65,1944250,62876,Hdfc_Life
25-Apr-25,711.45,702.7,3714671,83753,Hdfc_Life
24-Apr-25,713,705,3814638,89289,Hdfc_Life
23-Apr-25,715.4,708.2,2091384,67663,Hdfc_Life
22-Apr-25,718,708.6,2669384,75038,Hdfc_Life
21-Apr-25,725,712,6168127,122923,Hdfc_Life
17-Apr-25,716.05,719,3105731,110298,Hdfc_Life
16-Apr-25,700.2,717,3452538,94375,Hdfc_Life
15-Apr-25,691.15,705.35,2306442,92660,Hdfc_Life
11-Apr-25,683.4,684.8,3264303,96854,Hdfc_Life
09-Apr-25,685.5,685.5,3054715,85553,Hdfc_Life
08-Apr-25,674.5,685,3279965,81267,Hdfc_Life
07-Apr-25,663.75,667.25,3861746,124294,Hdfc_Life
04-Apr-25,687,685.9,3867188,65940,Hdfc_Life
03-Apr-25,688.5,692.45,1353987,47622,Hdfc_Life
02-Apr-25,693.3,694.05,3047499,105788,Hdfc_Life
01-Apr-25,683,693,4620146,100236,Hdfc_Life
28-Mar-25,683.9,684,3116601,84133,Hdfc_Life
27-Mar-25,668.4,682,5951034,134010,Hdfc_Life
26-Mar-25,673.1,671.15,2231203,102998,Hdfc_Life
25-Mar-25,683,672.9,2019661,56290,Hdfc_Life
24-Mar-25,679.6,681,1401023,49932,Hdfc_Life
21-Mar-25,677.8,680.95,3725271,80959,Hdfc_Life
20-Mar-25,665,672.1,4425855,96913,Hdfc_Life
19-Mar-25,642,665.1,2470532,59848,Hdfc_Life
18-Mar-25,631.15,640,2094678,52360,Hdfc_Life
17-Mar-25,622.4,629.3,1075113,37055,Hdfc_Life
13-Mar-25,631,620.65,2211232,71075,Hdfc_Life
12-Mar-25,636.95,631.8,2704337,75264,Hdfc_Life
11-Mar-25,623,636.25,2677293,78008,Hdfc_Life
10-Mar-25,625.05,623.2,2316148,92941,Hdfc_Life
07-Mar-25,618.3,625.3,3169440,92283,Hdfc_Life
06-Mar-25,621.2,617.1,2491123,98117,Hdfc_Life
05-Mar-25,613,618.15,2661830,48099,Hdfc_Life
04-Mar-25,613.1,616,3262295,70668,Hdfc_Life
03-Mar-25,608.5,618.8,3624490,110919,Hdfc_Life
28-Feb-25,614,609.5,5013148,135186,Hdfc_Life
27-Feb-25,625,615,1831493,74038,Hdfc_Life
25-Feb-25,617.05,620,1606709,44404,Hdfc_Life
24-Feb-25,616,617.75,983443,42718,Hdfc_Life
21-Feb-25,617.8,622.5,1627631,59167,Hdfc_Life
20-Feb-25,623,620.4,2881981,67736,Hdfc_Life
19-Feb-25,617,623,2007325,61497,Hdfc_Life
18-Feb-25,624,618.7,1887686,76295,Hdfc_Life
17-Feb-25,626.2,624,1860572,68311,Hdfc_Life
14-Feb-25,630,624.95,1693078,56209,Hdfc_Life
13-Feb-25,629.15,629.3,2808139,96311,Hdfc_Life
12-Feb-25,618.1,628.85,3378279,87765,Hdfc_Life
11-Feb-25,632.25,620.2,2327875,69162,Hdfc_Life
10-Feb-25,636,634,3394573,98246,Hdfc_Life
07-Feb-25,631.95,637.1,2538330,76073,Hdfc_Life
06-Feb-25,626.45,634,4837012,142226,Hdfc_Life
05-Feb-25,626,626.5,4467504,78348,Hdfc_Life
04-Feb-25,627.95,626,3244955,55542,Hdfc_Life
03-Feb-25,615.5,622,3293387,71843,Hdfc_Life
01-Feb-25,639.05,625,10039413,193732,Hdfc_Life
31-Jan-25,638,638.85,1012392,42673,Hdfc_Life
30-Jan-25,624.7,635,2899445,64602,Hdfc_Life
29-Jan-25,612,628.15,2005819,59971,Hdfc_Life
28-Jan-25,610.95,612,2662789,90523,Hdfc_Life
