Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,4330.00,4335.00,765257.00,76782.00,HeroMotoCo
15-May-25,4083.00,4318.00,2629014.00,202903.00,HeroMotoCo
14-May-25,4070.00,4050.00,1199813.00,120276.00,HeroMotoCo
13-May-25,3999.00,4055.50,1197629.00,105993.00,HeroMotoCo
12-May-25,3929.90,3998.00,547435.00,49149.00,HeroMotoCo
09-May-25,3735.00,3850.00,859973.00,66473.00,HeroMotoCo
08-May-25,3869.00,3800.00,739365.00,65769.00,HeroMotoCo
07-May-25,3820.00,3860.50,448141.00,49089.00,HeroMotoCo
06-May-25,3785.00,3861.00,1210118.00,98164.00,HeroMotoCo
05-May-25,3769.00,3785.00,640182.00,50202.00,HeroMotoCo
02-May-25,3803.60,3741.00,1042867.00,88831.00,HeroMotoCo
30-Apr-25,3852.70,3836.00,892342.00,59174.00,HeroMotoCo
29-Apr-25,3935.50,3855.10,428581.00,40782.00,HeroMotoCo
28-Apr-25,3895.00,3920.60,521342.00,63569.00,HeroMotoCo
25-Apr-25,3960.00,3876.00,652719.00,63879.00,HeroMotoCo
24-Apr-25,3940.60,3962.90,1227984.00,73562.00,HeroMotoCo
23-Apr-25,3862.10,3930.00,800615.00,77599.00,HeroMotoCo
22-Apr-25,3901.00,3837.90,927543.00,71536.00,HeroMotoCo
21-Apr-25,3794.00,3903.40,1031160.00,69820.00,HeroMotoCo
17-Apr-25,3781.90,3772.00,970749.00,123832.00,HeroMotoCo
16-Apr-25,3809.00,3790.00,491227.00,55108.00,HeroMotoCo
15-Apr-25,3749.00,3808.10,604277.00,63500.00,HeroMotoCo
11-Apr-25,3620.45,3663.00,436704.00,42603.00,HeroMotoCo
09-Apr-25,3590.00,3621.45,584571.00,69533.00,HeroMotoCo
08-Apr-25,3600.00,3581.00,450859.00,57580.00,HeroMotoCo
07-Apr-25,3478.95,3526.05,605866.00,69578.00,HeroMotoCo
04-Apr-25,3744.95,3662.45,330498.00,46613.00,HeroMotoCo
03-Apr-25,3780.00,3745.00,339509.00,37683.00,HeroMotoCo
02-Apr-25,3770.00,3782.10,321687.00,30335.00,HeroMotoCo
01-Apr-25,3707.35,3767.00,506307.00,55234.00,HeroMotoCo
28-Mar-25,3779.00,3721.00,509889.00,57695.00,HeroMotoCo
27-Mar-25,3634.00,3760.00,1525094.00,123576.00,HeroMotoCo
26-Mar-25,3650.00,3653.00,755658.00,66082.00,HeroMotoCo
25-Mar-25,3652.50,3630.00,544164.00,50512.00,HeroMotoCo
