Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,659.50,656.90,2701320.00,50769.00,Hindalco
15-May-25,649.50,658.80,7133226.00,118633.00,Hindalco
14-May-25,635.50,649.50,4819584.00,88106.00,Hindalco
13-May-25,645.00,635.00,6025310.00,141675.00,Hindalco
12-May-25,640.15,651.25,5474816.00,115187.00,Hindalco
09-May-25,609.10,626.10,3870212.00,91149.00,Hindalco
08-May-25,635.80,616.00,5791783.00,93014.00,Hindalco
07-May-25,633.00,635.85,3587997.00,69049.00,Hindalco
06-May-25,638.95,629.05,2778131.00,49197.00,Hindalco
05-May-25,635.25,634.35,2552160.00,49268.00,Hindalco
02-May-25,624.00,632.90,6341829.00,105893.00,Hindalco
30-Apr-25,622.55,620.55,5905186.00,89794.00,Hindalco
29-Apr-25,631.05,622.50,4528870.00,76239.00,Hindalco
28-Apr-25,622.45,628.85,3965901.00,91323.00,Hindalco
25-Apr-25,632.40,620.15,3925971.00,82917.00,Hindalco
24-Apr-25,630.00,628.35,3367773.00,54284.00,Hindalco
23-Apr-25,628.75,627.70,4674766.00,76624.00,Hindalco
22-Apr-25,625.00,619.15,4970919.00,116465.00,Hindalco
21-Apr-25,611.50,622.10,2655716.00,75352.00,Hindalco
17-Apr-25,608.90,608.00,4518317.00,89278.00,Hindalco
16-Apr-25,618.15,609.65,4447732.00,72861.00,Hindalco
15-Apr-25,613.00,618.05,4871858.00,78805.00,Hindalco
11-Apr-25,585.00,601.80,12562852.00,157756.00,Hindalco
09-Apr-25,567.75,564.25,7009318.00,129782.00,Hindalco
08-Apr-25,575.00,569.25,8831753.00,155654.00,Hindalco
07-Apr-25,559.00,564.45,13117998.00,266862.00,Hindalco
04-Apr-25,645.00,600.00,9393865.00,150679.00,Hindalco
03-Apr-25,658.00,653.10,5646497.00,100577.00,Hindalco
02-Apr-25,668.70,661.45,8357384.00,100908.00,Hindalco
01-Apr-25,672.00,663.50,5131883.00,76650.00,Hindalco
28-Mar-25,690.50,682.00,4362212.00,100592.00,Hindalco
27-Mar-25,690.95,691.55,5002247.00,82861.00,Hindalco
26-Mar-25,695.00,691.00,3646226.00,64325.00,Hindalco
25-Mar-25,700.45,692.00,4552278.00,81042.00,Hindalco
24-Mar-25,704.85,702.35,4296847.00,113449.00,Hindalco
21-Mar-25,715.00,697.00,7595841.00,103691.00,Hindalco
