Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,2360.00,2380.00,1473000.00,68020.00,HindUnilvr
15-May-25,2351.60,2355.00,3236681.00,145637.00,HindUnilvr
14-May-25,2370.00,2351.70,1568111.00,89391.00,HindUnilvr
13-May-25,2375.60,2359.70,1929665.00,102660.00,HindUnilvr
12-May-25,2360.00,2381.70,1274873.00,61649.00,HindUnilvr
09-May-25,2330.00,2336.00,1805685.00,99944.00,HindUnilvr
08-May-25,2361.70,2346.80,2323073.00,115982.00,HindUnilvr
07-May-25,2369.00,2367.10,1610400.00,69587.00,HindUnilvr
06-May-25,2340.20,2381.60,1888125.00,98625.00,HindUnilvr
05-May-25,2324.10,2346.50,2074103.00,77265.00,HindUnilvr
02-May-25,2334.10,2318.60,1953078.00,82367.00,HindUnilvr
30-Apr-25,2320.00,2335.50,2083807.00,133969.00,HindUnilvr
29-Apr-25,2328.00,2325.00,1896387.00,76093.00,HindUnilvr
28-Apr-25,2345.00,2317.60,1555660.00,77606.00,HindUnilvr
25-Apr-25,2331.90,2328.10,2859858.00,167193.00,HindUnilvr
24-Apr-25,2423.80,2324.00,7065430.00,291862.00,HindUnilvr
23-Apr-25,2410.00,2422.00,2226066.00,107014.00,HindUnilvr
22-Apr-25,2370.00,2403.00,2352346.00,108902.00,HindUnilvr
21-Apr-25,2368.10,2352.00,1478430.00,95682.00,HindUnilvr
17-Apr-25,2357.10,2372.50,1962402.00,123489.00,HindUnilvr
16-Apr-25,2351.00,2364.50,1131979.00,58736.00,HindUnilvr
15-Apr-25,2400.00,2368.00,3042779.00,102995.00,HindUnilvr
11-Apr-25,2394.60,2362.10,3836083.00,150510.00,HindUnilvr
09-Apr-25,2293.95,2349.00,2989089.00,138810.00,HindUnilvr
08-Apr-25,2268.30,2293.95,2774874.00,145572.00,HindUnilvr
07-Apr-25,2150.00,2250.00,3435185.00,194418.00,HindUnilvr
04-Apr-25,2230.00,2243.35,1120226.00,61995.00,HindUnilvr
03-Apr-25,2225.45,2241.65,1310088.00,73387.00,HindUnilvr
02-Apr-25,2243.70,2237.00,1351493.00,73173.00,HindUnilvr
01-Apr-25,2259.00,2237.00,2495962.00,107898.00,HindUnilvr
28-Mar-25,2247.00,2257.85,2280152.00,98348.00,HindUnilvr
27-Mar-25,2244.20,2243.85,3752627.00,105998.00,HindUnilvr
26-Mar-25,2272.00,2246.30,1416907.00,96908.00,HindUnilvr
25-Mar-25,2250.75,2264.70,2229340.00,113061.00,HindUnilvr
24-Mar-25,2250.25,2265.15,1454404.00,66657.00,HindUnilvr
21-Mar-25,2245.00,2247.50,2152415.00,89511.00,HindUnilvr
20-Mar-25,2203.90,2239.45,1426689.00,75743.00,HindUnilvr
19-Mar-25,2207.00,2198.95,1341405.00,68294.00,HindUnilvr
18-Mar-25,2189.65,2204.90,1475585.00,74920.00,HindUnilvr
17-Mar-25,2161.00,2172.50,1111886.00,77099.00,HindUnilvr
13-Mar-25,2185.00,2177.00,1845629.00,97573.00,HindUnilvr
12-Mar-25,2217.35,2194.65,1526212.00,73258.00,HindUnilvr
11-Mar-25,2240.00,2220.00,1325891.00,94027.00,HindUnilvr
10-Mar-25,2208.00,2246.50,1242387.00,100482.00,HindUnilvr
07-Mar-25,2226.70,2207.95,1738356.00,56239.00,HindUnilvr
06-Mar-25,2175.00,2221.85,1856868.00,118991.00,HindUnilvr
05-Mar-25,2152.00,2175.00,1145673.00,74606.00,HindUnilvr
04-Mar-25,2179.95,2152.50,1800330.00,93829.00,HindUnilvr
