Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1453.30,1452.40,6439208.00,145344.00,IciciBank
15-May-25,1425.90,1451.00,18209264.00,211899.00,IciciBank
14-May-25,1429.90,1427.40,8026837.00,143054.00,IciciBank
13-May-25,1440.10,1430.80,12475424.00,209013.00,IciciBank
12-May-25,1409.40,1451.50,9925445.00,180758.00,IciciBank
09-May-25,1415.20,1389.00,13491197.00,248736.00,IciciBank
08-May-25,1438.60,1427.30,15306490.00,182407.00,IciciBank
07-May-25,1425.00,1437.10,10480453.00,166481.00,IciciBank
06-May-25,1429.00,1430.00,6301690.00,133476.00,IciciBank
05-May-25,1440.00,1427.40,4565705.00,115354.00,IciciBank
02-May-25,1426.90,1429.00,10763492.00,170242.00,IciciBank
30-Apr-25,1433.00,1424.30,14192027.00,238248.00,IciciBank
29-Apr-25,1428.80,1425.50,10786910.00,223499.00,IciciBank
28-Apr-25,1405.60,1428.00,10948561.00,192819.00,IciciBank
25-Apr-25,1410.00,1403.00,11705093.00,234552.00,IciciBank
24-Apr-25,1416.30,1401.00,15678099.00,210098.00,IciciBank
23-Apr-25,1429.00,1422.00,13990764.00,220724.00,IciciBank
22-Apr-25,1412.80,1414.00,16135274.00,275616.00,IciciBank
21-Apr-25,1436.00,1408.10,16882426.00,291654.00,IciciBank
17-Apr-25,1362.00,1407.00,17490424.00,294006.00,IciciBank
16-Apr-25,1357.00,1358.00,14039073.00,180990.00,IciciBank
15-Apr-25,1351.00,1350.40,15202603.00,222333.00,IciciBank
11-Apr-25,1305.10,1312.05,13064247.00,224885.00,IciciBank
09-Apr-25,1304.95,1304.00,13005622.00,237174.00,IciciBank
08-Apr-25,1299.85,1300.05,13085762.00,171223.00,IciciBank
07-Apr-25,1295.25,1294.10,19185012.00,515573.00,IciciBank
04-Apr-25,1329.55,1335.00,8648542.00,166068.00,IciciBank
03-Apr-25,1321.95,1328.95,4591008.00,127085.00,IciciBank
02-Apr-25,1322.15,1330.85,8042214.00,127734.00,IciciBank
01-Apr-25,1340.00,1318.15,14288024.00,206118.00,IciciBank
28-Mar-25,1336.00,1348.00,8266544.00,142133.00,IciciBank
27-Mar-25,1333.15,1339.00,15109614.00,187305.00,IciciBank
26-Mar-25,1344.05,1335.45,10859639.00,197579.00,IciciBank
25-Mar-25,1359.00,1341.95,16419207.00,326362.00,IciciBank
24-Mar-25,1355.95,1361.20,9352280.00,203054.00,IciciBank
21-Mar-25,1316.00,1337.95,60494318.00,344744.00,IciciBank
20-Mar-25,1320.00,1318.55,10886735.00,252535.00,IciciBank
19-Mar-25,1305.60,1316.00,11278014.00,244205.00,IciciBank
18-Mar-25,1285.50,1311.50,15645427.00,337230.00,IciciBank
17-Mar-25,1257.05,1268.65,11164882.00,226414.00,IciciBank
13-Mar-25,1251.05,1248.65,8132940.00,190526.00,IciciBank
12-Mar-25,1246.95,1244.45,11548372.00,197340.00,IciciBank
11-Mar-25,1217.20,1244.15,10927950.00,238907.00,IciciBank
10-Mar-25,1208.00,1212.90,7363437.00,152261.00,IciciBank
07-Mar-25,1211.10,1213.40,6620284.00,118643.00,IciciBank
06-Mar-25,1227.95,1219.80,11949475.00,250155.00,IciciBank
05-Mar-25,1217.00,1215.00,9052846.00,199811.00,IciciBank
04-Mar-25,1207.15,1212.80,9574490.00,169550.00,IciciBank
03-Mar-25,1210.50,1208.70,8158881.00,208311.00,IciciBank
28-Feb-25,1216.00,1201.10,20215075.00,268866.00,IciciBank
27-Feb-25,1225.15,1220.00,12008162.00,234248.00,IciciBank
25-Feb-25,1226.60,1225.80,11059417.00,199168.00,IciciBank
24-Feb-25,1226.70,1219.70,11522480.00,206398.00,IciciBank
21-Feb-25,1241.10,1232.00,7786428.00,178759.00,IciciBank
20-Feb-25,1255.35,1248.15,8398849.00,204041.00,IciciBank
