Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,750.00,784.70,27168178.00,320489.00,IndusIndBk
15-May-25,778.00,780.00,7350633.00,174654.00,IndusIndBk
14-May-25,775.00,781.95,9164606.00,172774.00,IndusIndBk
13-May-25,794.00,770.00,10848937.00,210993.00,IndusIndBk
12-May-25,835.00,790.00,14573162.00,237496.00,IndusIndBk
09-May-25,805.50,817.50,5074137.00,98032.00,IndusIndBk
08-May-25,835.00,816.65,13290700.00,175673.00,IndusIndBk
07-May-25,827.00,830.60,9432595.00,156666.00,IndusIndBk
06-May-25,846.75,833.90,10040705.00,131351.00,IndusIndBk
05-May-25,855.00,848.15,7875811.00,139401.00,IndusIndBk
02-May-25,835.00,850.50,9074101.00,157808.00,IndusIndBk
30-Apr-25,820.00,833.00,20241775.00,265011.00,IndusIndBk
29-Apr-25,841.95,837.50,8769289.00,154246.00,IndusIndBk
28-Apr-25,828.00,830.50,6929801.00,119146.00,IndusIndBk
25-Apr-25,822.00,820.00,11724192.00,199413.00,IndusIndBk
24-Apr-25,795.00,819.35,22577201.00,306159.00,IndusIndBk
23-Apr-25,797.45,793.00,10657940.00,185205.00,IndusIndBk
22-Apr-25,790.00,788.55,25698945.00,409669.00,IndusIndBk
21-Apr-25,802.00,826.95,15639685.00,251321.00,IndusIndBk
17-Apr-25,788.25,792.70,13986710.00,225534.00,IndusIndBk
16-Apr-25,747.00,785.50,31252589.00,419648.00,IndusIndBk
15-Apr-25,705.00,735.50,12452925.00,228154.00,IndusIndBk
11-Apr-25,684.95,693.00,5019467.00,178907.00,IndusIndBk
09-Apr-25,679.65,678.30,4243562.00,106130.00,IndusIndBk
08-Apr-25,684.90,685.55,5639989.00,132629.00,IndusIndBk
07-Apr-25,637.00,678.50,9382614.00,175319.00,IndusIndBk
04-Apr-25,701.00,684.70,9627949.00,170564.00,IndusIndBk
03-Apr-25,694.95,708.60,6972769.00,143787.00,IndusIndBk
02-Apr-25,682.70,703.00,14993840.00,170583.00,IndusIndBk
01-Apr-25,649.00,682.70,14019630.00,240365.00,IndusIndBk
28-Mar-25,672.00,649.05,8807815.00,170300.00,IndusIndBk
27-Mar-25,655.30,673.50,21589495.00,233736.00,IndusIndBk
26-Mar-25,637.40,658.30,23506399.00,269471.00,IndusIndBk
25-Mar-25,670.20,635.15,18615476.00,399250.00,IndusIndBk
24-Mar-25,692.00,667.75,14649992.00,263606.00,IndusIndBk
21-Mar-25,685.00,689.00,14265415.00,141666.00,IndusIndBk
20-Mar-25,697.50,685.00,8918567.00,129789.00,IndusIndBk
19-Mar-25,685.00,691.95,11120576.00,158495.00,IndusIndBk
18-Mar-25,685.95,681.05,12117539.00,185319.00,IndusIndBk
17-Mar-25,705.00,676.15,22353235.00,313919.00,IndusIndBk
13-Mar-25,690.00,672.65,31592987.00,372332.00,IndusIndBk
12-Mar-25,630.00,685.00,108682122.00,1112705.00,IndusIndBk
11-Mar-25,810.45,656.80,101075220.00,1087296.00,IndusIndBk
10-Mar-25,895.00,901.95,16014401.00,290034.00,IndusIndBk
07-Mar-25,971.00,935.00,7737031.00,171823.00,IndusIndBk
06-Mar-25,976.00,969.55,3928358.00,114201.00,IndusIndBk
05-Mar-25,984.25,973.00,3944062.00,97539.00,IndusIndBk
04-Mar-25,978.00,988.00,3271190.00,95376.00,IndusIndBk
03-Mar-25,978.95,984.40,6158061.00,180102.00,IndusIndBk
28-Feb-25,1040.00,972.30,55666745.00,383436.00,IndusIndBk
27-Feb-25,1046.90,1040.70,5951737.00,134263.00,IndusIndBk
25-Feb-25,1028.20,1029.90,3628538.00,122115.00,IndusIndBk
24-Feb-25,1030.10,1029.50,3074297.00,86690.00,IndusIndBk
21-Feb-25,1041.55,1043.00,2589619.00,68672.00,IndusIndBk
20-Feb-25,1029.95,1045.00,1819683.00,63972.00,IndusIndBk
19-Feb-25,1024.10,1034.20,2464555.00,99406.00,IndusIndBk
18-Feb-25,1045.00,1022.10,2620716.00,97530.00,IndusIndBk
17-Feb-25,1024.40,1050.30,2795714.00,95658.00,IndusIndBk
14-Feb-25,1049.60,1023.05,4036016.00,104813.00,IndusIndBk
13-Feb-25,1039.50,1049.95,4539780.00,139511.00,IndusIndBk
12-Feb-25,1060.45,1038.00,4798340.00,145201.00,IndusIndBk
11-Feb-25,1063.50,1056.00,4109028.00,141274.00,IndusIndBk
10-Feb-25,1076.00,1069.70,4457091.00,123445.00,IndusIndBk
07-Feb-25,1061.50,1076.00,3975043.00,137595.00,IndusIndBk
06-Feb-25,1062.10,1065.00,3889634.00,152875.00,IndusIndBk
05-Feb-25,1052.40,1058.50,5000442.00,135295.00,IndusIndBk
04-Feb-25,1022.45,1050.00,9861468.00,199686.00,IndusIndBk
03-Feb-25,994.00,1011.55,3655089.00,128653.00,IndusIndBk
01-Feb-25,977.00,1009.00,6054296.00,169927.00,IndusIndBk
31-Jan-25,957.55,995.20,5365839.00,159206.00,IndusIndBk
30-Jan-25,948.30,959.50,4509409.00,138667.00,IndusIndBk
29-Jan-25,935.70,951.00,2571504.00,96544.00,IndusIndBk
28-Jan-25,937.35,935.70,5708478.00,156085.00,IndusIndBk
27-Jan-25,947.00,925.00,3907787.00,152962.00,IndusIndBk
