Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1612.60,1589.40,4576751.00,132211.00,Infy
15-May-25,1589.80,1609.50,11151167.00,226053.00,Infy
14-May-25,1574.00,1592.80,4870057.00,144908.00,Infy
13-May-25,1609.00,1567.90,12846210.00,335293.00,Infy
12-May-25,1537.00,1623.50,11372857.00,290108.00,Infy
09-May-25,1500.70,1507.20,4478653.00,144158.00,Infy
08-May-25,1508.00,1506.00,8424409.00,217543.00,Infy
07-May-25,1500.00,1508.80,5691799.00,144103.00,Infy
06-May-25,1506.00,1511.00,4270530.00,105354.00,Infy
05-May-25,1515.00,1507.00,4282493.00,130549.00,Infy
02-May-25,1499.70,1502.00,8733014.00,235475.00,Infy
30-Apr-25,1496.80,1491.50,7704183.00,128359.00,Infy
29-Apr-25,1482.00,1498.00,8056743.00,207221.00,Infy
28-Apr-25,1480.20,1481.00,5886253.00,146345.00,Infy
25-Apr-25,1475.50,1480.00,8329979.00,199876.00,Infy
24-Apr-25,1469.90,1473.00,7114292.00,175991.00,Infy
23-Apr-25,1446.00,1476.20,11136642.00,249560.00,Infy
22-Apr-25,1440.00,1423.00,9399738.00,245817.00,Infy
21-Apr-25,1410.00,1449.00,15648970.00,271048.00,Infy
17-Apr-25,1398.00,1427.70,14264227.00,349779.00,Infy
16-Apr-25,1425.00,1412.20,12022740.00,331555.00,Infy
15-Apr-25,1445.60,1430.40,10178530.00,258203.00,Infy
11-Apr-25,1411.25,1416.80,12567440.00,262867.00,Infy
09-Apr-25,1405.05,1402.00,8546854.00,220436.00,Infy
08-Apr-25,1431.00,1428.00,12805001.00,254762.00,Infy
07-Apr-25,1352.00,1404.90,21715252.00,445720.00,Infy
04-Apr-25,1460.50,1456.10,9590254.00,245192.00,Infy
03-Apr-25,1534.65,1495.80,10459504.00,390507.00,Infy
02-Apr-25,1535.20,1550.00,6193478.00,183381.00,Infy
01-Apr-25,1539.25,1530.20,12680733.00,328764.00,Infy
28-Mar-25,1590.00,1569.00,6799047.00,217515.00,Infy
27-Mar-25,1595.55,1605.00,9426573.00,201020.00,Infy
26-Mar-25,1626.00,1599.00,6651302.00,222554.00,Infy
25-Mar-25,1605.00,1619.25,9890140.00,266112.00,Infy
24-Mar-25,1597.95,1593.95,8857726.00,250512.00,Infy
21-Mar-25,1577.95,1595.40,10074677.00,241185.00,Infy
