Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,434.90,435.60,16402035.00,105849.00,Itc
15-May-25,429.10,432.00,24263510.00,173965.00,Itc
14-May-25,427.10,429.05,9557309.00,96326.00,Itc
13-May-25,434.90,427.90,14976369.00,153294.00,Itc
12-May-25,429.50,435.10,8031891.00,78145.00,Itc
09-May-25,425.95,424.00,8226512.00,134382.00,Itc
08-May-25,429.00,429.40,19937960.00,173524.00,Itc
07-May-25,433.40,430.15,9710361.00,148037.00,Itc
06-May-25,437.50,433.20,15026568.00,133609.00,Itc
05-May-25,430.25,437.50,11525305.00,117066.00,Itc
02-May-25,424.10,429.30,12769461.00,115137.00,Itc
30-Apr-25,427.40,425.00,10026546.00,197832.00,Itc
29-Apr-25,428.90,425.35,11189930.00,228223.00,Itc
28-Apr-25,426.65,428.75,6287095.00,73016.00,Itc
25-Apr-25,430.05,427.60,22944377.00,120877.00,Itc
24-Apr-25,431.85,429.85,26064089.00,134018.00,Itc
23-Apr-25,436.20,430.15,19566317.00,144472.00,Itc
22-Apr-25,425.95,432.85,32031936.00,167601.00,Itc
21-Apr-25,428.05,422.95,27388236.00,218049.00,Itc
17-Apr-25,425.00,427.00,22410217.00,222404.00,Itc
16-Apr-25,418.00,424.90,13034594.00,115189.00,Itc
15-Apr-25,429.20,420.35,11685880.00,129742.00,Itc
11-Apr-25,420.00,422.00,8939356.00,98015.00,Itc
09-Apr-25,413.00,416.15,21785572.00,242191.00,Itc
08-Apr-25,411.90,413.50,18600796.00,234584.00,Itc
07-Apr-25,390.15,406.75,26762866.00,307280.00,Itc
04-Apr-25,407.50,409.30,18627592.00,149408.00,Itc
03-Apr-25,407.05,409.00,7059566.00,78934.00,Itc
02-Apr-25,407.05,408.70,8001323.00,72562.00,Itc
01-Apr-25,409.80,406.60,15206240.00,127499.00,Itc
28-Mar-25,410.90,410.25,12981873.00,114689.00,Itc
27-Mar-25,408.00,409.35,18642328.00,153590.00,Itc
26-Mar-25,410.30,407.40,13891436.00,103317.00,Itc
25-Mar-25,412.00,409.20,20338110.00,138414.00,Itc
24-Mar-25,407.00,411.00,14362572.00,138703.00,Itc
21-Mar-25,405.95,406.50,25302035.00,130427.00,Itc
20-Mar-25,405.00,403.60,16994037.00,125979.00,Itc
19-Mar-25,410.00,403.40,12830387.00,135494.00,Itc
18-Mar-25,410.00,409.50,13861897.00,106364.00,Itc
17-Mar-25,413.00,407.80,5257859.00,87899.00,Itc
13-Mar-25,413.00,411.45,8196569.00,122083.00,Itc
12-Mar-25,406.40,412.55,13844306.00,99237.00,Itc
11-Mar-25,401.50,406.20,11099475.00,116862.00,Itc
10-Mar-25,401.05,404.80,9785018.00,114078.00,Itc
