Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,274.10,276.30,13449060.00,83839.00,JioFin
15-May-25,268.00,274.05,16201350.00,128902.00,JioFin
14-May-25,268.80,267.80,13255755.00,100971.00,JioFin
13-May-25,263.20,267.70,19305043.00,132015.00,JioFin
12-May-25,258.95,263.00,19437052.00,117986.00,JioFin
09-May-25,244.10,249.20,25011071.00,146842.00,JioFin
08-May-25,256.10,250.05,14849940.00,99409.00,JioFin
07-May-25,245.05,256.50,19393399.00,110105.00,JioFin
06-May-25,259.25,251.00,18568703.00,120140.00,JioFin
05-May-25,259.60,260.45,10986246.00,77956.00,JioFin
02-May-25,262.90,258.30,20015942.00,125758.00,JioFin
30-Apr-25,256.00,259.08,32058337.00,162742.00,JioFin
29-Apr-25,258.10,257.50,12494831.00,91018.00,JioFin
28-Apr-25,252.39,258.00,19380922.00,115267.00,JioFin
25-Apr-25,258.78,252.39,33348716.00,227469.00,JioFin
24-Apr-25,258.00,258.94,17152009.00,118106.00,JioFin
23-Apr-25,252.00,258.02,37568336.00,187743.00,JioFin
22-Apr-25,245.50,250.60,30235264.00,143908.00,JioFin
21-Apr-25,250.00,245.96,31786610.00,228473.00,JioFin
17-Apr-25,242.94,246.20,30422206.00,189979.00,JioFin
16-Apr-25,239.05,242.30,27720767.00,169243.00,JioFin
15-Apr-25,235.90,239.05,27663804.00,151900.00,JioFin
11-Apr-25,225.78,230.40,24630876.00,143791.00,JioFin
09-Apr-25,224.00,221.10,19372735.00,135433.00,JioFin
08-Apr-25,217.00,225.49,25131280.00,150831.00,JioFin
07-Apr-25,203.10,214.85,25772065.00,274102.00,JioFin
04-Apr-25,230.05,222.55,20832533.00,146438.00,JioFin
03-Apr-25,227.00,230.64,11752612.00,83669.00,JioFin
02-Apr-25,230.99,229.91,16203186.00,99095.00,JioFin
01-Apr-25,227.00,230.94,18781790.00,110587.00,JioFin
28-Mar-25,227.18,227.03,30356334.00,187935.00,JioFin
27-Mar-25,222.17,225.20,188868886.00,259264.00,JioFin
26-Mar-25,228.00,222.17,19372538.00,130710.00,JioFin
25-Mar-25,234.10,226.90,22492788.00,155616.00,JioFin
24-Mar-25,231.90,232.90,26607361.00,144442.00,JioFin
21-Mar-25,232.00,229.58,46879564.00,180702.00,JioFin
20-Mar-25,231.00,232.00,24426400.00,134331.00,JioFin
19-Mar-25,227.27,228.10,21456932.00,124749.00,JioFin
18-Mar-25,221.10,225.21,28081319.00,117438.00,JioFin
17-Mar-25,223.12,219.58,22290925.00,117597.00,JioFin
13-Mar-25,227.88,223.10,25219084.00,153269.00,JioFin
12-Mar-25,220.00,225.91,28455086.00,143562.00,JioFin
