Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1043.40,1024.30,1048380.00,40109.00,Jsw_Steel
15-May-25,993.00,1037.00,5297654.00,135759.00,Jsw_Steel
14-May-25,995.20,989.70,1650066.00,45556.00,Jsw_Steel
13-May-25,1005.20,989.40,934177.00,35416.00,Jsw_Steel
12-May-25,973.00,1004.30,1335817.00,40280.00,Jsw_Steel
09-May-25,935.00,953.70,1481537.00,47389.00,Jsw_Steel
08-May-25,962.50,949.80,1646385.00,52592.00,Jsw_Steel
07-May-25,957.90,966.00,1014461.00,34689.00,Jsw_Steel
06-May-25,960.00,963.00,1462046.00,40539.00,Jsw_Steel
05-May-25,959.80,955.20,1646426.00,47398.00,Jsw_Steel
02-May-25,1021.20,970.00,7915918.00,158550.00,Jsw_Steel
30-Apr-25,1030.00,1025.10,1755328.00,50434.00,Jsw_Steel
29-Apr-25,1055.00,1035.80,1206750.00,46723.00,Jsw_Steel
28-Apr-25,1021.40,1058.30,1485915.00,52873.00,Jsw_Steel
25-Apr-25,1050.00,1021.40,2784217.00,65390.00,Jsw_Steel
24-Apr-25,1035.50,1044.00,1242921.00,41258.00,Jsw_Steel
23-Apr-25,1051.00,1035.70,893969.00,38951.00,Jsw_Steel
22-Apr-25,1060.00,1044.90,2153582.00,58416.00,Jsw_Steel
21-Apr-25,1001.00,1037.50,1345056.00,52209.00,Jsw_Steel
17-Apr-25,996.00,1008.00,2074019.00,78573.00,Jsw_Steel
16-Apr-25,1003.00,1010.10,1281034.00,45113.00,Jsw_Steel
15-Apr-25,1010.00,1010.30,1287903.00,42894.00,Jsw_Steel
11-Apr-25,972.45,992.70,3641633.00,80864.00,Jsw_Steel
09-Apr-25,945.15,950.00,1773658.00,70593.00,Jsw_Steel
08-Apr-25,949.35,956.20,1717533.00,56746.00,Jsw_Steel
07-Apr-25,906.00,930.00,4581682.00,150647.00,Jsw_Steel
04-Apr-25,1032.30,1008.35,3818643.00,79057.00,Jsw_Steel
03-Apr-25,1045.00,1043.05,1607693.00,44735.00,Jsw_Steel
02-Apr-25,1058.10,1055.40,878958.00,39851.00,Jsw_Steel
01-Apr-25,1063.00,1060.00,1776263.00,53366.00,Jsw_Steel
28-Mar-25,1059.75,1060.00,1674204.00,44713.00,Jsw_Steel
27-Mar-25,1051.95,1060.95,2514499.00,80255.00,Jsw_Steel
26-Mar-25,1068.05,1053.00,1254060.00,48933.00,Jsw_Steel
25-Mar-25,1061.35,1059.80,1571677.00,65543.00,Jsw_Steel
24-Mar-25,1063.00,1061.55,2267252.00,59391.00,Jsw_Steel
21-Mar-25,1052.00,1060.45,2630144.00,46711.00,Jsw_Steel
20-Mar-25,1038.00,1049.10,2301795.00,54201.00,Jsw_Steel
19-Mar-25,1036.00,1031.00,2652155.00,68485.00,Jsw_Steel
18-Mar-25,1014.90,1016.50,1069485.00,36870.00,Jsw_Steel
17-Mar-25,1007.55,1006.75,1522656.00,38457.00,Jsw_Steel
13-Mar-25,1014.90,1000.00,1218174.00,42011.00,Jsw_Steel
12-Mar-25,1024.70,1011.20,1263600.00,51899.00,Jsw_Steel
11-Mar-25,1003.85,1018.75,1595868.00,48226.00,Jsw_Steel
10-Mar-25,1011.15,1010.50,1855010.00,78484.00,Jsw_Steel
07-Mar-25,1011.00,1008.35,759943.00,34104.00,Jsw_Steel
06-Mar-25,1013.00,1007.00,2203409.00,139054.00,Jsw_Steel
05-Mar-25,975.00,1008.00,2472192.00,101977.00,Jsw_Steel
04-Mar-25,960.00,976.50,1077034.00,43200.00,Jsw_Steel
03-Mar-25,959.00,976.15,1744769.00,66738.00,Jsw_Steel
28-Feb-25,968.10,954.00,2553800.00,69331.00,Jsw_Steel
27-Feb-25,958.75,972.00,2049890.00,79710.00,Jsw_Steel
25-Feb-25,967.00,958.00,1095348.00,36163.00,Jsw_Steel
24-Feb-25,971.00,968.20,1898963.00,63079.00,Jsw_Steel
21-Feb-25,979.10,979.75,1599075.00,62640.00,Jsw_Steel
20-Feb-25,977.00,980.00,1474610.00,49803.00,Jsw_Steel
19-Feb-25,975.60,977.70,1581818.00,51857.00,Jsw_Steel
18-Feb-25,975.00,975.60,1800070.00,64653.00,Jsw_Steel
17-Feb-25,964.60,973.80,1321057.00,57746.00,Jsw_Steel
14-Feb-25,972.90,962.85,2690126.00,80452.00,Jsw_Steel
13-Feb-25,954.00,970.40,1414535.00,70173.00,Jsw_Steel
12-Feb-25,952.90,956.20,2768806.00,74924.00,Jsw_Steel
11-Feb-25,950.05,951.15,2535726.00,75353.00,Jsw_Steel
10-Feb-25,974.00,959.65,1665049.00,55541.00,Jsw_Steel
07-Feb-25,950.95,980.20,2846285.00,99328.00,Jsw_Steel
06-Feb-25,950.55,947.25,3060140.00,88252.00,Jsw_Steel
05-Feb-25,941.10,950.00,1209743.00,50729.00,Jsw_Steel
04-Feb-25,936.35,941.50,1262634.00,54357.00,Jsw_Steel
03-Feb-25,915.00,932.55,1130056.00,60355.00,Jsw_Steel
01-Feb-25,947.85,934.00,1339508.00,46312.00,Jsw_Steel
31-Jan-25,949.75,944.70,2037829.00,53383.00,Jsw_Steel
30-Jan-25,937.90,954.50,2020147.00,63940.00,Jsw_Steel
29-Jan-25,913.60,937.15,1298065.00,58748.00,Jsw_Steel
28-Jan-25,923.40,913.55,1101031.00,47234.00,Jsw_Steel
27-Jan-25,901.10,916.60,3908402.00,85223.00,Jsw_Steel
24-Jan-25,930.00,931.95,3538998.00,130130.00,Jsw_Steel
23-Jan-25,919.05,929.05,1267989.00,71470.00,Jsw_Steel
22-Jan-25,932.00,917.60,1080075.00,55946.00,Jsw_Steel
21-Jan-25,925.00,924.10,1474919.00,56577.00,Jsw_Steel
20-Jan-25,908.60,922.00,1299378.00,63261.00,Jsw_Steel
17-Jan-25,906.80,909.95,911260.00,40043.00,Jsw_Steel
16-Jan-25,910.00,909.70,1946590.00,86311.00,Jsw_Steel
15-Jan-25,910.00,907.35,1581897.00,52146.00,Jsw_Steel
14-Jan-25,882.50,904.25,1948192.00,93780.00,Jsw_Steel
13-Jan-25,895.95,884.80,1416585.00,67838.00,Jsw_Steel
10-Jan-25,890.95,897.00,1614629.00,56806.00,Jsw_Steel
09-Jan-25,901.00,892.45,1459142.00,69297.00,Jsw_Steel
08-Jan-25,910.00,900.00,744601.00,47680.00,Jsw_Steel
07-Jan-25,901.55,910.70,688211.00,37189.00,Jsw_Steel
06-Jan-25,915.05,902.25,1104617.00,71696.00,Jsw_Steel
03-Jan-25,914.00,913.00,2691743.00,71743.00,Jsw_Steel
02-Jan-25,909.50,911.50,1636373.00,74036.00,Jsw_Steel
01-Jan-25,901.15,906.85,1020555.00,48814.00,Jsw_Steel
31-Dec-24,898.05,901.15,1031176.00,32730.00,Jsw_Steel
30-Dec-24,913.30,901.90,1959379.00,69037.00,Jsw_Steel
27-Dec-24,914.65,914.00,1917836.00,57701.00,Jsw_Steel
26-Dec-24,921.85,914.50,2056005.00,49000.00,Jsw_Steel
24-Dec-24,937.05,923.80,2048135.00,66439.00,Jsw_Steel
23-Dec-24,936.00,939.00,3988457.00,116761.00,Jsw_Steel
20-Dec-24,926.00,931.45,29003345.00,189843.00,Jsw_Steel
19-Dec-24,934.05,925.00,1926448.00,91265.00,Jsw_Steel
18-Dec-24,967.05,949.75,1612799.00,75989.00,Jsw_Steel
17-Dec-24,990.35,963.00,1673092.00,62400.00,Jsw_Steel
16-Dec-24,1004.00,990.80,1220082.00,56858.00,Jsw_Steel
13-Dec-24,995.00,997.15,2444182.00,92478.00,Jsw_Steel
12-Dec-24,1005.00,1002.40,1510341.00,67074.00,Jsw_Steel
11-Dec-24,1015.90,998.00,1246315.00,47749.00,Jsw_Steel
10-Dec-24,1021.00,1013.10,2227505.00,69338.00,Jsw_Steel
09-Dec-24,1005.50,1012.00,1457470.00,53427.00,Jsw_Steel
06-Dec-24,999.90,1003.60,1218982.00,56459.00,Jsw_Steel
05-Dec-24,991.00,998.00,2221958.00,109303.00,Jsw_Steel
04-Dec-24,996.10,993.25,1030877.00,59058.00,Jsw_Steel
03-Dec-24,995.00,997.95,2118830.00,100022.00,Jsw_Steel
02-Dec-24,965.90,990.40,1272868.00,58754.00,Jsw_Steel
29-Nov-24,959.00,965.20,1326686.00,55860.00,Jsw_Steel
28-Nov-24,968.85,958.50,2959350.00,129053.00,Jsw_Steel
27-Nov-24,963.35,972.00,1327011.00,51102.00,Jsw_Steel
26-Nov-24,955.00,961.50,1184177.00,46806.00,Jsw_Steel
25-Nov-24,975.00,954.70,4563438.00,116465.00,Jsw_Steel
22-Nov-24,947.90,975.00,1889389.00,80205.00,Jsw_Steel
21-Nov-24,941.00,946.40,1669641.00,87941.00,Jsw_Steel
19-Nov-24,949.85,945.75,617409.00,43764.00,Jsw_Steel
18-Nov-24,935.05,950.00,1143965.00,58621.00,Jsw_Steel
14-Nov-24,935.05,940.00,1662673.00,93878.00,Jsw_Steel
13-Nov-24,953.50,936.90,1167594.00,64417.00,Jsw_Steel
12-Nov-24,987.00,955.95,731821.00,51635.00,Jsw_Steel
11-Nov-24,988.00,981.00,1336153.00,63156.00,Jsw_Steel
08-Nov-24,994.00,995.00,3568198.00,93855.00,Jsw_Steel
07-Nov-24,1014.00,990.95,2477876.00,81126.00,Jsw_Steel
06-Nov-24,1000.00,1007.75,2761749.00,120025.00,Jsw_Steel
05-Nov-24,954.90,998.50,5177028.00,148802.00,Jsw_Steel
04-Nov-24,965.05,950.75,957723.00,58875.00,Jsw_Steel
01-Nov-24,969.90,965.00,136508.00,8643.00,Jsw_Steel
31-Oct-24,958.00,963.65,1445602.00,74181.00,Jsw_Steel
30-Oct-24,966.20,955.90,733890.00,41167.00,Jsw_Steel
29-Oct-24,972.45,959.35,1032874.00,67806.00,Jsw_Steel
28-Oct-24,936.00,972.15,1737402.00,68693.00,Jsw_Steel
25-Oct-24,958.10,950.20,2541293.00,107371.00,Jsw_Steel
24-Oct-24,954.45,956.35,650392.00,33758.00,Jsw_Steel
23-Oct-24,963.65,955.00,1306503.00,58180.00,Jsw_Steel
22-Oct-24,981.00,967.55,1318146.00,64170.00,Jsw_Steel
21-Oct-24,997.00,981.00,953143.00,47161.00,Jsw_Steel
18-Oct-24,978.50,995.00,1291683.00,60337.00,Jsw_Steel
17-Oct-24,991.10,981.00,1079467.00,38169.00,Jsw_Steel
16-Oct-24,995.00,988.00,1248745.00,54664.00,Jsw_Steel
15-Oct-24,1012.50,1001.80,1444250.00,45432.00,Jsw_Steel
14-Oct-24,1017.00,1010.15,1831080.00,60889.00,Jsw_Steel
11-Oct-24,1007.30,1019.45,1957211.00,76753.00,Jsw_Steel
10-Oct-24,999.00,1012.85,1368830.00,71675.00,Jsw_Steel
09-Oct-24,999.90,993.80,2138939.00,67763.00,Jsw_Steel
08-Oct-24,1014.40,1001.80,4115797.00,116624.00,Jsw_Steel
07-Oct-24,1039.95,1020.55,2708970.00,89285.00,Jsw_Steel
04-Oct-24,1042.00,1034.50,4855592.00,163107.00,Jsw_Steel
03-Oct-24,1028.00,1041.00,6615927.00,185832.00,Jsw_Steel
01-Oct-24,1029.00,1027.25,1392457.00,49939.00,Jsw_Steel
30-Sep-24,1004.00,1030.00,4250590.00,119042.00,Jsw_Steel
