Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,2099.90,2109.80,2057908.00,136716.00,KotakBank
15-May-25,2085.10,2101.60,4262359.00,158406.00,KotakBank
14-May-25,2111.00,2091.90,2137594.00,133616.00,KotakBank
13-May-25,2135.00,2119.00,4307824.00,160711.00,KotakBank
12-May-25,2134.00,2143.00,3021874.00,150244.00,KotakBank
09-May-25,2075.00,2106.60,4654300.00,100815.00,KotakBank
08-May-25,2099.00,2106.20,6924871.00,247991.00,KotakBank
07-May-25,2063.70,2100.00,3739456.00,151407.00,KotakBank
06-May-25,2086.00,2070.00,3405097.00,152782.00,KotakBank
05-May-25,2105.10,2085.00,8821617.00,396921.00,KotakBank
02-May-25,2204.00,2180.10,2679156.00,152876.00,KotakBank
30-Apr-25,2213.90,2202.00,4622917.00,167166.00,KotakBank
29-Apr-25,2225.60,2202.10,3058265.00,115735.00,KotakBank
28-Apr-25,2197.00,2222.20,2438178.00,135201.00,KotakBank
25-Apr-25,2220.00,2196.60,2136003.00,102382.00,KotakBank
24-Apr-25,2218.00,2218.10,4168537.00,127119.00,KotakBank
23-Apr-25,2285.00,2221.40,3523879.00,127032.00,KotakBank
22-Apr-25,2249.00,2265.00,6732983.00,184168.00,KotakBank
21-Apr-25,2195.00,2248.70,4886498.00,225372.00,KotakBank
17-Apr-25,2115.00,2185.10,5388632.00,226452.00,KotakBank
16-Apr-25,2120.00,2121.60,2899779.00,157692.00,KotakBank
15-Apr-25,2145.00,2124.00,5635664.00,152731.00,KotakBank
11-Apr-25,2065.00,2109.85,5594689.00,172272.00,KotakBank
09-Apr-25,2054.00,2058.00,3919578.00,178642.00,KotakBank
08-Apr-25,2062.45,2058.00,4094339.00,147239.00,KotakBank
07-Apr-25,2018.70,2044.00,7139049.00,261737.00,KotakBank
04-Apr-25,2130.90,2132.10,3788403.00,206429.00,KotakBank
03-Apr-25,2129.00,2133.00,1694038.00,98442.00,KotakBank
02-Apr-25,2141.00,2153.05,2132192.00,102003.00,KotakBank
01-Apr-25,2174.30,2144.30,3750939.00,122843.00,KotakBank
28-Mar-25,2139.30,2174.00,3672253.00,178868.00,KotakBank
27-Mar-25,2144.00,2135.45,9421224.00,177390.00,KotakBank
26-Mar-25,2175.00,2148.65,3016916.00,170269.00,KotakBank
25-Mar-25,2179.90,2171.90,7342433.00,185498.00,KotakBank
24-Mar-25,2100.00,2180.00,8508351.00,224338.00,KotakBank
21-Mar-25,2040.00,2073.95,18850808.00,255463.00,KotakBank
20-Mar-25,2031.00,2032.10,2683306.00,139113.00,KotakBank
19-Mar-25,2039.25,2021.95,5338288.00,161325.00,KotakBank
18-Mar-25,2000.00,2035.15,5384288.00,203358.00,KotakBank
17-Mar-25,1980.10,1995.00,3170929.00,118386.00,KotakBank
13-Mar-25,1975.70,1981.50,4925794.00,142227.00,KotakBank
12-Mar-25,1940.00,1979.95,6704494.00,264027.00,KotakBank
11-Mar-25,1923.00,1936.70,3207052.00,143449.00,KotakBank
10-Mar-25,1932.50,1920.00,2228534.00,85417.00,KotakBank
07-Mar-25,1917.00,1932.00,2780338.00,82747.00,KotakBank
06-Mar-25,1944.00,1920.15,5193093.00,172071.00,KotakBank
05-Mar-25,1903.10,1936.80,3811688.00,164160.00,KotakBank
04-Mar-25,1901.15,1911.10,3172050.00,116275.00,KotakBank
03-Mar-25,1905.55,1914.95,2607790.00,171519.00,KotakBank
28-Feb-25,1937.05,1898.45,6970315.00,175774.00,KotakBank
27-Feb-25,1972.00,1941.90,3708068.00,149866.00,KotakBank
25-Feb-25,1969.00,1966.90,4019894.00,144013.00,KotakBank
24-Feb-25,1938.30,1960.70,2218081.00,158716.00,KotakBank
21-Feb-25,1970.55,1950.15,4008552.00,198921.00,KotakBank
20-Feb-25,1982.30,1970.00,4724372.00,141849.00,KotakBank
19-Feb-25,1963.95,1986.90,3914165.00,155867.00,KotakBank
18-Feb-25,1942.05,1962.25,4344125.00,318968.00,KotakBank
17-Feb-25,1955.00,1941.80,2300119.00,130009.00,KotakBank
14-Feb-25,1974.00,1949.80,2610048.00,126283.00,KotakBank
13-Feb-25,1963.00,1964.75,12678373.00,376384.00,KotakBank
12-Feb-25,1923.45,1945.50,3219004.00,144108.00,KotakBank
11-Feb-25,1964.60,1920.00,3506682.00,129372.00,KotakBank
10-Feb-25,1935.30,1962.85,3569373.00,207460.00,KotakBank
07-Feb-25,1921.00,1957.40,4414174.00,148252.00,KotakBank
06-Feb-25,1917.00,1916.80,3193971.00,143785.00,KotakBank
05-Feb-25,1937.80,1909.00,3427385.00,165065.00,KotakBank
04-Feb-25,1891.05,1931.30,5332618.00,196759.00,KotakBank
03-Feb-25,1893.60,1885.85,3319808.00,117826.00,KotakBank
01-Feb-25,1899.00,1910.70,1096357.00,59242.00,KotakBank
31-Jan-25,1903.05,1900.00,2333229.00,126893.00,KotakBank
30-Jan-25,1920.35,1903.80,4239181.00,205022.00,KotakBank
29-Jan-25,1887.80,1922.90,2351631.00,97665.00,KotakBank
28-Jan-25,1895.00,1887.00,5157384.00,188079.00,KotakBank
27-Jan-25,1875.00,1878.70,1928503.00,117348.00,KotakBank
24-Jan-25,1891.00,1883.40,4025366.00,89533.00,KotakBank
23-Jan-25,1907.10,1893.00,3161159.00,191618.00,KotakBank
22-Jan-25,1899.00,1915.10,4176669.00,155652.00,KotakBank
21-Jan-25,1920.95,1893.60,4415663.00,152161.00,KotakBank
20-Jan-25,1890.00,1918.00,13324315.00,414832.00,KotakBank
17-Jan-25,1797.00,1759.05,3521728.00,170335.00,KotakBank
16-Jan-25,1795.80,1806.00,4451534.00,194340.00,KotakBank
15-Jan-25,1760.10,1788.00,3509861.00,134844.00,KotakBank
14-Jan-25,1749.60,1759.50,4948961.00,192138.00,KotakBank
13-Jan-25,1732.90,1740.00,3092388.00,105945.00,KotakBank
10-Jan-25,1784.20,1759.50,3502618.00,165381.00,KotakBank
09-Jan-25,1774.00,1791.00,5469827.00,230709.00,KotakBank
08-Jan-25,1780.10,1765.05,4364679.00,174290.00,KotakBank
07-Jan-25,1787.00,1770.65,4399938.00,138267.00,KotakBank
06-Jan-25,1821.00,1777.90,3992395.00,158474.00,KotakBank
03-Jan-25,1851.00,1835.70,4277149.00,176893.00,KotakBank
02-Jan-25,1800.00,1834.05,5096987.00,189976.00,KotakBank
01-Jan-25,1779.25,1788.10,1484828.00,78772.00,KotakBank
31-Dec-24,1735.05,1785.00,4731698.00,150931.00,KotakBank
30-Dec-24,1765.00,1741.20,5502772.00,151204.00,KotakBank
27-Dec-24,1760.00,1760.05,2448271.00,65635.00,KotakBank
26-Dec-24,1756.80,1759.15,1132006.00,69593.00,KotakBank
24-Dec-24,1742.55,1750.00,2712625.00,86550.00,KotakBank
23-Dec-24,1747.50,1742.05,2748036.00,95146.00,KotakBank
20-Dec-24,1755.00,1748.70,14685688.00,154525.00,KotakBank
19-Dec-24,1763.45,1763.45,4074080.00,134049.00,KotakBank
18-Dec-24,1782.00,1780.00,3529430.00,101262.00,KotakBank
17-Dec-24,1796.10,1781.00,3592861.00,114350.00,KotakBank
16-Dec-24,1803.00,1800.00,2989393.00,105342.00,KotakBank
13-Dec-24,1758.35,1804.90,3893531.00,187325.00,KotakBank
12-Dec-24,1790.00,1773.00,3488259.00,138972.00,KotakBank
11-Dec-24,1796.00,1795.00,2393428.00,146978.00,KotakBank
10-Dec-24,1783.25,1799.10,1979884.00,92144.00,KotakBank
09-Dec-24,1768.10,1786.95,2554023.00,120368.00,KotakBank
06-Dec-24,1773.90,1775.25,2595882.00,120678.00,KotakBank
05-Dec-24,1764.00,1776.00,5697229.00,209634.00,KotakBank
04-Dec-24,1752.00,1759.65,3186786.00,131153.00,KotakBank
03-Dec-24,1760.00,1750.00,3971650.00,144219.00,KotakBank
02-Dec-24,1765.00,1755.75,4265280.00,95812.00,KotakBank
29-Nov-24,1757.00,1761.25,2987994.00,134558.00,KotakBank
28-Nov-24,1783.25,1763.80,3971395.00,140917.00,KotakBank
27-Nov-24,1780.95,1780.00,3202444.00,111680.00,KotakBank
26-Nov-24,1795.00,1782.45,2312739.00,117967.00,KotakBank
25-Nov-24,1782.00,1792.00,6871432.00,144617.00,KotakBank
22-Nov-24,1734.00,1761.80,3553726.00,128374.00,KotakBank
21-Nov-24,1715.10,1739.00,3294059.00,130418.00,KotakBank
19-Nov-24,1729.80,1722.50,2759663.00,114959.00,KotakBank
18-Nov-24,1714.00,1719.15,2082415.00,85669.00,KotakBank
14-Nov-24,1690.00,1708.55,3327758.00,172759.00,KotakBank
13-Nov-24,1714.00,1693.50,3593490.00,139342.00,KotakBank
12-Nov-24,1744.80,1721.00,3228390.00,159904.00,KotakBank
11-Nov-24,1745.00,1740.35,3205030.00,137845.00,KotakBank
08-Nov-24,1745.00,1749.00,3646825.00,121297.00,KotakBank
07-Nov-24,1763.00,1745.50,3060984.00,91821.00,KotakBank
06-Nov-24,1760.10,1764.00,3652252.00,104633.00,KotakBank
05-Nov-24,1721.50,1758.95,4028615.00,129659.00,KotakBank
04-Nov-24,1744.00,1729.00,2884830.00,133956.00,KotakBank
01-Nov-24,1739.60,1742.00,182489.00,13278.00,KotakBank
31-Oct-24,1727.35,1736.00,2944670.00,137185.00,KotakBank
30-Oct-24,1727.00,1736.00,4385949.00,154139.00,KotakBank
29-Oct-24,1743.50,1762.00,4158119.00,160046.00,KotakBank
28-Oct-24,1768.00,1753.00,3302148.00,143061.00,KotakBank
25-Oct-24,1765.00,1770.00,2829227.00,101475.00,KotakBank
24-Oct-24,1766.00,1765.00,2316820.00,112834.00,KotakBank
23-Oct-24,1761.15,1765.95,2836137.00,104559.00,KotakBank
22-Oct-24,1791.95,1776.55,5494382.00,253121.00,KotakBank
21-Oct-24,1850.00,1782.50,13178137.00,394637.00,KotakBank
18-Oct-24,1868.00,1871.85,3834767.00,173161.00,KotakBank
17-Oct-24,1876.35,1859.55,3541432.00,117717.00,KotakBank
16-Oct-24,1884.00,1869.90,3145556.00,169770.00,KotakBank
15-Oct-24,1912.20,1895.40,4295493.00,171087.00,KotakBank
14-Oct-24,1885.05,1912.75,4391138.00,158328.00,KotakBank
11-Oct-24,1872.20,1884.45,5211580.00,132738.00,KotakBank
10-Oct-24,1809.90,1870.00,5905798.00,251969.00,KotakBank
09-Oct-24,1801.00,1804.90,7078802.00,237657.00,KotakBank
08-Oct-24,1800.00,1805.10,5097103.00,167492.00,KotakBank
07-Oct-24,1810.00,1795.30,7446633.00,241836.00,KotakBank
04-Oct-24,1815.50,1813.00,3734632.00,194803.00,KotakBank
03-Oct-24,1857.90,1824.60,6363232.00,256840.00,KotakBank
01-Oct-24,1847.00,1881.65,4871526.00,173249.00,KotakBank
30-Sep-24,1856.70,1859.95,3246840.00,111916.00,KotakBank
27-Sep-24,1900.00,1876.85,6643112.00,227984.00,KotakBank
26-Sep-24,1895.00,1903.35,4204513.00,211057.00,KotakBank
25-Sep-24,1910.05,1899.00,3307467.00,172108.00,KotakBank
24-Sep-24,1935.00,1914.90,3709386.00,173661.00,KotakBank
23-Sep-24,1914.95,1936.10,3686272.00,135814.00,KotakBank
20-Sep-24,1874.00,1909.30,18849579.00,243759.00,KotakBank
19-Sep-24,1849.90,1872.00,2892430.00,121253.00,KotakBank
18-Sep-24,1850.00,1838.50,6877499.00,102376.00,KotakBank
17-Sep-24,1839.40,1845.00,3674862.00,127276.00,KotakBank
16-Sep-24,1833.00,1829.40,2730634.00,95268.00,KotakBank
13-Sep-24,1837.00,1822.00,2056720.00,85096.00,KotakBank
12-Sep-24,1803.90,1831.00,6365508.00,227889.00,KotakBank
11-Sep-24,1795.00,1790.95,3733872.00,128263.00,KotakBank
10-Sep-24,1798.00,1789.55,3497612.00,144423.00,KotakBank
09-Sep-24,1767.70,1789.90,3436461.00,93412.00,KotakBank
06-Sep-24,1767.55,1767.50,3254880.00,138942.00,KotakBank
05-Sep-24,1781.25,1778.00,3573005.00,96283.00,KotakBank
04-Sep-24,1770.00,1785.00,3192443.00,113660.00,KotakBank
03-Sep-24,1780.05,1783.90,5196273.00,135950.00,KotakBank
02-Sep-24,1782.00,1781.00,4048520.00,140634.00,KotakBank
30-Aug-24,1777.30,1780.00,7458172.00,135803.00,KotakBank
29-Aug-24,1783.25,1777.85,5531158.00,149451.00,KotakBank
28-Aug-24,1796.00,1787.00,4280796.00,118402.00,KotakBank
27-Aug-24,1811.05,1802.45,4541696.00,115217.00,KotakBank
26-Aug-24,1820.00,1809.85,2356257.00,92570.00,KotakBank
23-Aug-24,1821.50,1819.90,1815186.00,70567.00,KotakBank
22-Aug-24,1814.00,1821.00,3217988.00,99422.00,KotakBank
21-Aug-24,1800.00,1814.00,5717190.00,111593.00,KotakBank
20-Aug-24,1783.00,1805.90,3115486.00,113743.00,KotakBank
19-Aug-24,1780.55,1778.00,2172279.00,74928.00,KotakBank
16-Aug-24,1762.00,1776.30,2961871.00,157418.00,KotakBank
14-Aug-24,1755.00,1749.00,2585649.00,147601.00,KotakBank
13-Aug-24,1763.00,1752.90,3530319.00,179591.00,KotakBank
12-Aug-24,1761.00,1775.00,4544443.00,191595.00,KotakBank
09-Aug-24,1785.05,1769.85,2464443.00,106828.00,KotakBank
08-Aug-24,1766.65,1770.00,2472221.00,134538.00,KotakBank
07-Aug-24,1785.00,1776.60,3537745.00,161112.00,KotakBank
06-Aug-24,1785.00,1766.00,3924022.00,150433.00,KotakBank
05-Aug-24,1770.20,1775.00,4911818.00,142289.00,KotakBank
02-Aug-24,1781.10,1797.50,3242589.00,103291.00,KotakBank
01-Aug-24,1807.10,1790.75,3816044.00,90063.00,KotakBank
