Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,3642.00,3608.00,1278520.00,79444.00,Lt
15-May-25,3594.00,3620.00,3720879.00,173281.00,Lt
14-May-25,3587.00,3576.00,2440116.00,110493.00,Lt
13-May-25,3587.20,3570.50,2374439.00,168486.00,Lt
12-May-25,3513.00,3588.00,3147384.00,186489.00,Lt
09-May-25,3331.00,3451.40,5637694.00,311155.00,Lt
08-May-25,3310.10,3312.00,3204333.00,129057.00,Lt
07-May-25,3332.00,3327.00,2422707.00,171780.00,Lt
06-May-25,3346.00,3332.00,1695516.00,96917.00,Lt
05-May-25,3350.00,3332.00,1947332.00,107073.00,Lt
02-May-25,3325.00,3324.00,1665574.00,84477.00,Lt
30-Apr-25,3324.00,3330.00,1930714.00,113823.00,Lt
29-Apr-25,3335.00,3321.30,1843861.00,120139.00,Lt
28-Apr-25,3260.00,3325.00,1689485.00,82707.00,Lt
25-Apr-25,3310.00,3268.00,2004819.00,133465.00,Lt
24-Apr-25,3307.00,3298.20,1993448.00,72609.00,Lt
23-Apr-25,3275.40,3296.00,2381699.00,103277.00,Lt
22-Apr-25,3280.00,3254.00,2060322.00,100788.00,Lt
21-Apr-25,3249.50,3279.90,1643003.00,101664.00,Lt
17-Apr-25,3214.10,3244.90,3209331.00,168832.00,Lt
16-Apr-25,3270.00,3231.40,1578260.00,112383.00,Lt
15-Apr-25,3180.00,3259.00,2161492.00,113498.00,Lt
11-Apr-25,3114.00,3119.25,3979116.00,132571.00,Lt
09-Apr-25,3158.80,3062.00,4451381.00,256046.00,Lt
08-Apr-25,3124.95,3164.60,2877816.00,140046.00,Lt
07-Apr-25,3049.05,3087.00,4953864.00,422707.00,Lt
04-Apr-25,3400.00,3259.00,2366979.00,156827.00,Lt
03-Apr-25,3400.00,3419.00,1200631.00,84197.00,Lt
02-Apr-25,3433.00,3426.00,1338839.00,73369.00,Lt
01-Apr-25,3480.00,3438.30,1935147.00,114580.00,Lt
28-Mar-25,3509.90,3488.00,1348143.00,78826.00,Lt
27-Mar-25,3460.00,3510.05,3467864.00,171894.00,Lt
26-Mar-25,3473.00,3451.00,2315715.00,152200.00,Lt
25-Mar-25,3505.00,3452.85,4235900.00,174082.00,Lt
24-Mar-25,3449.00,3483.05,1955564.00,115273.00,Lt
21-Mar-25,3357.00,3415.05,3042073.00,145340.00,Lt
20-Mar-25,3335.25,3352.50,2434722.00,97496.00,Lt
