Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,3135.00,3133.90,2269659.00,186310.00,M&M
15-May-25,3085.00,3132.00,3590003.00,198690.00,M&M
14-May-25,3037.50,3103.10,2236302.00,98515.00,M&M
13-May-25,3050.00,3058.00,2681662.00,178009.00,M&M
12-May-25,3044.70,3097.50,2166730.00,157748.00,M&M
09-May-25,2961.60,2989.70,2308852.00,127115.00,M&M
08-May-25,3127.40,3009.00,3323894.00,155291.00,M&M
07-May-25,3021.90,3109.90,2942902.00,140228.00,M&M
06-May-25,3150.60,3058.40,5683215.00,266730.00,M&M
05-May-25,2948.90,3024.00,4049197.00,198957.00,M&M
02-May-25,2950.00,2918.60,3384402.00,142813.00,M&M
30-Apr-25,2908.80,2919.50,2689753.00,115500.00,M&M
29-Apr-25,2950.00,2905.80,2051228.00,110088.00,M&M
28-Apr-25,2918.90,2930.00,1864672.00,105189.00,M&M
25-Apr-25,2901.40,2865.00,2299310.00,107647.00,M&M
24-Apr-25,2917.80,2898.00,2488496.00,107895.00,M&M
23-Apr-25,2830.00,2900.90,3906215.00,153835.00,M&M
22-Apr-25,2765.00,2811.10,3193757.00,166491.00,M&M
21-Apr-25,2699.90,2765.00,3120955.00,129375.00,M&M
17-Apr-25,2632.00,2675.30,2638979.00,174058.00,M&M
16-Apr-25,2660.00,2632.20,3070954.00,230796.00,M&M
15-Apr-25,2606.00,2650.00,3287861.00,235293.00,M&M
11-Apr-25,2549.00,2600.60,3600209.00,226713.00,M&M
09-Apr-25,2540.00,2530.50,3347213.00,188585.00,M&M
08-Apr-25,2510.00,2524.85,4253527.00,227666.00,M&M
07-Apr-25,2425.00,2508.00,3937471.00,284875.00,M&M
04-Apr-25,2614.95,2601.40,3598415.00,181164.00,M&M
03-Apr-25,2607.75,2617.00,2361203.00,126111.00,M&M
02-Apr-25,2631.10,2637.95,2243574.00,129253.00,M&M
01-Apr-25,2652.80,2640.00,3300417.00,171785.00,M&M
28-Mar-25,2735.80,2661.15,6074446.00,283613.00,M&M
27-Mar-25,2735.00,2734.00,4325599.00,216437.00,M&M
26-Mar-25,2751.30,2742.05,3111504.00,155421.00,M&M
25-Mar-25,2774.70,2730.50,3576766.00,220783.00,M&M
24-Mar-25,2815.30,2777.00,5395134.00,262642.00,M&M
21-Mar-25,2839.10,2787.20,3824316.00,128915.00,M&M
20-Mar-25,2803.75,2838.00,2354374.00,146188.00,M&M
19-Mar-25,2795.00,2785.00,2438912.00,130749.00,M&M
18-Mar-25,2732.30,2785.00,3522624.00,147651.00,M&M
17-Mar-25,2635.00,2701.00,2527623.00,160528.00,M&M
13-Mar-25,2677.10,2644.50,2446428.00,126240.00,M&M
12-Mar-25,2645.60,2650.00,3447155.00,149821.00,M&M
11-Mar-25,2684.75,2657.85,3616140.00,202979.00,M&M
10-Mar-25,2695.00,2699.00,2520931.00,112467.00,M&M
07-Mar-25,2721.30,2728.10,1886774.00,119343.00,M&M
06-Mar-25,2748.00,2740.60,3706264.00,152491.00,M&M
05-Mar-25,2661.95,2721.35,3665710.00,180134.00,M&M
04-Mar-25,2561.00,2612.85,1984876.00,118486.00,M&M
03-Mar-25,2613.80,2612.00,4340806.00,218511.00,M&M
28-Feb-25,2695.10,2595.00,7549863.00,373075.00,M&M
27-Feb-25,2837.00,2720.00,2669767.00,132720.00,M&M
