Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,12950.00,13000.00,425275.00,62548.00,Maruti
15-May-25,12600.00,12900.00,561496.00,100567.00,Maruti
14-May-25,12485.00,12700.00,306050.00,46535.00,Maruti
13-May-25,12600.00,12474.00,378269.00,86167.00,Maruti
12-May-25,12426.00,12625.00,185165.00,37152.00,Maruti
09-May-25,12135.00,12245.00,278112.00,41889.00,Maruti
08-May-25,12560.00,12380.00,485326.00,80654.00,Maruti
07-May-25,12355.00,12585.00,303619.00,61308.00,Maruti
06-May-25,12438.00,12560.00,414921.00,65850.00,Maruti
05-May-25,12490.00,12449.00,270014.00,49136.00,Maruti
02-May-25,12257.00,12390.00,786089.00,157884.00,Maruti
30-Apr-25,11825.00,12218.00,967250.00,105465.00,Maruti
29-Apr-25,11812.00,11810.00,455596.00,86819.00,Maruti
28-Apr-25,11428.00,11809.00,457303.00,80996.00,Maruti
25-Apr-25,11902.00,11650.00,906266.00,130970.00,Maruti
24-Apr-25,11940.00,11901.00,387863.00,67998.00,Maruti
23-Apr-25,11799.00,11900.00,493839.00,78908.00,Maruti
22-Apr-25,11770.00,11744.00,516753.00,102717.00,Maruti
21-Apr-25,11695.00,11769.00,318493.00,49266.00,Maruti
17-Apr-25,11664.00,11665.00,302146.00,62794.00,Maruti
16-Apr-25,11768.00,11665.00,470494.00,68073.00,Maruti
15-Apr-25,11790.00,11825.00,458593.00,68741.00,Maruti
11-Apr-25,11480.35,11609.00,231420.00,45734.00,Maruti
09-Apr-25,11460.10,11480.00,255114.00,50927.00,Maruti
08-Apr-25,11530.00,11436.00,629968.00,93920.00,Maruti
07-Apr-25,11105.60,11352.95,602353.00,109199.00,Maruti
04-Apr-25,11600.00,11482.00,355785.00,59574.00,Maruti
03-Apr-25,11630.50,11646.00,326624.00,44000.00,Maruti
02-Apr-25,11481.10,11691.00,452994.00,80324.00,Maruti
01-Apr-25,11480.00,11455.25,498244.00,96268.00,Maruti
28-Mar-25,11699.05,11490.15,541795.00,124522.00,Maruti
27-Mar-25,11773.15,11700.00,645787.00,109418.00,Maruti
26-Mar-25,11807.00,11745.00,478517.00,89350.00,Maruti
25-Mar-25,11951.40,11824.90,514283.00,72904.00,Maruti
24-Mar-25,11779.95,11917.00,359033.00,84229.00,Maruti
21-Mar-25,11780.00,11769.20,560565.00,73489.00,Maruti
20-Mar-25,11699.90,11762.00,379421.00,75811.00,Maruti
19-Mar-25,11700.00,11615.00,476555.00,63268.00,Maruti
18-Mar-25,11560.05,11693.00,373219.00,72754.00,Maruti
17-Mar-25,11513.80,11531.35,275581.00,52144.00,Maruti
13-Mar-25,11634.80,11519.60,260736.00,42350.00,Maruti
12-Mar-25,11620.80,11595.00,249361.00,40536.00,Maruti
11-Mar-25,11579.50,11660.00,245822.00,57626.00,Maruti
10-Mar-25,11600.00,11571.40,153894.00,34457.00,Maruti
