Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,2414.60,2407.90,684551.00,37972.00,NestleInd
15-May-25,2370.00,2391.50,964112.00,96725.00,NestleInd
14-May-25,2365.00,2373.00,601533.00,63166.00,NestleInd
13-May-25,2380.00,2368.00,1166776.00,79405.00,NestleInd
12-May-25,2359.80,2388.50,400750.00,41555.00,NestleInd
09-May-25,2302.00,2321.00,908229.00,49244.00,NestleInd
08-May-25,2328.00,2330.00,1346546.00,78315.00,NestleInd
07-May-25,2331.00,2330.70,676652.00,51492.00,NestleInd
06-May-25,2337.00,2356.00,871013.00,50622.00,NestleInd
05-May-25,2348.90,2333.50,913797.00,63533.00,NestleInd
02-May-25,2375.00,2337.70,859177.00,72110.00,NestleInd
30-Apr-25,2375.00,2380.00,1020431.00,54051.00,NestleInd
29-Apr-25,2406.00,2384.90,976060.00,78626.00,NestleInd
28-Apr-25,2400.00,2402.00,980526.00,53488.00,NestleInd
25-Apr-25,2426.90,2410.00,1128284.00,78643.00,NestleInd
24-Apr-25,2435.00,2427.00,2337238.00,179605.00,NestleInd
23-Apr-25,2419.30,2430.00,582556.00,54556.00,NestleInd
22-Apr-25,2405.00,2409.40,487954.00,54290.00,NestleInd
21-Apr-25,2401.00,2404.80,476565.00,56685.00,NestleInd
17-Apr-25,2372.00,2415.60,907921.00,71408.00,NestleInd
16-Apr-25,2347.00,2382.00,677212.00,54766.00,NestleInd
15-Apr-25,2381.40,2367.00,780874.00,53928.00,NestleInd
11-Apr-25,2345.70,2355.00,1118317.00,67781.00,NestleInd
09-Apr-25,2283.20,2350.00,1853374.00,134034.00,NestleInd
08-Apr-25,2255.00,2280.00,873508.00,70632.00,NestleInd
07-Apr-25,2160.00,2255.00,737285.00,91307.00,NestleInd
04-Apr-25,2234.00,2258.55,591735.00,50526.00,NestleInd
03-Apr-25,2198.05,2240.00,317858.00,32277.00,NestleInd
02-Apr-25,2230.00,2206.70,1300852.00,74373.00,NestleInd
01-Apr-25,2261.90,2234.90,1020055.00,63853.00,NestleInd
28-Mar-25,2243.05,2247.00,716151.00,63123.00,NestleInd
27-Mar-25,2240.20,2245.00,865586.00,70769.00,NestleInd
26-Mar-25,2254.90,2240.10,533469.00,55751.00,NestleInd
25-Mar-25,2260.00,2250.00,742142.00,78727.00,NestleInd
24-Mar-25,2273.10,2263.30,430951.00,42305.00,NestleInd
21-Mar-25,2240.90,2266.30,792637.00,61416.00,NestleInd
20-Mar-25,2204.00,2224.35,476874.00,45081.00,NestleInd
19-Mar-25,2206.50,2185.00,422543.00,46452.00,NestleInd
18-Mar-25,2178.00,2200.00,423776.00,44910.00,NestleInd
17-Mar-25,2175.55,2171.00,410005.00,39557.00,NestleInd
13-Mar-25,2202.10,2189.25,292170.00,36797.00,NestleInd
12-Mar-25,2249.00,2197.00,358589.00,39347.00,NestleInd
11-Mar-25,2240.80,2250.25,478555.00,54055.00,NestleInd
10-Mar-25,2239.20,2247.00,506580.00,43772.00,NestleInd
07-Mar-25,2201.00,2221.70,525606.00,46839.00,NestleInd
06-Mar-25,2187.00,2202.00,1257461.00,100881.00,NestleInd
05-Mar-25,2110.00,2199.00,846664.00,61369.00,NestleInd
04-Mar-25,2160.00,2145.00,1042522.00,105031.00,NestleInd
03-Mar-25,2188.25,2167.45,521775.00,56913.00,NestleInd
28-Feb-25,2261.00,2196.30,1843566.00,99378.00,NestleInd
27-Feb-25,2260.20,2278.00,751003.00,59517.00,NestleInd
25-Feb-25,2222.45,2250.50,642834.00,60377.00,NestleInd
24-Feb-25,2199.00,2225.00,484042.00,61291.00,NestleInd
21-Feb-25,2216.95,2211.00,594245.00,39849.00,NestleInd
20-Feb-25,2204.95,2201.20,658467.00,48413.00,NestleInd
19-Feb-25,2206.00,2202.50,426479.00,35645.00,NestleInd
18-Feb-25,2216.50,2215.55,453059.00,44893.00,NestleInd
17-Feb-25,2195.85,2213.95,801515.00,58672.00,NestleInd
14-Feb-25,2177.55,2194.00,960861.00,92335.00,NestleInd
13-Feb-25,2193.75,2172.90,511147.00,84965.00,NestleInd
12-Feb-25,2214.00,2195.10,503258.00,72700.00,NestleInd
11-Feb-25,2221.05,2198.00,476837.00,63968.00,NestleInd
10-Feb-25,2235.00,2224.00,760181.00,53834.00,NestleInd
07-Feb-25,2234.00,2227.00,792558.00,62396.00,NestleInd
06-Feb-25,2269.00,2245.00,986957.00,81937.00,NestleInd
05-Feb-25,2283.80,2249.45,1475295.00,88703.00,NestleInd
04-Feb-25,2322.40,2299.95,1243517.00,92787.00,NestleInd
03-Feb-25,2327.20,2317.00,1140871.00,114383.00,NestleInd
01-Feb-25,2313.00,2330.00,1246565.00,87022.00,NestleInd
31-Jan-25,2217.35,2299.05,3139887.00,172723.00,NestleInd
30-Jan-25,2189.00,2226.00,574560.00,54247.00,NestleInd
29-Jan-25,2156.30,2182.45,397145.00,53369.00,NestleInd
28-Jan-25,2174.75,2159.90,721033.00,80260.00,NestleInd
27-Jan-25,2182.05,2170.00,549986.00,64371.00,NestleInd
24-Jan-25,2202.00,2209.90,663600.00,43167.00,NestleInd
23-Jan-25,2194.15,2196.05,496007.00,51144.00,NestleInd
22-Jan-25,2196.45,2208.95,448036.00,41737.00,NestleInd
21-Jan-25,2225.00,2200.00,764414.00,74505.00,NestleInd
20-Jan-25,2219.20,2211.00,401108.00,41481.00,NestleInd
17-Jan-25,2180.65,2216.95,455901.00,42107.00,NestleInd
