Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,343.00,343.10,6920351.00,85343.00,Ntpc
15-May-25,339.50,341.90,43307763.00,198145.00,Ntpc
14-May-25,342.45,339.50,22485535.00,127914.00,Ntpc
13-May-25,348.60,342.30,14738980.00,125785.00,Ntpc
12-May-25,340.40,348.95,7978210.00,113603.00,Ntpc
09-May-25,334.20,334.65,11322011.00,152356.00,Ntpc
08-May-25,341.05,339.25,14286109.00,147332.00,Ntpc
07-May-25,338.00,342.60,8465490.00,92112.00,Ntpc
06-May-25,349.00,342.20,8904223.00,157018.00,Ntpc
05-May-25,351.00,348.50,9492646.00,198375.00,Ntpc
02-May-25,354.55,348.50,11165220.00,173230.00,Ntpc
30-Apr-25,357.00,353.70,16739088.00,142964.00,Ntpc
29-Apr-25,364.00,357.90,9472828.00,108618.00,Ntpc
28-Apr-25,353.70,360.50,5315840.00,57842.00,Ntpc
25-Apr-25,363.20,355.50,9785640.00,96530.00,Ntpc
24-Apr-25,363.75,363.45,7491123.00,77725.00,Ntpc
23-Apr-25,362.95,362.60,9719205.00,109738.00,Ntpc
22-Apr-25,367.05,360.45,12077119.00,170500.00,Ntpc
21-Apr-25,365.80,364.45,7375594.00,131483.00,Ntpc
17-Apr-25,359.25,363.75,12288196.00,139411.00,Ntpc
16-Apr-25,362.50,359.35,11541484.00,163718.00,Ntpc
15-Apr-25,367.00,362.70,17497327.00,155430.00,Ntpc
11-Apr-25,351.00,359.70,11246077.00,115892.00,Ntpc
09-Apr-25,354.00,350.65,7462119.00,103822.00,Ntpc
08-Apr-25,356.85,353.25,17506712.00,201333.00,Ntpc
07-Apr-25,328.00,349.75,18025165.00,214168.00,Ntpc
04-Apr-25,358.85,350.85,10872963.00,101700.00,Ntpc
03-Apr-25,351.75,359.25,10317410.00,99899.00,Ntpc
02-Apr-25,352.15,351.65,13593404.00,79119.00,Ntpc
01-Apr-25,352.35,352.95,18736320.00,121699.00,Ntpc
28-Mar-25,362.00,358.00,11327077.00,96345.00,Ntpc
27-Mar-25,353.90,364.00,37930538.00,135573.00,Ntpc
26-Mar-25,366.95,354.05,18668095.00,240821.00,Ntpc
25-Mar-25,369.00,365.15,23189083.00,320876.00,Ntpc
24-Mar-25,357.00,367.00,24588471.00,382349.00,Ntpc
21-Mar-25,342.00,353.00,36406837.00,167637.00,Ntpc
20-Mar-25,344.70,341.65,15002119.00,137293.00,Ntpc
19-Mar-25,339.00,340.60,30582397.00,146785.00,Ntpc
18-Mar-25,333.30,337.50,8580255.00,106369.00,Ntpc
17-Mar-25,332.95,331.70,4353562.00,59911.00,Ntpc
