Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,247.06,247.20,8030229.00,94905.00,Ongc
15-May-25,244.95,246.98,16812750.00,132867.00,Ongc
14-May-25,241.16,246.04,8234859.00,91451.00,Ongc
13-May-25,244.15,241.00,9336026.00,137918.00,Ongc
12-May-25,239.00,244.00,11374237.00,119839.00,Ongc
09-May-25,229.10,234.50,11184507.00,131657.00,Ongc
08-May-25,237.66,231.45,15026122.00,121501.00,Ongc
07-May-25,232.30,238.67,16689539.00,131865.00,Ongc
06-May-25,241.13,237.01,11350559.00,78866.00,Ongc
05-May-25,240.00,239.88,20086323.00,154224.00,Ongc
02-May-25,241.00,242.85,12347590.00,102014.00,Ongc
30-Apr-25,245.50,243.42,9822483.00,86524.00,Ongc
29-Apr-25,251.24,245.65,8030552.00,98409.00,Ongc
28-Apr-25,246.00,250.50,7669983.00,64903.00,Ongc
25-Apr-25,249.00,246.00,15616265.00,105930.00,Ongc
24-Apr-25,250.00,249.69,6538518.00,79370.00,Ongc
23-Apr-25,248.74,252.10,16555874.00,96623.00,Ongc
22-Apr-25,248.97,248.00,9896443.00,79384.00,Ongc
21-Apr-25,244.01,249.00,11698653.00,102967.00,Ongc
17-Apr-25,241.00,243.78,12891813.00,109628.00,Ongc
16-Apr-25,232.69,240.84,18748952.00,129518.00,Ongc
15-Apr-25,234.00,233.15,12102239.00,96408.00,Ongc
11-Apr-25,228.30,230.20,13886447.00,112919.00,Ongc
09-Apr-25,222.00,223.00,16889575.00,163218.00,Ongc
08-Apr-25,223.00,226.47,11309092.00,104353.00,Ongc
07-Apr-25,208.00,220.35,27024128.00,275050.00,Ongc
04-Apr-25,240.56,226.10,38336194.00,310143.00,Ongc
03-Apr-25,248.00,243.59,11141370.00,105789.00,Ongc
02-Apr-25,250.05,250.05,15337906.00,75510.00,Ongc
01-Apr-25,247.00,248.29,11258957.00,92684.00,Ongc
28-Mar-25,243.44,246.50,32905564.00,210020.00,Ongc
27-Mar-25,238.87,242.65,9935664.00,81885.00,Ongc
26-Mar-25,243.35,239.90,7543985.00,73994.00,Ongc
25-Mar-25,244.01,241.71,8915800.00,78716.00,Ongc
24-Mar-25,244.19,243.51,10566066.00,111957.00,Ongc
21-Mar-25,235.80,242.00,29285333.00,153423.00,Ongc
20-Mar-25,233.48,235.80,18955995.00,112636.00,Ongc
19-Mar-25,232.50,232.85,8626593.00,75908.00,Ongc
18-Mar-25,230.84,232.49,9647391.00,86255.00,Ongc
17-Mar-25,226.52,229.61,8789001.00,84675.00,Ongc
13-Mar-25,228.15,225.02,16105085.00,112833.00,Ongc
12-Mar-25,227.10,224.20,6994310.00,74532.00,Ongc
11-Mar-25,220.90,226.25,10941588.00,94553.00,Ongc
10-Mar-25,232.89,223.29,16489167.00,129656.00,Ongc
07-Mar-25,232.60,232.40,9079049.00,100026.00,Ongc
06-Mar-25,231.49,232.25,10439208.00,117288.00,Ongc
05-Mar-25,227.12,229.60,7466729.00,77096.00,Ongc
04-Mar-25,220.10,226.99,12428265.00,93032.00,Ongc
03-Mar-25,224.75,225.45,11928529.00,150119.00,Ongc
28-Feb-25,230.00,225.65,17237276.00,135768.00,Ongc
27-Feb-25,233.50,231.20,9664032.00,100185.00,Ongc
25-Feb-25,235.00,233.15,5519036.00,55784.00,Ongc
24-Feb-25,236.30,234.50,6883143.00,78561.00,Ongc
21-Feb-25,241.90,239.10,5697387.00,69097.00,Ongc
20-Feb-25,236.80,241.55,8929816.00,75285.00,Ongc
19-Feb-25,236.00,238.10,6168581.00,60532.00,Ongc
18-Feb-25,232.20,236.00,6170974.00,77776.00,Ongc
17-Feb-25,230.20,234.00,6692422.00,89245.00,Ongc
14-Feb-25,235.00,230.20,8065352.00,92892.00,Ongc
13-Feb-25,238.50,235.30,10079210.00,127133.00,Ongc
12-Feb-25,239.00,238.50,5985956.00,84905.00,Ongc
11-Feb-25,242.45,239.40,6711630.00,65873.00,Ongc
10-Feb-25,248.95,242.85,7582536.00,103544.00,Ongc
07-Feb-25,252.95,248.95,10098454.00,126570.00,Ongc
06-Feb-25,262.65,256.45,12327998.00,110610.00,Ongc
05-Feb-25,259.00,261.05,11590755.00,95035.00,Ongc
04-Feb-25,252.40,254.20,8402532.00,87811.00,Ongc
03-Feb-25,255.60,251.10,25719512.00,190012.00,Ongc
01-Feb-25,259.55,257.70,10921673.00,90430.00,Ongc
31-Jan-25,257.01,262.80,8850307.00,84411.00,Ongc
