Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,300.00,300.10,16763668.00,82803.00,PowerGrid
15-May-25,295.90,299.05,22640626.00,155077.00,PowerGrid
14-May-25,299.20,296.30,10359258.00,142377.00,PowerGrid
13-May-25,305.00,299.20,17988336.00,145778.00,PowerGrid
12-May-25,304.05,309.90,7145884.00,44608.00,PowerGrid
09-May-25,300.00,299.80,11981497.00,107554.00,PowerGrid
08-May-25,313.40,305.30,19253478.00,124387.00,PowerGrid
07-May-25,308.00,311.40,14679327.00,83260.00,PowerGrid
06-May-25,307.60,307.45,9124804.00,83665.00,PowerGrid
05-May-25,304.80,309.00,4342960.00,75825.00,PowerGrid
02-May-25,305.50,303.95,8428889.00,63862.00,PowerGrid
30-Apr-25,304.45,305.20,17619987.00,106364.00,PowerGrid
29-Apr-25,308.55,304.05,14678005.00,92051.00,PowerGrid
28-Apr-25,304.20,308.45,7314824.00,71770.00,PowerGrid
25-Apr-25,313.00,305.30,11475773.00,89081.00,PowerGrid
24-Apr-25,314.90,314.00,8021180.00,54066.00,PowerGrid
23-Apr-25,314.15,314.05,8225575.00,103137.00,PowerGrid
22-Apr-25,319.75,313.25,10027332.00,96337.00,PowerGrid
21-Apr-25,310.00,320.00,13369014.00,96683.00,PowerGrid
17-Apr-25,305.45,308.45,8528993.00,87281.00,PowerGrid
16-Apr-25,304.45,305.50,7032401.00,74562.00,PowerGrid
15-Apr-25,307.20,305.00,16563441.00,97877.00,PowerGrid
11-Apr-25,293.25,303.95,19831004.00,114026.00,PowerGrid
09-Apr-25,289.95,294.10,21342531.00,133278.00,PowerGrid
08-Apr-25,291.95,289.15,20831596.00,152056.00,PowerGrid
07-Apr-25,283.60,290.65,22847548.00,203234.00,PowerGrid
04-Apr-25,300.00,294.30,21020875.00,133590.00,PowerGrid
03-Apr-25,289.35,299.95,23478876.00,140068.00,PowerGrid
02-Apr-25,286.85,287.05,11679536.00,113481.00,PowerGrid
01-Apr-25,289.60,289.10,11603556.00,97251.00,PowerGrid
28-Mar-25,293.90,290.40,10834900.00,84913.00,PowerGrid
27-Mar-25,289.00,292.30,37203166.00,118070.00,PowerGrid
26-Mar-25,291.70,292.30,20367015.00,120241.00,PowerGrid
25-Mar-25,291.00,289.55,16983852.00,123952.00,PowerGrid
24-Mar-25,285.00,292.00,19966817.00,119746.00,PowerGrid
21-Mar-25,281.00,284.05,26003527.00,102033.00,PowerGrid
20-Mar-25,283.50,279.60,13710249.00,77434.00,PowerGrid
19-Mar-25,272.00,276.70,13089950.00,85348.00,PowerGrid
18-Mar-25,269.15,270.50,8899126.00,75535.00,PowerGrid
17-Mar-25,270.00,267.05,11987667.00,74263.00,PowerGrid
13-Mar-25,269.80,268.05,9270442.00,69626.00,PowerGrid
12-Mar-25,270.70,267.40,11875548.00,83541.00,PowerGrid
11-Mar-25,270.00,267.65,9255499.00,91202.00,PowerGrid
10-Mar-25,261.05,271.25,30233763.00,166981.00,PowerGrid
07-Mar-25,266.00,263.40,10043068.00,109981.00,PowerGrid
06-Mar-25,265.15,266.35,11926868.00,129911.00,PowerGrid
05-Mar-25,256.95,264.80,14536637.00,135947.00,PowerGrid
04-Mar-25,250.00,254.10,11947033.00,80776.00,PowerGrid
03-Mar-25,253.00,252.65,9873539.00,97994.00,PowerGrid
28-Feb-25,255.90,251.80,38512868.00,177584.00,PowerGrid
27-Feb-25,254.00,256.50,13614799.00,104795.00,PowerGrid
25-Feb-25,258.80,255.25,21287363.00,153089.00,PowerGrid
24-Feb-25,258.00,259.15,14599185.00,125718.00,PowerGrid
21-Feb-25,265.30,261.60,10757038.00,85123.00,PowerGrid
20-Feb-25,262.75,265.75,15312926.00,122755.00,PowerGrid
19-Feb-25,262.50,263.25,14602009.00,109014.00,PowerGrid
18-Feb-25,263.85,265.55,10483635.00,101687.00,PowerGrid
17-Feb-25,256.90,263.10,8332653.00,100568.00,PowerGrid
14-Feb-25,260.40,256.50,11339563.00,117604.00,PowerGrid
13-Feb-25,257.25,259.10,12257226.00,148296.00,PowerGrid
12-Feb-25,259.50,257.40,17861265.00,175992.00,PowerGrid
11-Feb-25,268.70,261.30,22083955.00,153679.00,PowerGrid
10-Feb-25,275.00,269.05,16709670.00,133404.00,PowerGrid
07-Feb-25,273.10,278.35,17193482.00,132937.00,PowerGrid
06-Feb-25,287.50,281.95,21418561.00,164226.00,PowerGrid
05-Feb-25,285.60,286.25,15337191.00,111471.00,PowerGrid
04-Feb-25,281.00,285.25,19836427.00,237543.00,PowerGrid
03-Feb-25,290.00,284.50,14978897.00,164409.00,PowerGrid
01-Feb-25,301.65,290.20,6945157.00,70895.00,PowerGrid
31-Jan-25,297.00,302.00,14141459.00,114347.00,PowerGrid
30-Jan-25,287.85,295.90,10969499.00,111486.00,PowerGrid
29-Jan-25,285.35,288.50,4800024.00,80548.00,PowerGrid
28-Jan-25,287.15,284.90,11298068.00,115211.00,PowerGrid
27-Jan-25,295.00,286.70,13477947.00,125241.00,PowerGrid
24-Jan-25,295.30,296.00,11142914.00,97257.00,PowerGrid
23-Jan-25,297.50,294.75,12228286.00,158656.00,PowerGrid
22-Jan-25,302.00,298.40,9723333.00,100658.00,PowerGrid
21-Jan-25,307.00,303.10,13911546.00,138065.00,PowerGrid
20-Jan-25,302.60,307.00,9435937.00,93962.00,PowerGrid
17-Jan-25,297.65,303.15,7593230.00,98025.00,PowerGrid
16-Jan-25,299.00,298.40,11694289.00,120322.00,PowerGrid
15-Jan-25,295.00,298.60,12198882.00,147348.00,PowerGrid
14-Jan-25,287.75,292.00,15954608.00,157513.00,PowerGrid
13-Jan-25,295.00,287.45,19474228.00,202994.00,PowerGrid
10-Jan-25,304.05,299.60,6540783.00,100010.00,PowerGrid
09-Jan-25,306.65,305.50,8244909.00,112574.00,PowerGrid
08-Jan-25,306.15,305.60,6907996.00,92207.00,PowerGrid
07-Jan-25,306.00,305.10,10137739.00,120334.00,PowerGrid
06-Jan-25,315.80,306.60,6722495.00,107928.00,PowerGrid
03-Jan-25,316.35,315.80,7636948.00,78548.00,PowerGrid
02-Jan-25,309.85,315.05,10766571.00,119341.00,PowerGrid
01-Jan-25,308.70,310.90,4239498.00,147931.00,PowerGrid
31-Dec-24,307.35,309.30,8402716.00,79263.00,PowerGrid
30-Dec-24,309.00,310.40,12489142.00,75443.00,PowerGrid
27-Dec-24,310.75,309.50,3981693.00,68229.00,PowerGrid
26-Dec-24,310.10,310.70,3775101.00,78102.00,PowerGrid
24-Dec-24,314.10,310.00,4833589.00,80474.00,PowerGrid
23-Dec-24,318.00,315.25,5984169.00,88964.00,PowerGrid
20-Dec-24,321.30,315.75,13973399.00,126526.00,PowerGrid
19-Dec-24,318.00,322.80,10234715.00,102201.00,PowerGrid
18-Dec-24,328.00,321.70,15037099.00,109757.00,PowerGrid
17-Dec-24,332.50,330.10,17360248.00,95259.00,PowerGrid
16-Dec-24,333.85,334.75,12695136.00,111611.00,PowerGrid
13-Dec-24,330.65,334.10,14973536.00,140636.00,PowerGrid
12-Dec-24,328.00,329.90,10414162.00,100075.00,PowerGrid
11-Dec-24,327.25,327.60,5013051.00,65545.00,PowerGrid
10-Dec-24,331.85,328.00,14994365.00,90304.00,PowerGrid
09-Dec-24,327.75,329.45,9376929.00,80556.00,PowerGrid
06-Dec-24,327.10,329.25,8802058.00,81467.00,PowerGrid
05-Dec-24,325.00,328.55,19785053.00,158857.00,PowerGrid
04-Dec-24,329.05,325.30,17880011.00,128296.00,PowerGrid
03-Dec-24,324.25,329.90,23174488.00,144389.00,PowerGrid
02-Dec-24,328.15,328.35,16003524.00,95216.00,PowerGrid
29-Nov-24,331.35,329.15,13890537.00,118961.00,PowerGrid
28-Nov-24,339.25,334.30,16920231.00,164651.00,PowerGrid
27-Nov-24,337.25,338.50,12177260.00,102835.00,PowerGrid
26-Nov-24,342.00,337.90,13997179.00,136136.00,PowerGrid
25-Nov-24,341.85,343.30,29419152.00,174104.00,PowerGrid
22-Nov-24,325.80,336.00,31523269.00,172850.00,PowerGrid
21-Nov-24,316.00,325.30,25406386.00,208954.00,PowerGrid
19-Nov-24,313.05,314.20,13157158.00,145721.00,PowerGrid
18-Nov-24,314.00,312.00,9408101.00,122003.00,PowerGrid
14-Nov-24,315.10,312.60,12500377.00,137495.00,PowerGrid
13-Nov-24,322.65,319.00,12918639.00,171656.00,PowerGrid
12-Nov-24,331.50,322.65,12069181.00,113275.00,PowerGrid
11-Nov-24,313.55,330.00,22838987.00,165328.00,PowerGrid
08-Nov-24,311.85,314.50,15740539.00,114628.00,PowerGrid
07-Nov-24,319.00,312.35,14504208.00,146668.00,PowerGrid
06-Nov-24,317.40,318.00,11019250.00,95489.00,PowerGrid
05-Nov-24,312.35,316.65,7518195.00,73239.00,PowerGrid
04-Nov-24,324.55,314.95,9249409.00,165722.00,PowerGrid
01-Nov-24,322.45,321.95,847672.00,18303.00,PowerGrid
31-Oct-24,320.40,320.80,9900390.00,124543.00,PowerGrid
30-Oct-24,318.55,319.00,14498110.00,97783.00,PowerGrid
29-Oct-24,316.10,320.20,15856332.00,129134.00,PowerGrid
28-Oct-24,314.50,318.80,9610615.00,110362.00,PowerGrid
25-Oct-24,321.50,316.00,12979410.00,125463.00,PowerGrid
24-Oct-24,315.25,319.80,8327779.00,100869.00,PowerGrid
23-Oct-24,319.20,316.80,12541589.00,142210.00,PowerGrid
22-Oct-24,332.90,321.90,11219831.00,130615.00,PowerGrid
21-Oct-24,333.00,331.05,8745904.00,88710.00,PowerGrid
18-Oct-24,331.50,331.00,10569021.00,88141.00,PowerGrid
17-Oct-24,328.50,331.15,17039729.00,108917.00,PowerGrid
16-Oct-24,331.70,327.00,22085298.00,115660.00,PowerGrid
15-Oct-24,333.45,329.35,12415489.00,156174.00,PowerGrid
14-Oct-24,330.05,330.60,5944216.00,65300.00,PowerGrid
11-Oct-24,334.45,330.35,6098468.00,67966.00,PowerGrid
10-Oct-24,330.20,334.35,20773976.00,139173.00,PowerGrid
09-Oct-24,327.00,330.65,9228363.00,101203.00,PowerGrid
08-Oct-24,327.30,327.90,21148292.00,141448.00,PowerGrid
07-Oct-24,340.00,328.90,13851446.00,174358.00,PowerGrid
04-Oct-24,343.00,338.75,20121706.00,171005.00,PowerGrid
03-Oct-24,343.00,344.50,19350466.00,213898.00,PowerGrid
01-Oct-24,351.10,350.70,9856291.00,86652.00,PowerGrid
30-Sep-24,354.25,351.50,16356171.00,153190.00,PowerGrid
27-Sep-24,362.20,354.65,33148043.00,207371.00,PowerGrid
26-Sep-24,364.05,364.90,18733959.00,170122.00,PowerGrid
25-Sep-24,353.85,364.20,40770462.00,301981.00,PowerGrid
