Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1453.20,1454.80,9036695.00,196322.00,Reliance
15-May-25,1425.00,1453.00,20177211.00,314261.00,Reliance
14-May-25,1420.00,1425.20,5570160.00,145014.00,Reliance
13-May-25,1433.50,1416.50,11407896.00,281992.00,Reliance
12-May-25,1400.00,1436.90,10674081.00,310602.00,Reliance
09-May-25,1385.50,1379.50,13668904.00,388013.00,Reliance
08-May-25,1404.10,1398.00,16106175.00,231342.00,Reliance
07-May-25,1420.90,1405.90,13440169.00,222903.00,Reliance
06-May-25,1431.00,1418.00,14084117.00,226761.00,Reliance
05-May-25,1431.00,1430.00,12685649.00,204503.00,Reliance
02-May-25,1414.00,1422.50,17535402.00,378385.00,Reliance
30-Apr-25,1402.00,1395.00,25480745.00,598769.00,Reliance
29-Apr-25,1371.00,1398.90,32538970.00,680195.00,Reliance
28-Apr-25,1340.00,1366.30,31104496.00,893347.00,Reliance
25-Apr-25,1303.50,1301.00,14431012.00,307093.00,Reliance
24-Apr-25,1292.40,1303.50,10468940.00,181309.00,Reliance
23-Apr-25,1297.00,1297.00,10480888.00,232149.00,Reliance
22-Apr-25,1300.00,1289.00,13051707.00,229331.00,Reliance
21-Apr-25,1270.00,1295.20,10429964.00,257857.00,Reliance
17-Apr-25,1240.20,1273.00,15398401.00,321235.00,Reliance
16-Apr-25,1234.10,1238.00,8248464.00,164065.00,Reliance
15-Apr-25,1251.00,1239.60,13378535.00,199888.00,Reliance
11-Apr-25,1195.15,1220.00,11224242.00,187059.00,Reliance
09-Apr-25,1169.50,1187.50,10223104.00,193325.00,Reliance
08-Apr-25,1172.00,1181.05,19555040.00,314171.00,Reliance
07-Apr-25,1132.20,1171.25,22156106.00,677564.00,Reliance
04-Apr-25,1241.10,1205.90,17908652.00,542347.00,Reliance
03-Apr-25,1233.05,1248.50,7434366.00,146316.00,Reliance
02-Apr-25,1247.55,1252.00,10142590.00,177979.00,Reliance
01-Apr-25,1264.60,1254.00,12099648.00,260862.00,Reliance
28-Mar-25,1280.00,1274.00,18147129.00,265113.00,Reliance
27-Mar-25,1278.15,1280.00,15028056.00,224828.00,Reliance
26-Mar-25,1291.00,1270.90,12074747.00,292138.00,Reliance
25-Mar-25,1307.70,1285.25,13713899.00,271251.00,Reliance
24-Mar-25,1291.00,1302.65,20299319.00,347056.00,Reliance
21-Mar-25,1275.00,1277.50,21780769.00,230001.00,Reliance
20-Mar-25,1251.85,1268.20,15971477.00,219527.00,Reliance
19-Mar-25,1241.05,1248.00,16162399.00,217782.00,Reliance
18-Mar-25,1244.70,1239.95,15745877.00,312315.00,Reliance
17-Mar-25,1242.15,1241.55,16640952.00,269824.00,Reliance
13-Mar-25,1260.05,1246.65,9505270.00,194588.00,Reliance
12-Mar-25,1258.00,1255.95,11977555.00,161536.00,Reliance
11-Mar-25,1240.00,1247.25,10089838.00,155065.00,Reliance
10-Mar-25,1245.00,1237.70,11931051.00,288299.00,Reliance
07-Mar-25,1216.00,1246.40,16474965.00,424924.00,Reliance
06-Mar-25,1197.00,1211.50,14468014.00,250467.00,Reliance
05-Mar-25,1161.00,1177.15,8664095.00,196774.00,Reliance
04-Mar-25,1162.20,1160.45,11377373.00,275459.00,Reliance
03-Mar-25,1204.00,1174.00,17944938.00,682013.00,Reliance
28-Feb-25,1202.00,1198.00,23007298.00,355378.00,Reliance
27-Feb-25,1212.80,1208.00,11509215.00,236188.00,Reliance
25-Feb-25,1211.00,1202.00,11552182.00,213192.00,Reliance
24-Feb-25,1216.55,1215.00,7172498.00,200264.00,Reliance
21-Feb-25,1228.70,1226.90,6904025.00,213824.00,Reliance
20-Feb-25,1223.95,1232.00,7795582.00,162561.00,Reliance
19-Feb-25,1219.50,1226.30,6217338.00,178165.00,Reliance
18-Feb-25,1224.85,1223.95,6673250.00,181273.00,Reliance
17-Feb-25,1211.10,1225.45,8166683.00,220670.00,Reliance
14-Feb-25,1219.00,1214.75,10298145.00,202314.00,Reliance
13-Feb-25,1217.05,1216.20,8511216.00,266249.00,Reliance
12-Feb-25,1219.45,1217.05,21131654.00,404276.00,Reliance
11-Feb-25,1264.55,1237.55,8859714.00,240683.00,Reliance
10-Feb-25,1264.50,1254.65,6970972.00,173316.00,Reliance
07-Feb-25,1276.15,1266.50,8764283.00,174531.00,Reliance
06-Feb-25,1273.70,1283.00,9956001.00,217888.00,Reliance
