Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,804.00,792.50,14733924.00,241785.00,Sbin
15-May-25,804.45,808.00,17058854.00,200305.00,Sbin
14-May-25,805.75,802.40,9281719.00,146698.00,Sbin
13-May-25,798.60,801.95,13909596.00,201551.00,Sbin
12-May-25,799.00,800.95,15096824.00,173252.00,Sbin
09-May-25,756.50,780.50,13578216.00,246098.00,Sbin
08-May-25,779.00,765.45,14491673.00,202239.00,Sbin
07-May-25,765.30,777.80,15586266.00,254691.00,Sbin
06-May-25,793.95,772.80,18869468.00,344651.00,Sbin
05-May-25,782.00,790.60,23986447.00,422162.00,Sbin
02-May-25,790.35,799.80,17199386.00,281692.00,Sbin
30-Apr-25,811.50,787.60,25635764.00,476377.00,Sbin
29-Apr-25,820.00,810.75,11283059.00,231689.00,Sbin
28-Apr-25,798.65,816.55,11317611.00,199250.00,Sbin
25-Apr-25,815.00,797.40,13131038.00,223526.00,Sbin
24-Apr-25,812.75,812.00,12713521.00,141306.00,Sbin
23-Apr-25,826.00,813.50,12104382.00,174170.00,Sbin
22-Apr-25,821.15,821.30,25117557.00,323370.00,Sbin
21-Apr-25,803.00,817.20,16398507.00,359684.00,Sbin
17-Apr-25,772.00,793.85,27034818.00,335841.00,Sbin
16-Apr-25,763.50,772.15,12536694.00,204698.00,Sbin
15-Apr-25,770.00,764.50,7859090.00,167851.00,Sbin
11-Apr-25,759.00,753.85,9360327.00,200062.00,Sbin
09-Apr-25,767.00,742.45,11319387.00,208433.00,Sbin
08-Apr-25,760.00,770.00,12911288.00,212013.00,Sbin
07-Apr-25,730.00,749.00,14923235.00,291536.00,Sbin
04-Apr-25,779.10,769.00,8231194.00,147204.00,Sbin
03-Apr-25,770.00,779.90,7956680.00,140239.00,Sbin
02-Apr-25,772.30,776.60,5458436.00,119114.00,Sbin
01-Apr-25,766.80,771.25,7011125.00,214639.00,Sbin
28-Mar-25,772.10,771.20,7628185.00,119920.00,Sbin
27-Mar-25,763.80,772.05,15648616.00,175954.00,Sbin
26-Mar-25,772.00,762.70,7711852.00,195361.00,Sbin
25-Mar-25,783.90,770.35,15190143.00,227394.00,Sbin
24-Mar-25,758.00,781.00,12095064.00,215047.00,Sbin
21-Mar-25,749.95,754.50,9577327.00,151097.00,Sbin
20-Mar-25,748.00,748.50,6963197.00,230012.00,Sbin
19-Mar-25,739.60,745.05,7604850.00,143607.00,Sbin
18-Mar-25,726.60,737.65,8087710.00,164100.00,Sbin
17-Mar-25,728.90,723.30,5149565.00,100779.00,Sbin
13-Mar-25,725.90,728.00,5908337.00,154692.00,Sbin
12-Mar-25,730.60,722.75,5547762.00,109147.00,Sbin
11-Mar-25,724.90,729.90,5538789.00,106128.00,Sbin
10-Mar-25,732.75,727.70,7400109.00,140264.00,Sbin
07-Mar-25,732.05,731.95,7246729.00,169004.00,Sbin
06-Mar-25,736.00,730.25,10928847.00,211006.00,Sbin
05-Mar-25,717.55,730.00,10409805.00,189027.00,Sbin
04-Mar-25,693.00,716.40,14386214.00,220118.00,Sbin
03-Mar-25,690.15,696.15,10598479.00,187766.00,Sbin
28-Feb-25,700.90,689.80,15780609.00,252397.00,Sbin
27-Feb-25,716.00,702.30,12033139.00,205060.00,Sbin
25-Feb-25,718.95,710.05,8599635.00,185705.00,Sbin
24-Feb-25,710.50,716.20,6912148.00,193311.00,Sbin
21-Feb-25,727.30,720.35,6571602.00,173223.00,Sbin
20-Feb-25,724.90,728.85,7423268.00,149827.00,Sbin
