Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1790.00,1773.80,696146.00,38370.00,Sbi_Life
15-May-25,1757.70,1782.00,1318425.00,83158.00,Sbi_Life
14-May-25,1741.00,1757.80,603108.00,41177.00,Sbi_Life
13-May-25,1742.70,1738.70,478541.00,49453.00,Sbi_Life
12-May-25,1725.00,1746.00,728808.00,46401.00,Sbi_Life
09-May-25,1706.00,1699.60,1076900.00,52598.00,Sbi_Life
08-May-25,1741.30,1723.00,1107891.00,65207.00,Sbi_Life
07-May-25,1714.00,1741.10,753313.00,61184.00,Sbi_Life
06-May-25,1770.00,1725.10,1295777.00,52237.00,Sbi_Life
05-May-25,1773.00,1770.00,947983.00,39005.00,Sbi_Life
02-May-25,1761.00,1756.80,1418603.00,68417.00,Sbi_Life
30-Apr-25,1722.00,1761.30,2031563.00,75207.00,Sbi_Life
29-Apr-25,1733.90,1724.40,2049847.00,115093.00,Sbi_Life
28-Apr-25,1690.00,1721.00,2100813.00,76678.00,Sbi_Life
25-Apr-25,1723.50,1691.00,10321746.00,309253.00,Sbi_Life
24-Apr-25,1612.90,1615.00,857476.00,53482.00,Sbi_Life
23-Apr-25,1625.00,1622.00,1136215.00,39314.00,Sbi_Life
22-Apr-25,1627.80,1619.60,1102055.00,53311.00,Sbi_Life
21-Apr-25,1618.00,1630.10,1016066.00,46762.00,Sbi_Life
17-Apr-25,1558.00,1607.50,1500299.00,72000.00,Sbi_Life
16-Apr-25,1548.50,1564.50,784495.00,46125.00,Sbi_Life
15-Apr-25,1555.50,1563.00,1363406.00,64637.00,Sbi_Life
11-Apr-25,1539.00,1526.00,1134200.00,49862.00,Sbi_Life
09-Apr-25,1488.00,1482.70,1047950.00,55214.00,Sbi_Life
08-Apr-25,1490.00,1493.50,2142568.00,63151.00,Sbi_Life
07-Apr-25,1450.00,1468.00,916977.00,90177.00,Sbi_Life
04-Apr-25,1536.35,1512.05,826558.00,41817.00,Sbi_Life
03-Apr-25,1546.00,1546.40,373548.00,30140.00,Sbi_Life
02-Apr-25,1543.00,1556.25,1876774.00,69169.00,Sbi_Life
01-Apr-25,1537.75,1542.30,937836.00,39487.00,Sbi_Life
28-Mar-25,1544.90,1550.00,1120169.00,67232.00,Sbi_Life
27-Mar-25,1541.40,1550.00,1405775.00,106259.00,Sbi_Life
26-Mar-25,1564.30,1545.00,1106876.00,68842.00,Sbi_Life
25-Mar-25,1577.65,1555.45,1241287.00,71962.00,Sbi_Life
24-Mar-25,1550.00,1573.30,1229003.00,58261.00,Sbi_Life
21-Mar-25,1500.00,1549.75,1977397.00,62621.00,Sbi_Life
20-Mar-25,1492.00,1500.60,798992.00,50984.00,Sbi_Life
19-Mar-25,1457.95,1487.00,917293.00,48777.00,Sbi_Life
18-Mar-25,1452.70,1457.80,656130.00,44826.00,Sbi_Life
17-Mar-25,1392.00,1439.50,1352197.00,74420.00,Sbi_Life
13-Mar-25,1411.70,1390.00,911321.00,49868.00,Sbi_Life
12-Mar-25,1425.00,1407.20,734156.00,40071.00,Sbi_Life
11-Mar-25,1403.00,1417.55,691907.00,32617.00,Sbi_Life
10-Mar-25,1419.00,1412.10,1092967.00,50286.00,Sbi_Life
07-Mar-25,1421.35,1412.00,901496.00,52959.00,Sbi_Life
06-Mar-25,1417.10,1419.95,1606815.00,85730.00,Sbi_Life
05-Mar-25,1391.15,1416.60,1118219.00,65394.00,Sbi_Life
04-Mar-25,1392.20,1393.00,977231.00,64929.00,Sbi_Life
03-Mar-25,1432.55,1412.00,1056418.00,81563.00,Sbi_Life
28-Feb-25,1460.00,1429.65,2397364.00,119406.00,Sbi_Life
27-Feb-25,1464.00,1462.05,1421562.00,67407.00,Sbi_Life
25-Feb-25,1480.00,1473.30,964505.00,67150.00,Sbi_Life
24-Feb-25,1480.00,1484.00,1116079.00,75169.00,Sbi_Life
21-Feb-25,1469.70,1480.55,1051158.00,64165.00,Sbi_Life
20-Feb-25,1473.00,1470.00,346720.00,31671.00,Sbi_Life
19-Feb-25,1475.00,1481.00,391966.00,28228.00,Sbi_Life
18-Feb-25,1476.25,1475.00,679042.00,38339.00,Sbi_Life
17-Feb-25,1460.50,1474.15,717439.00,66583.00,Sbi_Life
14-Feb-25,1470.50,1462.60,625676.00,54330.00,Sbi_Life
13-Feb-25,1452.15,1467.35,983142.00,96810.00,Sbi_Life
12-Feb-25,1427.45,1448.00,1590502.00,126750.00,Sbi_Life
11-Feb-25,1448.20,1420.00,1448104.00,92488.00,Sbi_Life
10-Feb-25,1462.90,1445.50,530759.00,61954.00,Sbi_Life
07-Feb-25,1472.45,1470.00,562410.00,51080.00,Sbi_Life
06-Feb-25,1470.00,1466.25,1510856.00,139723.00,Sbi_Life
05-Feb-25,1472.40,1466.05,791375.00,71031.00,Sbi_Life
04-Feb-25,1461.25,1471.95,614905.00,39019.00,Sbi_Life
03-Feb-25,1434.35,1458.30,1127198.00,96463.00,Sbi_Life
01-Feb-25,1475.60,1445.00,4329907.00,123865.00,Sbi_Life
