Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,674.00,666.30,5415727.00,94920.00,Shriram_Fin
15-May-25,654.80,674.00,9817422.00,191235.00,Shriram_Fin
14-May-25,639.50,651.00,9324793.00,132383.00,Shriram_Fin
13-May-25,641.60,633.30,5748439.00,108889.00,Shriram_Fin
12-May-25,611.05,644.50,9560644.00,151295.00,Shriram_Fin
09-May-25,600.00,603.00,5637324.00,150680.00,Shriram_Fin
08-May-25,635.00,608.10,10052396.00,173406.00,Shriram_Fin
07-May-25,618.20,635.00,5983998.00,93820.00,Shriram_Fin
06-May-25,628.80,621.20,5098276.00,92181.00,Shriram_Fin
05-May-25,610.15,629.80,8616953.00,109570.00,Shriram_Fin
02-May-25,611.70,603.50,9193181.00,148407.00,Shriram_Fin
30-Apr-25,614.70,609.00,7374108.00,157474.00,Shriram_Fin
29-Apr-25,625.00,612.95,10387632.00,161036.00,Shriram_Fin
28-Apr-25,622.70,621.60,32221482.00,413827.00,Shriram_Fin
25-Apr-25,698.90,640.00,9784886.00,179191.00,Shriram_Fin
24-Apr-25,704.00,698.90,5010172.00,101839.00,Shriram_Fin
23-Apr-25,709.50,702.00,5442424.00,122277.00,Shriram_Fin
22-Apr-25,703.00,700.05,3672514.00,113274.00,Shriram_Fin
21-Apr-25,698.75,703.00,6740583.00,141245.00,Shriram_Fin
17-Apr-25,677.00,690.00,5771289.00,115239.00,Shriram_Fin
16-Apr-25,672.65,675.00,6571065.00,118485.00,Shriram_Fin
15-Apr-25,651.95,671.85,6085948.00,128907.00,Shriram_Fin
11-Apr-25,627.00,637.50,7102851.00,114415.00,Shriram_Fin
09-Apr-25,647.95,624.75,9235529.00,208861.00,Shriram_Fin
08-Apr-25,623.70,646.00,10415072.00,181964.00,Shriram_Fin
07-Apr-25,596.00,619.00,15188995.00,243610.00,Shriram_Fin
04-Apr-25,655.50,652.70,5191619.00,111836.00,Shriram_Fin
03-Apr-25,633.00,654.10,3704676.00,90494.00,Shriram_Fin
02-Apr-25,640.00,640.25,4387926.00,78176.00,Shriram_Fin
01-Apr-25,652.00,637.85,7600903.00,137524.00,Shriram_Fin
28-Mar-25,682.00,656.25,6806264.00,143261.00,Shriram_Fin
27-Mar-25,670.00,682.60,4628163.00,118330.00,Shriram_Fin
26-Mar-25,678.80,673.45,4792266.00,109222.00,Shriram_Fin
25-Mar-25,688.00,674.50,5257157.00,103521.00,Shriram_Fin
24-Mar-25,677.00,680.60,4983671.00,114504.00,Shriram_Fin
21-Mar-25,669.05,676.10,6365496.00,100233.00,Shriram_Fin
20-Mar-25,690.00,666.30,8747482.00,174271.00,Shriram_Fin
19-Mar-25,645.70,667.40,9823834.00,146566.00,Shriram_Fin
18-Mar-25,630.00,641.95,6915463.00,107477.00,Shriram_Fin
17-Mar-25,613.40,624.00,4548325.00,87310.00,Shriram_Fin
13-Mar-25,638.00,620.00,5273706.00,111278.00,Shriram_Fin
12-Mar-25,639.00,636.25,5378060.00,96621.00,Shriram_Fin
11-Mar-25,624.20,639.10,6734891.00,111211.00,Shriram_Fin
10-Mar-25,631.55,625.00,4906168.00,137154.00,Shriram_Fin
07-Mar-25,644.35,631.00,5829062.00,125152.00,Shriram_Fin
06-Mar-25,638.80,644.00,8075827.00,196836.00,Shriram_Fin
05-Mar-25,626.60,632.00,9532495.00,134593.00,Shriram_Fin
04-Mar-25,618.60,633.90,5369562.00,98602.00,Shriram_Fin
03-Mar-25,625.30,622.25,10284029.00,175679.00,Shriram_Fin
28-Feb-25,609.95,619.00,23771834.00,297239.00,Shriram_Fin
27-Feb-25,581.30,604.00,17099035.00,346226.00,Shriram_Fin
25-Feb-25,581.80,575.20,6222936.00,140745.00,Shriram_Fin
24-Feb-25,576.00,577.65,4523171.00,81729.00,Shriram_Fin
21-Feb-25,580.85,581.50,9328402.00,176766.00,Shriram_Fin
20-Feb-25,557.00,580.10,7590778.00,129766.00,Shriram_Fin
19-Feb-25,547.80,556.50,4066886.00,84793.00,Shriram_Fin
18-Feb-25,550.95,551.50,2988732.00,69873.00,Shriram_Fin
17-Feb-25,537.00,550.45,4397756.00,166392.00,Shriram_Fin
14-Feb-25,550.95,536.55,6763071.00,131417.00,Shriram_Fin
13-Feb-25,547.00,548.00,5723009.00,145840.00,Shriram_Fin
12-Feb-25,538.55,548.60,5467745.00,120776.00,Shriram_Fin
11-Feb-25,566.00,535.50,6416783.00,118718.00,Shriram_Fin
10-Feb-25,561.70,561.25,4253881.00,149336.00,Shriram_Fin
07-Feb-25,567.90,560.60,5747620.00,136541.00,Shriram_Fin
06-Feb-25,570.00,567.90,6345455.00,142820.00,Shriram_Fin
05-Feb-25,577.00,570.00,6953215.00,155604.00,Shriram_Fin
04-Feb-25,556.00,577.00,12290382.00,248330.00,Shriram_Fin
03-Feb-25,525.00,548.05,7442129.00,127110.00,Shriram_Fin
01-Feb-25,547.90,530.70,3874882.00,89497.00,Shriram_Fin
31-Jan-25,546.40,545.55,4058608.00,106229.00,Shriram_Fin
30-Jan-25,553.50,540.85,7172857.00,154818.00,Shriram_Fin
29-Jan-25,531.15,551.20,9135552.00,155809.00,Shriram_Fin
28-Jan-25,520.05,529.85,16222471.00,233667.00,Shriram_Fin
27-Jan-25,525.90,510.45,8523575.00,237542.00,Shriram_Fin
24-Jan-25,531.95,524.65,7602501.00,212237.00,Shriram_Fin
23-Jan-25,518.65,531.00,5150004.00,111854.00,Shriram_Fin
22-Jan-25,520.35,522.30,5895189.00,151000.00,Shriram_Fin
21-Jan-25,518.00,520.05,7753705.00,188110.00,Shriram_Fin
20-Jan-25,511.00,516.10,12701612.00,217012.00,Shriram_Fin
17-Jan-25,546.55,526.50,5347916.00,145101.00,Shriram_Fin
16-Jan-25,535.55,546.95,6194466.00,199472.00,Shriram_Fin
15-Jan-25,545.00,534.45,4072535.00,130639.00,Shriram_Fin
