Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1740.00,1730.00,1448249.00,92593.00,Sun_Pharma
15-May-25,1701.10,1738.30,3880385.00,146890.00,Sun_Pharma
14-May-25,1702.00,1710.20,1639324.00,82274.00,Sun_Pharma
13-May-25,1711.00,1702.20,6988329.00,258135.00,Sun_Pharma
12-May-25,1695.70,1689.90,9221075.00,278210.00,Sun_Pharma
09-May-25,1751.90,1748.00,1148956.00,72955.00,Sun_Pharma
08-May-25,1781.30,1755.00,2647871.00,113625.00,Sun_Pharma
07-May-25,1817.90,1780.90,2015237.00,80343.00,Sun_Pharma
06-May-25,1820.00,1819.00,1414772.00,61418.00,Sun_Pharma
05-May-25,1827.80,1834.20,1219830.00,65058.00,Sun_Pharma
02-May-25,1832.30,1825.00,2310897.00,101579.00,Sun_Pharma
30-Apr-25,1810.00,1821.60,2667314.00,99419.00,Sun_Pharma
29-Apr-25,1845.00,1800.20,2886160.00,125295.00,Sun_Pharma
28-Apr-25,1787.40,1842.20,3216482.00,114701.00,Sun_Pharma
25-Apr-25,1806.00,1781.80,2036801.00,88999.00,Sun_Pharma
24-Apr-25,1790.00,1806.90,2101177.00,82971.00,Sun_Pharma
23-Apr-25,1754.20,1785.20,1471029.00,60572.00,Sun_Pharma
22-Apr-25,1751.00,1748.40,961907.00,51087.00,Sun_Pharma
21-Apr-25,1761.00,1746.40,1539511.00,68239.00,Sun_Pharma
17-Apr-25,1695.00,1757.00,2683908.00,115404.00,Sun_Pharma
16-Apr-25,1691.10,1691.00,2205374.00,106358.00,Sun_Pharma
15-Apr-25,1720.00,1705.20,1993085.00,82756.00,Sun_Pharma
11-Apr-25,1710.00,1687.90,3801939.00,244225.00,Sun_Pharma
09-Apr-25,1650.00,1651.75,3481864.00,152924.00,Sun_Pharma
08-Apr-25,1645.00,1691.00,2807382.00,115400.00,Sun_Pharma
07-Apr-25,1620.10,1677.10,5715334.00,221015.00,Sun_Pharma
04-Apr-25,1778.85,1705.00,5345276.00,228975.00,Sun_Pharma
03-Apr-25,1755.00,1772.00,5715573.00,228089.00,Sun_Pharma
02-Apr-25,1695.00,1713.95,3369489.00,109070.00,Sun_Pharma
01-Apr-25,1731.00,1698.30,4142445.00,177054.00,Sun_Pharma
28-Mar-25,1731.45,1733.95,1956781.00,81975.00,Sun_Pharma
27-Mar-25,1751.00,1734.35,3279881.00,137932.00,Sun_Pharma
26-Mar-25,1767.95,1750.05,1762361.00,94260.00,Sun_Pharma
25-Mar-25,1784.80,1761.00,1471028.00,86803.00,Sun_Pharma
24-Mar-25,1794.50,1784.00,1182084.00,73428.00,Sun_Pharma
21-Mar-25,1759.00,1790.00,2483162.00,91718.00,Sun_Pharma
20-Mar-25,1735.65,1754.00,1602232.00,90275.00,Sun_Pharma
19-Mar-25,1747.80,1732.65,2167448.00,104318.00,Sun_Pharma
18-Mar-25,1714.35,1748.75,2730980.00,92703.00,Sun_Pharma
17-Mar-25,1694.05,1703.90,2588408.00,126527.00,Sun_Pharma
13-Mar-25,1672.00,1679.85,1666929.00,99956.00,Sun_Pharma
12-Mar-25,1662.00,1675.00,2389362.00,123342.00,Sun_Pharma
11-Mar-25,1616.10,1657.00,3325416.00,118882.00,Sun_Pharma
10-Mar-25,1621.95,1610.00,1600589.00,70049.00,Sun_Pharma
07-Mar-25,1624.00,1607.00,980890.00,51154.00,Sun_Pharma
06-Mar-25,1598.25,1615.00,2458676.00,162041.00,Sun_Pharma
05-Mar-25,1564.60,1575.40,2428171.00,146455.00,Sun_Pharma
04-Mar-25,1585.00,1565.00,1717135.00,97950.00,Sun_Pharma
03-Mar-25,1585.30,1584.00,1425492.00,115852.00,Sun_Pharma
28-Feb-25,1671.00,1590.00,3549979.00,121234.00,Sun_Pharma
27-Feb-25,1628.95,1642.00,2744489.00,175577.00,Sun_Pharma
25-Feb-25,1639.50,1611.55,2836717.00,170963.00,Sun_Pharma
24-Feb-25,1629.75,1636.85,2357441.00,156933.00,Sun_Pharma
21-Feb-25,1678.05,1638.00,2244190.00,94096.00,Sun_Pharma
20-Feb-25,1667.15,1671.00,1670915.00,68447.00,Sun_Pharma
19-Feb-25,1665.10,1677.65,2576319.00,115915.00,Sun_Pharma
18-Feb-25,1714.20,1699.95,2163972.00,92879.00,Sun_Pharma
17-Feb-25,1700.50,1711.15,2277889.00,139350.00,Sun_Pharma
14-Feb-25,1747.35,1702.00,2123774.00,112475.00,Sun_Pharma
13-Feb-25,1700.00,1745.00,2750390.00,166093.00,Sun_Pharma
12-Feb-25,1706.45,1690.05,1757284.00,115784.00,Sun_Pharma
11-Feb-25,1725.20,1701.60,2779274.00,125678.00,Sun_Pharma
