Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1154.90,1170.00,1336653.00,53338.00,TataConsum
15-May-25,1120.40,1146.00,2064096.00,90774.00,TataConsum
14-May-25,1118.60,1120.50,1386813.00,51043.00,TataConsum
13-May-25,1145.30,1120.60,1096797.00,50065.00,TataConsum
12-May-25,1123.00,1144.50,748637.00,39678.00,TataConsum
09-May-25,1098.00,1111.00,815694.00,43786.00,TataConsum
08-May-25,1136.00,1113.60,2692162.00,100148.00,TataConsum
07-May-25,1140.00,1145.50,1792683.00,54089.00,TataConsum
06-May-25,1161.50,1154.00,1382140.00,51329.00,TataConsum
05-May-25,1155.50,1163.40,1359727.00,65349.00,TataConsum
02-May-25,1157.00,1153.00,1042342.00,50602.00,TataConsum
30-Apr-25,1174.70,1160.00,1477319.00,64157.00,TataConsum
29-Apr-25,1155.20,1171.00,1439143.00,72564.00,TataConsum
28-Apr-25,1146.10,1154.00,663435.00,45266.00,TataConsum
25-Apr-25,1160.20,1149.00,1451946.00,78220.00,TataConsum
24-Apr-25,1151.00,1160.90,5766752.00,193964.00,TataConsum
23-Apr-25,1143.00,1145.00,1760325.00,63417.00,TataConsum
22-Apr-25,1121.70,1138.60,1231830.00,59611.00,TataConsum
21-Apr-25,1120.20,1121.70,692767.00,36968.00,TataConsum
17-Apr-25,1104.00,1119.00,1541674.00,79947.00,TataConsum
16-Apr-25,1094.10,1106.00,679360.00,34203.00,TataConsum
15-Apr-25,1108.30,1102.70,1023355.00,39828.00,TataConsum
11-Apr-25,1125.00,1100.00,1888677.00,60151.00,TataConsum
09-Apr-25,1062.00,1087.55,2274161.00,84220.00,TataConsum
08-Apr-25,1056.00,1067.10,1444712.00,65161.00,TataConsum
07-Apr-25,1019.00,1048.00,3200820.00,133539.00,TataConsum
04-Apr-25,1065.45,1088.00,4089261.00,117334.00,TataConsum
03-Apr-25,1049.90,1068.65,1595000.00,56627.00,TataConsum
02-Apr-25,1018.00,1060.80,8717812.00,219419.00,TataConsum
01-Apr-25,1003.00,992.40,1045548.00,37298.00,TataConsum
28-Mar-25,975.50,1001.90,2313101.00,93268.00,TataConsum
27-Mar-25,963.00,977.45,2585170.00,69685.00,TataConsum
26-Mar-25,975.00,956.95,1399118.00,59811.00,TataConsum
