Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,730.00,731.10,20631512.00,301374.00,TataMotors
15-May-25,698.75,729.00,28634074.00,368702.00,TataMotors
14-May-25,690.00,700.20,31505402.00,529955.00,TataMotors
13-May-25,720.80,708.30,16125700.00,268737.00,TataMotors
12-May-25,728.00,719.70,20133616.00,261307.00,TataMotors
09-May-25,667.50,709.00,40183276.00,523258.00,TataMotors
08-May-25,700.00,680.40,29315465.00,366175.00,TataMotors
07-May-25,642.00,681.80,30390515.00,366513.00,TataMotors
06-May-25,661.55,647.55,12718175.00,235348.00,TataMotors
05-May-25,662.95,662.20,8868484.00,159988.00,TataMotors
02-May-25,641.00,652.00,13141726.00,244150.00,TataMotors
30-Apr-25,667.00,643.50,19485917.00,311644.00,TataMotors
29-Apr-25,671.45,667.30,13754685.00,224042.00,TataMotors
28-Apr-25,654.30,668.00,10243493.00,168942.00,TataMotors
25-Apr-25,668.35,654.15,13207043.00,221114.00,TataMotors
24-Apr-25,660.10,667.90,15172229.00,196582.00,TataMotors
23-Apr-25,635.95,658.85,23390570.00,321330.00,TataMotors
22-Apr-25,630.25,630.50,10292748.00,190303.00,TataMotors
21-Apr-25,624.60,630.25,12785568.00,216143.00,TataMotors
17-Apr-25,616.05,621.00,14342652.00,238642.00,TataMotors
16-Apr-25,625.00,616.10,12318376.00,239397.00,TataMotors
15-Apr-25,614.00,622.50,19722072.00,270996.00,TataMotors
11-Apr-25,610.00,596.00,21055814.00,329700.00,TataMotors
09-Apr-25,588.00,584.50,17483412.00,250692.00,TataMotors
08-Apr-25,591.20,589.90,20987855.00,348681.00,TataMotors
07-Apr-25,560.50,581.10,49463598.00,835816.00,TataMotors
04-Apr-25,650.00,615.10,26621179.00,591360.00,TataMotors
03-Apr-25,660.00,655.55,13473832.00,295801.00,TataMotors
02-Apr-25,674.95,672.20,8025225.00,134666.00,TataMotors
01-Apr-25,670.55,672.00,9594669.00,205820.00,TataMotors
28-Mar-25,671.85,673.25,16013687.00,223287.00,TataMotors
27-Mar-25,668.00,669.50,34238666.00,678323.00,TataMotors
26-Mar-25,710.30,707.40,9363180.00,162046.00,TataMotors
25-Mar-25,719.00,707.50,13617465.00,276282.00,TataMotors
24-Mar-25,710.00,713.90,11671359.00,234530.00,TataMotors
21-Mar-25,693.00,702.50,14823483.00,178336.00,TataMotors
20-Mar-25,685.00,689.50,9712600.00,166825.00,TataMotors
19-Mar-25,685.40,681.05,9338414.00,181525.00,TataMotors
18-Mar-25,665.00,678.80,11236084.00,201406.00,TataMotors
17-Mar-25,665.05,660.10,9174408.00,180213.00,TataMotors
13-Mar-25,670.65,654.70,14004345.00,208418.00,TataMotors
12-Mar-25,654.50,668.15,18732785.00,293574.00,TataMotors
11-Mar-25,640.00,648.90,9534750.00,173182.00,TataMotors
10-Mar-25,648.30,646.25,10309166.00,191705.00,TataMotors
07-Mar-25,640.00,647.50,10123450.00,188802.00,TataMotors
06-Mar-25,653.25,638.90,16991501.00,306481.00,TataMotors
05-Mar-25,619.00,641.60,12373061.00,254485.00,TataMotors
04-Mar-25,613.45,619.50,11878225.00,250241.00,TataMotors
03-Mar-25,620.65,621.40,18362700.00,351446.00,TataMotors
28-Feb-25,645.00,620.70,20477619.00,466703.00,TataMotors
27-Feb-25,662.00,647.75,12281857.00,254682.00,TataMotors
25-Feb-25,667.75,660.30,10251257.00,240289.00,TataMotors
24-Feb-25,670.00,668.05,8861769.00,230767.00,TataMotors
21-Feb-25,686.00,672.40,14577524.00,290871.00,TataMotors
20-Feb-25,680.00,688.40,8673335.00,189589.00,TataMotors
19-Feb-25,681.75,681.00,9986815.00,235012.00,TataMotors
18-Feb-25,686.60,682.50,7810143.00,195803.00,TataMotors
17-Feb-25,678.00,686.95,10313575.00,264623.00,TataMotors
