Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,157.35,157.40,22884754.00,162033.00,TataSteel
15-May-25,155.50,157.19,57066105.00,273956.00,TataSteel
14-May-25,151.00,155.30,60002060.00,290806.00,TataSteel
13-May-25,152.00,149.60,54389876.00,266505.00,TataSteel
12-May-25,145.61,150.95,47087413.00,233295.00,TataSteel
09-May-25,140.99,142.80,21875453.00,145961.00,TataSteel
08-May-25,146.00,143.28,29687927.00,154433.00,TataSteel
07-May-25,142.20,145.70,34674594.00,192575.00,TataSteel
06-May-25,142.08,144.03,42658262.00,230798.00,TataSteel
05-May-25,141.57,142.10,17213477.00,110720.00,TataSteel
02-May-25,140.00,141.01,34852288.00,213141.00,TataSteel
30-Apr-25,141.45,139.56,29205042.00,149767.00,TataSteel
29-Apr-25,142.07,141.56,25758449.00,162820.00,TataSteel
28-Apr-25,138.54,141.99,26971589.00,160043.00,TataSteel
25-Apr-25,142.00,138.54,37764696.00,198899.00,TataSteel
24-Apr-25,140.70,141.44,23061444.00,126453.00,TataSteel
23-Apr-25,139.39,140.70,37851304.00,200342.00,TataSteel
22-Apr-25,142.00,137.97,58429662.00,230625.00,TataSteel
21-Apr-25,137.65,139.50,26503486.00,207964.00,TataSteel
17-Apr-25,134.40,137.24,62282856.00,362747.00,TataSteel
16-Apr-25,136.41,137.10,42684087.00,196883.00,TataSteel
15-Apr-25,135.60,136.70,38967608.00,236436.00,TataSteel
11-Apr-25,134.67,133.47,73706472.00,349444.00,TataSteel
09-Apr-25,130.00,127.35,73399980.00,426871.00,TataSteel
08-Apr-25,134.89,130.05,68999181.00,360513.00,TataSteel
07-Apr-25,128.00,130.20,121806340.00,607208.00,TataSteel
04-Apr-25,152.62,140.67,80846143.00,439854.00,TataSteel
03-Apr-25,153.00,153.85,15117526.00,110552.00,TataSteel
02-Apr-25,154.00,154.84,24977582.00,122844.00,TataSteel
01-Apr-25,152.07,153.25,29142122.00,151632.00,TataSteel
28-Mar-25,155.38,153.98,24589315.00,105656.00,TataSteel
27-Mar-25,154.80,155.36,25909068.00,136794.00,TataSteel
26-Mar-25,156.20,155.07,23182869.00,142138.00,TataSteel
25-Mar-25,159.00,156.27,28467187.00,182282.00,TataSteel
24-Mar-25,158.00,158.29,30905773.00,154989.00,TataSteel
21-Mar-25,159.03,157.08,49184821.00,154615.00,TataSteel
20-Mar-25,160.00,159.03,39889517.00,193466.00,TataSteel
19-Mar-25,156.80,158.54,66161413.00,362436.00,TataSteel
18-Mar-25,153.00,154.60,38125586.00,277281.00,TataSteel
17-Mar-25,151.99,152.01,35879781.00,191938.00,TataSteel
13-Mar-25,152.00,150.70,48286431.00,206875.00,TataSteel
12-Mar-25,151.00,150.28,26377549.00,152112.00,TataSteel
11-Mar-25,148.10,150.83,35916900.00,182888.00,TataSteel
10-Mar-25,151.56,150.65,54450331.00,272383.00,TataSteel
07-Mar-25,149.74,151.50,81821791.00,298325.00,TataSteel
06-Mar-25,146.79,149.74,79121467.00,348979.00,TataSteel
05-Mar-25,139.00,145.68,62109377.00,384142.00,TataSteel
04-Mar-25,136.15,139.29,28634645.00,173877.00,TataSteel
03-Mar-25,137.00,138.32,31154401.00,228959.00,TataSteel
28-Feb-25,137.80,137.16,45540594.00,270079.00,TataSteel
27-Feb-25,137.21,138.80,30747044.00,177643.00,TataSteel
25-Feb-25,138.49,137.00,23575603.00,202741.00,TataSteel
24-Feb-25,138.81,137.39,25193205.00,194696.00,TataSteel
21-Feb-25,137.91,140.60,41987785.00,258806.00,TataSteel
20-Feb-25,135.27,138.00,24139808.00,175522.00,TataSteel
19-Feb-25,134.50,135.80,18447487.00,142282.00,TataSteel
18-Feb-25,134.29,134.16,23957576.00,144444.00,TataSteel
17-Feb-25,132.91,134.31,21189637.00,194558.00,TataSteel
14-Feb-25,136.25,134.02,41469242.00,224745.00,TataSteel
13-Feb-25,132.28,136.41,52036196.00,240088.00,TataSteel
12-Feb-25,129.35,132.25,37927696.00,219471.00,TataSteel
11-Feb-25,133.00,130.20,23635428.00,189150.00,TataSteel
10-Feb-25,138.10,133.91,26120805.00,188430.00,TataSteel
07-Feb-25,133.30,138.16,52950146.00,278840.00,TataSteel
06-Feb-25,134.50,132.65,22408168.00,152707.00,TataSteel
05-Feb-25,133.15,134.34,16958362.00,150442.00,TataSteel
04-Feb-25,132.80,133.10,25032519.00,173008.00,TataSteel
03-Feb-25,131.29,131.52,27765357.00,217595.00,TataSteel
01-Feb-25,135.00,133.00,21173846.00,122582.00,TataSteel
31-Jan-25,131.12,134.90,26689228.00,170870.00,TataSteel
30-Jan-25,130.80,131.80,25256096.00,152907.00,TataSteel
29-Jan-25,129.00,131.00,16674706.00,151765.00,TataSteel
28-Jan-25,126.37,128.95,40373804.00,280931.00,TataSteel
27-Jan-25,129.02,126.55,24650571.00,192562.00,TataSteel
24-Jan-25,130.50,130.50,37092106.00,232578.00,TataSteel
23-Jan-25,127.85,130.65,20722538.00,149396.00,TataSteel
22-Jan-25,130.25,128.85,27505569.00,196312.00,TataSteel
21-Jan-25,132.06,129.78,32238213.00,216078.00,TataSteel
20-Jan-25,130.99,131.47,20571916.00,173350.00,TataSteel
17-Jan-25,127.90,130.15,27421959.00,208791.00,TataSteel
16-Jan-25,128.00,127.70,22164393.00,176428.00,TataSteel
15-Jan-25,128.00,126.60,18773125.00,196481.00,TataSteel
14-Jan-25,122.94,127.22,36877365.00,253782.00,TataSteel
13-Jan-25,126.00,122.80,38968332.00,330215.00,TataSteel
10-Jan-25,129.93,127.78,34855510.00,261109.00,TataSteel
09-Jan-25,132.00,130.12,31903107.00,252233.00,TataSteel
08-Jan-25,133.93,132.55,31570331.00,262476.00,TataSteel
07-Jan-25,132.78,133.18,24239451.00,193472.00,TataSteel
06-Jan-25,138.36,132.00,44620509.00,389702.00,TataSteel
03-Jan-25,138.18,138.33,23351832.00,174962.00,TataSteel
02-Jan-25,137.00,138.00,23388424.00,212832.00,TataSteel
01-Jan-25,138.10,136.87,18169498.00,167193.00,TataSteel
31-Dec-24,136.87,138.10,20080291.00,184867.00,TataSteel
30-Dec-24,138.91,137.50,32555723.00,208126.00,TataSteel
27-Dec-24,140.70,138.97,19562177.00,167507.00,TataSteel
26-Dec-24,140.95,140.60,23939932.00,176823.00,TataSteel
24-Dec-24,141.20,140.90,25882917.00,220844.00,TataSteel
23-Dec-24,142.45,141.81,27514178.00,180882.00,TataSteel
20-Dec-24,142.89,140.45,46503449.00,239716.00,TataSteel
19-Dec-24,141.55,143.14,27104579.00,176879.00,TataSteel
18-Dec-24,146.00,144.54,19850229.00,170033.00,TataSteel
17-Dec-24,147.79,145.65,27110781.00,178654.00,TataSteel
16-Dec-24,148.94,147.80,22634773.00,134545.00,TataSteel
13-Dec-24,150.00,148.80,39701388.00,244523.00,TataSteel
12-Dec-24,150.87,150.40,25761723.00,210043.00,TataSteel
11-Dec-24,150.59,150.65,20499709.00,154183.00,TataSteel
10-Dec-24,150.19,150.38,36278104.00,198144.00,TataSteel
09-Dec-24,148.29,149.70,39059139.00,213740.00,TataSteel
06-Dec-24,147.50,148.10,30604899.00,152986.00,TataSteel
05-Dec-24,146.50,147.11,36328245.00,320660.00,TataSteel
04-Dec-24,147.00,145.89,38537808.00,293458.00,TataSteel
03-Dec-24,146.75,146.60,35527228.00,256795.00,TataSteel
02-Dec-24,144.11,146.36,23840351.00,178524.00,TataSteel
29-Nov-24,143.90,144.45,29742979.00,180493.00,TataSteel
28-Nov-24,144.00,143.63,30947861.00,267599.00,TataSteel
27-Nov-24,144.31,144.64,24895631.00,171733.00,TataSteel
26-Nov-24,144.22,144.42,25608469.00,140188.00,TataSteel
25-Nov-24,144.94,143.87,53883890.00,194245.00,TataSteel
22-Nov-24,140.15,142.55,43710169.00,218947.00,TataSteel
21-Nov-24,139.50,140.00,58398744.00,307883.00,TataSteel
19-Nov-24,142.00,139.58,37611903.00,210103.00,TataSteel
18-Nov-24,139.49,141.20,40233848.00,269998.00,TataSteel
14-Nov-24,139.71,138.10,36345184.00,292008.00,TataSteel
13-Nov-24,143.60,139.69,57609083.00,428370.00,TataSteel
12-Nov-24,145.65,143.90,28861672.00,246899.00,TataSteel
11-Nov-24,147.57,145.30,47497863.00,315622.00,TataSteel
08-Nov-24,152.00,147.30,61980989.00,288855.00,TataSteel
07-Nov-24,156.11,151.15,88254789.00,373011.00,TataSteel
06-Nov-24,154.00,153.81,48928986.00,261381.00,TataSteel
05-Nov-24,147.00,152.45,42772283.00,244601.00,TataSteel
04-Nov-24,150.00,147.10,25571021.00,287395.00,TataSteel
01-Nov-24,149.66,149.70,5106804.00,90862.00,TataSteel
31-Oct-24,149.08,148.33,26383702.00,192116.00,TataSteel
30-Oct-24,148.10,148.85,21362130.00,179907.00,TataSteel
29-Oct-24,149.85,150.10,32258407.00,278118.00,TataSteel
28-Oct-24,146.00,149.50,28386897.00,202518.00,TataSteel
25-Oct-24,149.00,146.25,39730802.00,302722.00,TataSteel
24-Oct-24,149.49,149.06,22115070.00,209076.00,TataSteel
23-Oct-24,150.30,148.69,42107893.00,245073.00,TataSteel
22-Oct-24,154.90,150.90,39079846.00,228867.00,TataSteel
21-Oct-24,156.10,155.00,25799090.00,196995.00,TataSteel
18-Oct-24,152.40,155.50,34750795.00,212619.00,TataSteel
17-Oct-24,155.65,152.50,28404223.00,187556.00,TataSteel
16-Oct-24,155.19,155.10,28518262.00,214491.00,TataSteel
15-Oct-24,159.50,155.66,38964393.00,261649.00,TataSteel
14-Oct-24,161.88,158.29,35566857.00,236374.00,TataSteel
11-Oct-24,159.30,160.85,53263433.00,231565.00,TataSteel
10-Oct-24,158.30,159.99,46507936.00,285169.00,TataSteel
09-Oct-24,159.52,158.30,42766218.00,247518.00,TataSteel
08-Oct-24,163.00,159.89,74956764.00,492897.00,TataSteel
07-Oct-24,167.10,164.08,48775098.00,374772.00,TataSteel
04-Oct-24,167.00,166.92,53880875.00,325032.00,TataSteel
03-Oct-24,165.50,166.99,75959797.00,475585.00,TataSteel
01-Oct-24,169.49,166.70,50761579.00,285911.00,TataSteel
30-Sep-24,167.50,168.11,92381529.00,440055.00,TataSteel
27-Sep-24,167.00,166.13,72795668.00,390367.00,TataSteel
26-Sep-24,162.00,165.41,88661662.00,402853.00,TataSteel
25-Sep-24,161.50,161.53,58044967.00,345741.00,TataSteel
24-Sep-24,155.15,160.65,137414352.00,560847.00,TataSteel
23-Sep-24,154.38,153.85,33281905.00,232550.00,TataSteel
20-Sep-24,151.00,152.10,53873369.00,275747.00,TataSteel
19-Sep-24,151.89,150.08,36913781.00,276513.00,TataSteel
18-Sep-24,152.40,150.55,24856345.00,193657.00,TataSteel
17-Sep-24,154.00,152.70,18275113.00,170530.00,TataSteel
16-Sep-24,155.00,154.15,32575460.00,220809.00,TataSteel
13-Sep-24,152.78,153.40,54894255.00,307875.00,TataSteel
12-Sep-24,152.00,151.80,73191476.00,394657.00,TataSteel
11-Sep-24,149.90,148.38,24633287.00,214629.00,TataSteel
10-Sep-24,150.50,149.59,41607844.00,303910.00,TataSteel
09-Sep-24,150.90,149.50,32624586.00,374794.00,TataSteel
06-Sep-24,151.94,151.25,30709532.00,244219.00,TataSteel
05-Sep-24,151.00,152.03,28347324.00,204493.00,TataSteel
04-Sep-24,149.50,150.95,39613696.00,271132.00,TataSteel
03-Sep-24,152.84,152.28,19780066.00,217103.00,TataSteel
02-Sep-24,153.90,152.70,19200143.00,202414.00,TataSteel
30-Aug-24,153.00,153.30,55134023.00,238118.00,TataSteel
29-Aug-24,153.21,153.15,44452983.00,263576.00,TataSteel
28-Aug-24,154.70,153.65,25195197.00,200539.00,TataSteel
27-Aug-24,155.80,154.75,24523684.00,186818.00,TataSteel
26-Aug-24,154.61,155.90,32497603.00,223228.00,TataSteel
23-Aug-24,154.00,154.30,31490857.00,203065.00,TataSteel
22-Aug-24,152.51,154.00,36719176.00,247398.00,TataSteel
21-Aug-24,153.00,152.00,49749381.00,279210.00,TataSteel
20-Aug-24,155.70,153.85,37559016.00,251608.00,TataSteel
19-Aug-24,150.85,154.09,62889770.00,456383.00,TataSteel
16-Aug-24,148.00,149.50,54131721.00,359932.00,TataSteel
14-Aug-24,149.90,146.50,97911180.00,569116.00,TataSteel
13-Aug-24,152.10,148.90,29396493.00,300330.00,TataSteel
12-Aug-24,151.00,152.14,30550334.00,238401.00,TataSteel
09-Aug-24,153.00,151.70,23290101.00,259551.00,TataSteel
08-Aug-24,153.40,150.60,51858615.00,371279.00,TataSteel
07-Aug-24,153.70,154.15,32029697.00,309953.00,TataSteel
06-Aug-24,151.21,151.17,53507102.00,589379.00,TataSteel
05-Aug-24,153.66,149.34,102883971.00,917741.00,TataSteel
02-Aug-24,161.00,158.39,72427529.00,669777.00,TataSteel
01-Aug-24,168.20,163.07,118341338.00,512835.00,TataSteel
31-Jul-24,166.29,165.44,52769925.00,277640.00,TataSteel
30-Jul-24,162.90,164.55,42824600.00,309634.00,TataSteel
29-Jul-24,164.70,162.90,31754833.00,253901.00,TataSteel
26-Jul-24,158.75,162.62,45642032.00,292607.00,TataSteel
25-Jul-24,158.50,157.50,45155876.00,340737.00,TataSteel
24-Jul-24,160.02,160.20,28086566.00,224594.00,TataSteel
23-Jul-24,161.60,160.19,37077411.00,369290.00,TataSteel
22-Jul-24,158.40,160.69,40353690.00,388728.00,TataSteel
19-Jul-24,166.00,158.10,77987514.00,697738.00,TataSteel
18-Jul-24,167.61,166.45,36568852.00,344341.00,TataSteel
16-Jul-24,167.80,167.25,26506026.00,228148.00,TataSteel
15-Jul-24,168.69,167.10,32635187.00,325344.00,TataSteel
12-Jul-24,170.20,168.10,33311402.00,209844.00,TataSteel
11-Jul-24,170.00,169.45,33987236.00,328338.00,TataSteel
10-Jul-24,172.50,168.20,41525591.00,356940.00,TataSteel
09-Jul-24,173.60,171.94,25127904.00,360530.00,TataSteel
08-Jul-24,174.60,172.49,31479861.00,256103.00,TataSteel
05-Jul-24,176.20,175.00,38123217.00,262997.00,TataSteel
04-Jul-24,177.00,176.50,29504744.00,378450.00,TataSteel
03-Jul-24,174.54,176.38,29090492.00,339843.00,TataSteel
02-Jul-24,174.47,174.61,33359495.00,390213.00,TataSteel
01-Jul-24,174.50,174.25,27807688.00,260872.00,TataSteel
28-Jun-24,174.17,174.75,37521949.00,275273.00,TataSteel
27-Jun-24,172.56,174.35,49767976.00,349831.00,TataSteel
26-Jun-24,175.68,172.80,44006436.00,346807.00,TataSteel
25-Jun-24,177.99,175.86,30599989.00,325368.00,TataSteel
24-Jun-24,177.44,177.80,47597307.00,314462.00,TataSteel
21-Jun-24,179.40,179.94,65494855.00,284687.00,TataSteel
20-Jun-24,181.60,182.75,38837494.00,278129.00,TataSteel
19-Jun-24,182.45,180.07,27476795.00,197494.00,TataSteel
18-Jun-24,183.80,181.25,35032118.00,295636.00,TataSteel
14-Jun-24,182.95,182.90,28509237.00,232292.00,TataSteel
13-Jun-24,183.40,182.50,36669164.00,332013.00,TataSteel
12-Jun-24,182.25,182.47,33304643.00,254524.00,TataSteel
11-Jun-24,180.50,181.60,55555544.00,324246.00,TataSteel
10-Jun-24,180.21,180.45,74286848.00,320294.00,TataSteel
07-Jun-24,172.00,178.85,84319867.00,488851.00,TataSteel
06-Jun-24,170.00,172.15,57920819.00,502032.00,TataSteel
05-Jun-24,162.15,169.00,60098501.00,438996.00,TataSteel
04-Jun-24,174.50,160.00,125042158.00,784621.00,TataSteel
03-Jun-24,173.25,174.35,86397540.00,410714.00,TataSteel
31-May-24,166.05,167.45,83713848.00,359449.00,TataSteel
30-May-24,172.00,165.20,108813875.00,573678.00,TataSteel
29-May-24,174.75,174.00,36575550.00,182235.00,TataSteel
28-May-24,175.90,175.10,39208456.00,208812.00,TataSteel
27-May-24,177.70,175.70,30410585.00,201390.00,TataSteel
24-May-24,174.95,174.90,38674485.00,227760.00,TataSteel
23-May-24,173.05,175.15,49377680.00,259776.00,TataSteel
22-May-24,175.45,173.05,42919832.00,298848.00,TataSteel
21-May-24,168.50,174.00,84833644.00,450461.00,TataSteel
18-May-24,168.00,167.80,3601856.00,41951.00,TataSteel
17-May-24,166.60,167.20,39181277.00,207093.00,TataSteel
16-May-24,167.25,165.85,41126570.00,245941.00,TataSteel
