Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,3593.90,3561.30,1666727.00,117749.00,Tcs
15-May-25,3564.00,3576.50,3548330.00,172937.00,Tcs
14-May-25,3521.00,3547.00,2119499.00,136543.00,Tcs
13-May-25,3620.40,3518.00,3062887.00,221289.00,Tcs
12-May-25,3505.00,3626.50,2228678.00,146104.00,Tcs
09-May-25,3399.00,3439.90,2531757.00,151453.00,Tcs
08-May-25,3448.00,3434.20,2543591.00,116139.00,Tcs
07-May-25,3420.60,3448.00,1477128.00,89334.00,Tcs
06-May-25,3460.00,3451.60,1324763.00,65526.00,Tcs
05-May-25,3450.00,3454.60,1284443.00,96657.00,Tcs
02-May-25,3472.00,3438.00,2115624.00,124212.00,Tcs
30-Apr-25,3472.00,3431.80,2809332.00,129048.00,Tcs
29-Apr-25,3455.00,3473.00,1578332.00,95060.00,Tcs
28-Apr-25,3435.00,3441.00,1593296.00,94204.00,Tcs
25-Apr-25,3420.00,3434.00,2742991.00,151400.00,Tcs
24-Apr-25,3401.10,3406.00,2252175.00,158061.00,Tcs
23-Apr-25,3365.00,3405.00,3543923.00,164989.00,Tcs
22-Apr-25,3322.60,3312.50,2710498.00,151282.00,Tcs
21-Apr-25,3290.10,3319.00,2432946.00,127748.00,Tcs
17-Apr-25,3245.50,3297.40,2932346.00,183984.00,Tcs
16-Apr-25,3248.20,3274.00,2384391.00,131199.00,Tcs
15-Apr-25,3314.40,3255.00,3512160.00,166106.00,Tcs
11-Apr-25,3289.55,3238.00,7108961.00,354463.00,Tcs
09-Apr-25,3260.55,3239.00,2990265.00,184251.00,Tcs
08-Apr-25,3302.05,3292.80,5557558.00,236248.00,Tcs
07-Apr-25,3100.00,3285.00,6623955.00,386019.00,Tcs
04-Apr-25,3362.60,3304.85,5317367.00,216133.00,Tcs
03-Apr-25,3491.00,3403.30,4537821.00,248807.00,Tcs
02-Apr-25,3544.00,3545.00,1764313.00,80651.00,Tcs
01-Apr-25,3572.70,3556.45,2618493.00,167344.00,Tcs
28-Mar-25,3651.00,3604.00,2051919.00,129740.00,Tcs
27-Mar-25,3614.85,3645.00,2528474.00,125080.00,Tcs
26-Mar-25,3647.75,3630.55,1734499.00,141204.00,Tcs
25-Mar-25,3645.00,3641.00,3135390.00,181313.00,Tcs
24-Mar-25,3600.00,3633.00,1834751.00,107825.00,Tcs
21-Mar-25,3475.00,3578.00,4161925.00,188951.00,Tcs
20-Mar-25,3512.00,3556.50,2845192.00,156792.00,Tcs
19-Mar-25,3547.00,3505.00,3051244.00,181144.00,Tcs
18-Mar-25,3502.35,3545.65,3069109.00,139204.00,Tcs
17-Mar-25,3489.00,3499.90,2690906.00,171510.00,Tcs
13-Mar-25,3502.30,3509.05,1693004.00,98963.00,Tcs
12-Mar-25,3565.00,3507.80,3174167.00,175588.00,Tcs
11-Mar-25,3558.00,3585.00,1995450.00,142820.00,Tcs
10-Mar-25,3606.50,3589.00,1004626.00,75981.00,Tcs
07-Mar-25,3600.00,3602.00,2051315.00,131372.00,Tcs
06-Mar-25,3557.00,3592.10,2786513.00,201910.00,Tcs
05-Mar-25,3520.85,3557.00,2501894.00,145336.00,Tcs
04-Mar-25,3474.00,3533.00,2797737.00,157084.00,Tcs
03-Mar-25,3485.00,3506.00,4990439.00,248034.00,Tcs
28-Feb-25,3584.95,3478.00,7085018.00,340110.00,Tcs
27-Feb-25,3611.70,3608.05,3823856.00,212465.00,Tcs
25-Feb-25,3625.00,3627.00,4101954.00,198489.00,Tcs
24-Feb-25,3743.15,3671.00,2508516.00,172279.00,Tcs
21-Feb-25,3776.10,3789.90,1833931.00,125392.00,Tcs
20-Feb-25,3761.50,3788.00,2888572.00,184053.00,Tcs
19-Feb-25,3872.20,3785.00,4366672.00,229923.00,Tcs
18-Feb-25,3898.40,3873.00,2149879.00,135773.00,Tcs
17-Feb-25,3856.50,3908.00,1799806.00,168626.00,Tcs
14-Feb-25,3925.00,3928.00,1681975.00,163805.00,Tcs
13-Feb-25,3968.00,3920.00,2277310.00,163030.00,Tcs
12-Feb-25,3971.10,3956.25,1678002.00,128576.00,Tcs
11-Feb-25,4018.40,3967.00,1810908.00,121478.00,Tcs
10-Feb-25,4040.00,4034.00,1339511.00,133697.00,Tcs
07-Feb-25,4090.00,4032.00,1548940.00,177110.00,Tcs
06-Feb-25,4105.40,4087.00,2284536.00,183903.00,Tcs
05-Feb-25,4150.00,4086.00,1693912.00,130235.00,Tcs
04-Feb-25,4083.70,4105.15,2547132.00,141942.00,Tcs
03-Feb-25,4030.90,4064.00,1265713.00,155134.00,Tcs
01-Feb-25,4113.00,4073.00,437172.00,49186.00,Tcs
31-Jan-25,4110.00,4114.15,1492943.00,121858.00,Tcs
30-Jan-25,4099.90,4100.00,1531251.00,97767.00,Tcs
29-Jan-25,4054.00,4105.00,1217089.00,108284.00,Tcs
28-Jan-25,4070.80,4040.00,2468272.00,150121.00,Tcs
27-Jan-25,4102.00,4067.00,1551782.00,143859.00,Tcs
24-Jan-25,4104.00,4153.10,1910099.00,99760.00,Tcs
23-Jan-25,4168.00,4148.00,1822998.00,139860.00,Tcs
22-Jan-25,4050.00,4152.00,2409223.00,153702.00,Tcs
21-Jan-25,4095.30,4038.00,1971591.00,148666.00,Tcs
20-Jan-25,4145.80,4080.00,1287799.00,148489.00,Tcs
17-Jan-25,4159.90,4130.00,1761466.00,157671.00,Tcs
16-Jan-25,4260.00,4215.00,2637705.00,176306.00,Tcs
15-Jan-25,4218.00,4255.40,1653474.00,130857.00,Tcs
14-Jan-25,4302.00,4241.15,3441709.00,180842.00,Tcs
13-Jan-25,4245.00,4299.00,4003771.00,270932.00,Tcs
10-Jan-25,4200.00,4265.00,7894300.00,436975.00,Tcs
