Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,1635.00,1616.80,1159095.00,86977.00,Tech_M
15-May-25,1606.00,1628.00,2972408.00,178333.00,Tech_M
14-May-25,1584.00,1607.40,2354571.00,104121.00,Tech_M
13-May-25,1600.30,1573.20,3724272.00,169200.00,Tech_M
12-May-25,1522.00,1573.80,1891418.00,67324.00,Tech_M
09-May-25,1480.00,1495.60,923174.00,65628.00,Tech_M
08-May-25,1500.90,1495.00,2829448.00,120610.00,Tech_M
07-May-25,1489.10,1495.10,1272555.00,92463.00,Tech_M
06-May-25,1496.90,1491.00,1545773.00,77791.00,Tech_M
05-May-25,1499.00,1495.00,846022.00,84085.00,Tech_M
02-May-25,1505.00,1490.80,1986072.00,124460.00,Tech_M
30-Apr-25,1495.30,1498.00,1858465.00,79655.00,Tech_M
29-Apr-25,1466.20,1495.00,2652788.00,129697.00,Tech_M
28-Apr-25,1469.30,1461.00,2079431.00,96087.00,Tech_M
25-Apr-25,1455.40,1460.00,8211667.00,222519.00,Tech_M
24-Apr-25,1445.00,1446.60,2501415.00,90271.00,Tech_M
23-Apr-25,1418.90,1442.00,5944062.00,206773.00,Tech_M
22-Apr-25,1374.00,1370.10,2471135.00,100032.00,Tech_M
21-Apr-25,1304.00,1374.00,3759267.00,129588.00,Tech_M
17-Apr-25,1295.10,1304.80,3027966.00,160106.00,Tech_M
16-Apr-25,1292.00,1308.10,1093342.00,71326.00,Tech_M
15-Apr-25,1314.20,1301.50,1511866.00,70533.00,Tech_M
11-Apr-25,1275.00,1284.20,1803181.00,66173.00,Tech_M
09-Apr-25,1290.00,1270.95,3724878.00,108434.00,Tech_M
08-Apr-25,1314.00,1314.85,2868814.00,110208.00,Tech_M
07-Apr-25,1245.00,1292.95,3044730.00,167830.00,Tech_M
04-Apr-25,1350.00,1322.00,1757493.00,71252.00,Tech_M
03-Apr-25,1397.00,1370.00,1943422.00,77358.00,Tech_M
02-Apr-25,1397.15,1424.50,1617949.00,67144.00,Tech_M
01-Apr-25,1402.00,1396.50,1578367.00,79294.00,Tech_M
28-Mar-25,1415.10,1415.00,1642693.00,64008.00,Tech_M
27-Mar-25,1407.15,1427.45,2541022.00,91437.00,Tech_M
26-Mar-25,1464.00,1410.50,2231144.00,112495.00,Tech_M
25-Mar-25,1474.00,1451.20,2056315.00,116579.00,Tech_M
24-Mar-25,1415.85,1459.95,3072831.00,73158.00,Tech_M
21-Mar-25,1390.05,1410.00,4056023.00,103150.00,Tech_M
20-Mar-25,1403.15,1410.85,2863413.00,68006.00,Tech_M
19-Mar-25,1430.65,1397.50,5557840.00,106005.00,Tech_M
18-Mar-25,1446.25,1432.90,3280540.00,73150.00,Tech_M
17-Mar-25,1442.95,1441.00,1747569.00,88260.00,Tech_M
13-Mar-25,1442.00,1438.00,995812.00,61351.00,Tech_M
12-Mar-25,1481.00,1437.15,2665932.00,145991.00,Tech_M
11-Mar-25,1464.50,1485.65,1769157.00,101859.00,Tech_M
10-Mar-25,1492.35,1485.80,798491.00,53138.00,Tech_M
07-Mar-25,1501.95,1492.00,893696.00,51654.00,Tech_M
06-Mar-25,1541.00,1501.90,2246380.00,95822.00,Tech_M
05-Mar-25,1488.25,1538.95,1967418.00,93873.00,Tech_M
04-Mar-25,1475.00,1487.50,2386196.00,97048.00,Tech_M
03-Mar-25,1500.00,1491.50,2851006.00,113917.00,Tech_M
28-Feb-25,1570.00,1485.95,4155992.00,194565.00,Tech_M
27-Feb-25,1575.00,1580.00,2208643.00,108994.00,Tech_M
25-Feb-25,1608.05,1589.00,1425126.00,101524.00,Tech_M
24-Feb-25,1630.00,1611.80,1672609.00,89946.00,Tech_M
21-Feb-25,1657.75,1646.10,1479239.00,91559.00,Tech_M
20-Feb-25,1680.00,1657.00,1485087.00,68067.00,Tech_M
