Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,3654.00,3633.20,525064.00,40579.00,Titan
15-May-25,3597.00,3628.80,1227751.00,98154.00,Titan
14-May-25,3555.00,3585.20,588159.00,49709.00,Titan
13-May-25,3562.90,3556.00,996541.00,91133.00,Titan
12-May-25,3537.20,3567.00,956930.00,79243.00,Titan
09-May-25,3367.00,3509.90,2863992.00,204685.00,Titan
08-May-25,3349.90,3345.00,1597339.00,111344.00,Titan
07-May-25,3280.00,3338.00,1047443.00,69814.00,Titan
06-May-25,3321.80,3291.00,650789.00,63207.00,Titan
05-May-25,3357.70,3315.00,565178.00,51968.00,Titan
02-May-25,3362.10,3330.00,668467.00,80561.00,Titan
30-Apr-25,3374.00,3356.30,708818.00,56811.00,Titan
29-Apr-25,3375.90,3375.20,575435.00,57300.00,Titan
28-Apr-25,3356.00,3369.90,384147.00,44189.00,Titan
25-Apr-25,3382.60,3357.00,704325.00,56990.00,Titan
24-Apr-25,3356.80,3387.00,901747.00,55946.00,Titan
23-Apr-25,3357.00,3350.30,628656.00,57955.00,Titan
22-Apr-25,3336.10,3341.30,609213.00,53198.00,Titan
21-Apr-25,3314.00,3345.00,672129.00,65177.00,Titan
17-Apr-25,3250.00,3322.00,1083612.00,98982.00,Titan
16-Apr-25,3250.00,3269.70,889943.00,90706.00,Titan
15-Apr-25,3270.00,3271.00,1121769.00,79464.00,Titan
11-Apr-25,3222.00,3234.00,814920.00,80813.00,Titan
09-Apr-25,3137.85,3178.95,1215988.00,144003.00,Titan
08-Apr-25,3149.70,3124.35,2830156.00,187521.00,Titan
07-Apr-25,2925.00,3046.10,1378989.00,120442.00,Titan
04-Apr-25,3099.00,3078.00,901801.00,53461.00,Titan
03-Apr-25,3071.00,3125.00,1115568.00,68566.00,Titan
02-Apr-25,3011.00,3102.30,1674921.00,88599.00,Titan
01-Apr-25,3053.70,2988.45,1068622.00,101127.00,Titan
28-Mar-25,3094.00,3062.00,778417.00,64248.00,Titan
27-Mar-25,3047.55,3091.40,1635143.00,92761.00,Titan
26-Mar-25,3068.95,3060.00,1010449.00,85568.00,Titan
25-Mar-25,3085.00,3048.30,1174346.00,105972.00,Titan
