Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,5594.00,5589.50,808195.00,73942.00,Trent
15-May-25,5362.00,5565.50,1521892.00,144602.00,Trent
14-May-25,5340.00,5360.00,557468.00,65260.00,Trent
13-May-25,5444.00,5338.00,728870.00,78752.00,Trent
12-May-25,5330.00,5460.00,1203631.00,99818.00,Trent
09-May-25,5063.50,5121.50,778167.00,93180.00,Trent
08-May-25,5233.00,5183.00,926044.00,93452.00,Trent
07-May-25,5145.00,5229.00,711009.00,84497.00,Trent
06-May-25,5381.00,5220.00,709414.00,79574.00,Trent
05-May-25,5175.00,5380.00,1310015.00,102701.00,Trent
02-May-25,5172.50,5133.00,920201.00,100813.00,Trent
30-Apr-25,5435.00,5135.00,2709549.00,187605.00,Trent
29-Apr-25,5221.00,5510.00,1420743.00,120293.00,Trent
28-Apr-25,5124.50,5209.00,982085.00,79776.00,Trent
25-Apr-25,5334.00,5124.00,1030377.00,121287.00,Trent
24-Apr-25,5311.00,5320.00,1039905.00,103136.00,Trent
23-Apr-25,5350.50,5334.00,970478.00,98611.00,Trent
22-Apr-25,5379.00,5309.00,1166872.00,100057.00,Trent
21-Apr-25,5180.00,5352.00,1309441.00,114453.00,Trent
17-Apr-25,5052.00,5117.50,1464066.00,148117.00,Trent
16-Apr-25,4922.00,5042.00,1589998.00,142580.00,Trent
15-Apr-25,4879.00,4887.00,1587931.00,159023.00,Trent
11-Apr-25,4782.50,4785.00,1894062.00,150658.00,Trent
09-Apr-25,4767.00,4625.70,1598513.00,156575.00,Trent
08-Apr-25,4903.00,4760.00,3035242.00,220402.00,Trent
07-Apr-25,5006.60,4745.05,7644740.00,500834.00,Trent
04-Apr-25,5688.00,5567.90,680922.00,75498.00,Trent
03-Apr-25,5630.00,5666.00,960710.00,92359.00,Trent
02-Apr-25,5630.55,5666.30,1491897.00,110619.00,Trent
01-Apr-25,5350.85,5568.10,2260895.00,179166.00,Trent
28-Mar-25,5422.95,5306.05,1535964.00,129118.00,Trent
27-Mar-25,5359.00,5415.00,1670468.00,150239.00,Trent
26-Mar-25,5205.00,5308.00,1625697.00,136914.00,Trent
25-Mar-25,5121.45,5183.00,1461587.00,124423.00,Trent
24-Mar-25,5150.45,5063.00,908085.00,86001.00,Trent
21-Mar-25,5224.50,5138.00,1197537.00,103497.00,Trent
20-Mar-25,5247.00,5215.00,759448.00,104367.00,Trent
19-Mar-25,5276.05,5233.00,957079.00,100774.00,Trent
18-Mar-25,5185.30,5258.00,994888.00,90479.00,Trent
17-Mar-25,5022.40,5150.00,856529.00,93390.00,Trent
13-Mar-25,5030.00,5020.80,860279.00,81246.00,Trent
12-Mar-25,5010.60,5025.10,1026027.00,83968.00,Trent
11-Mar-25,4739.70,4998.00,1437957.00,138953.00,Trent
10-Mar-25,4990.00,4794.45,1217553.00,125557.00,Trent
07-Mar-25,5075.00,4990.00,690809.00,69686.00,Trent
06-Mar-25,5174.50,5048.90,1499675.00,155997.00,Trent
05-Mar-25,4987.00,5110.10,2128488.00,194701.00,Trent
04-Mar-25,4898.90,4984.30,898723.00,112939.00,Trent
03-Mar-25,4900.05,4952.60,1415550.00,124524.00,Trent
28-Feb-25,4760.00,4838.65,2178604.00,127092.00,Trent
27-Feb-25,4951.00,4780.00,997906.00,113060.00,Trent
25-Feb-25,5090.00,4944.00,976304.00,97538.00,Trent
24-Feb-25,4998.60,5050.65,823625.00,82188.00,Trent
21-Feb-25,5088.00,5032.00,912164.00,89955.00,Trent
20-Feb-25,4960.00,5093.90,812700.00,90315.00,Trent
19-Feb-25,4960.00,4975.00,764148.00,88104.00,Trent
18-Feb-25,5100.00,4986.00,721122.00,85687.00,Trent
17-Feb-25,5110.00,5100.00,1078162.00,107687.00,Trent
14-Feb-25,5268.00,5105.00,888168.00,110754.00,Trent
