Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,11950.00,11915.00,209706.00,58092.00,UltraCemCo
15-May-25,11672.00,11898.00,371371.00,85017.00,UltraCemCo
14-May-25,11676.00,11692.00,179337.00,37721.00,UltraCemCo
13-May-25,11700.00,11675.00,307678.00,73888.00,UltraCemCo
12-May-25,11590.00,11745.00,182795.00,42975.00,UltraCemCo
09-May-25,11480.00,11373.00,200270.00,44207.00,UltraCemCo
08-May-25,11601.00,11539.00,388912.00,68659.00,UltraCemCo
07-May-25,11651.00,11650.00,217460.00,46430.00,UltraCemCo
06-May-25,11699.00,11660.00,273048.00,44045.00,UltraCemCo
05-May-25,11702.00,11664.00,145699.00,34830.00,UltraCemCo
02-May-25,11641.00,11650.00,255248.00,54821.00,UltraCemCo
30-Apr-25,11869.00,11635.00,630392.00,84540.00,UltraCemCo
29-Apr-25,12201.00,11850.00,516495.00,81068.00,UltraCemCo
28-Apr-25,12232.00,12128.00,516745.00,85617.00,UltraCemCo
25-Apr-25,12149.00,12190.00,412558.00,74435.00,UltraCemCo
24-Apr-25,11877.00,12175.00,339743.00,61628.00,UltraCemCo
23-Apr-25,12040.00,11867.00,267717.00,52644.00,UltraCemCo
22-Apr-25,11934.00,11917.00,334667.00,51365.00,UltraCemCo
21-Apr-25,11816.00,11931.00,230595.00,48907.00,UltraCemCo
17-Apr-25,11667.00,11900.00,290473.00,73621.00,UltraCemCo
16-Apr-25,11667.00,11741.00,268150.00,44368.00,UltraCemCo
15-Apr-25,11749.00,11710.00,345260.00,73287.00,UltraCemCo
11-Apr-25,11842.35,11500.00,351037.00,60234.00,UltraCemCo
09-Apr-25,11288.85,11367.00,230611.00,38075.00,UltraCemCo
08-Apr-25,11317.75,11275.00,602120.00,98177.00,UltraCemCo
07-Apr-25,11200.00,11288.90,484513.00,92786.00,UltraCemCo
04-Apr-25,11599.00,11500.00,222191.00,42520.00,UltraCemCo
03-Apr-25,11189.00,11595.10,361884.00,51687.00,UltraCemCo
02-Apr-25,11360.00,11275.00,376468.00,53198.00,UltraCemCo
01-Apr-25,11350.00,11386.80,263144.00,51116.00,UltraCemCo
28-Mar-25,11585.50,11481.10,280960.00,49077.00,UltraCemCo
27-Mar-25,11400.50,11580.00,406112.00,81057.00,UltraCemCo
26-Mar-25,11381.00,11401.00,401569.00,56572.00,UltraCemCo
25-Mar-25,11240.00,11406.00,754457.00,107473.00,UltraCemCo
24-Mar-25,11018.95,11050.00,294688.00,40849.00,UltraCemCo
21-Mar-25,11019.00,10985.05,656565.00,52274.00,UltraCemCo
20-Mar-25,10931.15,10933.00,549251.00,69007.00,UltraCemCo
19-Mar-25,10710.00,10930.00,269175.00,43132.00,UltraCemCo
18-Mar-25,10570.00,10690.00,354620.00,66426.00,UltraCemCo
17-Mar-25,10546.50,10531.55,212061.00,42223.00,UltraCemCo
13-Mar-25,10520.00,10458.00,219474.00,36641.00,UltraCemCo
12-Mar-25,10480.00,10493.70,299765.00,46444.00,UltraCemCo
11-Mar-25,10411.00,10458.60,180753.00,38540.00,UltraCemCo
10-Mar-25,10589.00,10478.50,165649.00,29030.00,UltraCemCo
07-Mar-25,10501.00,10560.05,302339.00,55209.00,UltraCemCo
06-Mar-25,10539.80,10469.90,365920.00,78871.00,UltraCemCo
05-Mar-25,10387.90,10457.55,310832.00,71514.00,UltraCemCo
04-Mar-25,10250.00,10373.40,352922.00,66697.00,UltraCemCo
03-Mar-25,10319.25,10348.00,835344.00,101846.00,UltraCemCo
28-Feb-25,10490.00,10089.25,1230856.00,122882.00,UltraCemCo
27-Feb-25,10800.00,10450.00,1722295.00,166691.00,UltraCemCo
25-Feb-25,11042.65,10950.00,296499.00,59380.00,UltraCemCo
24-Feb-25,11008.65,11036.95,175294.00,47524.00,UltraCemCo
21-Feb-25,11265.00,11160.25,320240.00,69280.00,UltraCemCo
20-Feb-25,11291.10,11256.00,142187.00,32476.00,UltraCemCo
19-Feb-25,11290.00,11286.15,157580.00,34374.00,UltraCemCo
18-Feb-25,11450.00,11283.05,268795.00,43083.00,UltraCemCo
17-Feb-25,11219.00,11464.15,166053.00,40481.00,UltraCemCo
14-Feb-25,11589.00,11256.00,279199.00,50050.00,UltraCemCo
13-Feb-25,11500.00,11506.30,336128.00,82868.00,UltraCemCo
12-Feb-25,11300.00,11466.00,347198.00,74704.00,UltraCemCo
11-Feb-25,11497.00,11309.00,301338.00,69132.00,UltraCemCo
10-Feb-25,11520.00,11505.00,262455.00,47706.00,UltraCemCo
07-Feb-25,11501.10,11641.00,310549.00,78341.00,UltraCemCo
06-Feb-25,11577.20,11480.00,308664.00,66968.00,UltraCemCo
05-Feb-25,11519.10,11540.00,236897.00,45416.00,UltraCemCo
04-Feb-25,11200.10,11499.00,314752.00,73661.00,UltraCemCo
03-Feb-25,11120.25,11157.00,450593.00,54636.00,UltraCemCo
01-Feb-25,11544.90,11318.00,513602.00,79102.00,UltraCemCo
31-Jan-25,11488.65,11599.00,361656.00,52858.00,UltraCemCo
30-Jan-25,11544.85,11527.90,274820.00,51986.00,UltraCemCo
