Date ,OPEN ,ltp ,VOLUME ,No of trades ,stock_name
16-May-25,257.00,254.45,6640387.00,66512.00,Wipro
15-May-25,253.20,256.10,12083645.00,117124.00,Wipro
14-May-25,251.57,253.20,8839105.00,88004.00,Wipro
13-May-25,256.95,251.80,11714159.00,100429.00,Wipro
12-May-25,245.09,256.50,19791711.00,136844.00,Wipro
09-May-25,236.60,241.71,10582438.00,97358.00,Wipro
08-May-25,243.11,240.50,11434833.00,108236.00,Wipro
07-May-25,236.01,244.00,9130056.00,88615.00,Wipro
06-May-25,244.50,240.70,8869045.00,70760.00,Wipro
05-May-25,244.00,243.20,12170446.00,111265.00,Wipro
02-May-25,242.04,242.50,14411726.00,104403.00,Wipro
30-Apr-25,241.55,240.80,14206640.00,93233.00,Wipro
29-Apr-25,241.60,241.75,16647246.00,107681.00,Wipro
28-Apr-25,240.50,240.70,14218414.00,85423.00,Wipro
25-Apr-25,243.95,240.50,16620430.00,111293.00,Wipro
24-Apr-25,244.80,242.70,23000820.00,128941.00,Wipro
23-Apr-25,237.20,243.20,31898042.00,193934.00,Wipro
22-Apr-25,238.45,234.00,18367713.00,140022.00,Wipro
21-Apr-25,237.40,238.30,16298364.00,130844.00,Wipro
17-Apr-25,235.00,237.40,54875421.00,383213.00,Wipro
16-Apr-25,244.00,247.60,16203319.00,130894.00,Wipro
15-Apr-25,245.05,244.40,10694621.00,92233.00,Wipro
11-Apr-25,245.00,240.40,11205821.00,112385.00,Wipro
09-Apr-25,240.70,236.80,19063559.00,177126.00,Wipro
08-Apr-25,244.75,247.20,13806651.00,97863.00,Wipro
07-Apr-25,231.05,243.15,13011904.00,197179.00,Wipro
04-Apr-25,253.00,246.95,14639785.00,131920.00,Wipro
03-Apr-25,259.90,256.65,12262561.00,126957.00,Wipro
02-Apr-25,262.80,263.50,7136992.00,65188.00,Wipro
01-Apr-25,260.35,262.25,8388635.00,89708.00,Wipro
28-Mar-25,271.00,262.50,14283389.00,124803.00,Wipro
27-Mar-25,270.00,272.00,14783522.00,128142.00,Wipro
26-Mar-25,272.00,267.20,7308412.00,89521.00,Wipro
25-Mar-25,272.00,269.95,12563930.00,116461.00,Wipro
24-Mar-25,267.05,269.00,9269617.00,87706.00,Wipro
21-Mar-25,264.00,264.30,22659168.00,145333.00,Wipro
20-Mar-25,269.20,267.70,17038774.00,144401.00,Wipro
19-Mar-25,262.00,265.90,14044300.00,117529.00,Wipro
18-Mar-25,261.75,261.50,11450247.00,117088.00,Wipro
17-Mar-25,264.00,259.95,12697930.00,126107.00,Wipro
13-Mar-25,268.55,264.20,8683943.00,111642.00,Wipro
12-Mar-25,277.70,268.20,18584311.00,180741.00,Wipro
11-Mar-25,277.00,278.70,8602609.00,100269.00,Wipro
10-Mar-25,284.45,280.80,8165123.00,98734.00,Wipro
07-Mar-25,287.40,284.40,8097300.00,81562.00,Wipro
06-Mar-25,288.45,285.25,9782051.00,105031.00,Wipro
05-Mar-25,281.40,284.60,10285712.00,108693.00,Wipro
04-Mar-25,279.00,279.85,9331785.00,111451.00,Wipro
03-Mar-25,279.45,283.30,11471554.00,135618.00,Wipro
28-Feb-25,294.00,278.50,17458839.00,179013.00,Wipro
27-Feb-25,294.00,292.35,15555649.00,157896.00,Wipro
25-Feb-25,294.35,291.30,10810040.00,109038.00,Wipro
24-Feb-25,302.95,295.00,12600963.00,143817.00,Wipro
21-Feb-25,312.80,305.80,8722925.00,86732.00,Wipro
20-Feb-25,311.20,313.10,7697134.00,71909.00,Wipro
19-Feb-25,311.25,313.20,7835672.00,97876.00,Wipro
18-Feb-25,305.35,311.50,10368789.00,118208.00,Wipro
17-Feb-25,308.10,306.10,7507772.00,82489.00,Wipro
14-Feb-25,310.05,308.15,7371341.00,77927.00,Wipro
13-Feb-25,310.30,309.00,8832731.00,102188.00,Wipro
12-Feb-25,313.45,310.05,9668342.00,125445.00,Wipro
11-Feb-25,319.50,312.75,10627890.00,109307.00,Wipro
10-Feb-25,318.80,319.00,12304840.00,108216.00,Wipro
07-Feb-25,319.00,317.00,8589587.00,72987.00,Wipro
06-Feb-25,320.00,317.30,15062390.00,108568.00,Wipro
05-Feb-25,317.80,316.75,9628027.00,85969.00,Wipro
04-Feb-25,318.00,316.15,15366864.00,123243.00,Wipro
03-Feb-25,303.00,313.10,14877076.00,139269.00,Wipro
01-Feb-25,312.55,305.55,6046117.00,67619.00,Wipro
31-Jan-25,311.70,312.20,15597644.00,107818.00,Wipro
30-Jan-25,311.00,309.50,9984186.00,101415.00,Wipro
29-Jan-25,305.05,312.00,16338112.00,117876.00,Wipro
28-Jan-25,304.00,304.95,12077491.00,102233.00,Wipro
27-Jan-25,317.80,308.00,12372895.00,131012.00,Wipro
24-Jan-25,319.00,319.95,17479586.00,162614.00,Wipro
23-Jan-25,311.10,317.70,39904371.00,372523.00,Wipro
22-Jan-25,299.35,309.90,30859317.00,261178.00,Wipro
21-Jan-25,302.40,298.15,15619474.00,136792.00,Wipro
20-Jan-25,302.00,300.50,39380165.00,291765.00,Wipro
17-Jan-25,287.80,281.70,9358955.00,122143.00,Wipro
16-Jan-25,295.90,288.85,10345666.00,145955.00,Wipro
15-Jan-25,293.00,292.60,4662694.00,77903.00,Wipro
14-Jan-25,291.80,292.90,7670070.00,94571.00,Wipro
13-Jan-25,298.95,292.55,9541248.00,111331.00,Wipro
10-Jan-25,294.30,299.65,19505556.00,195857.00,Wipro
09-Jan-25,297.00,292.55,7964702.00,111802.00,Wipro
08-Jan-25,293.00,296.70,7937785.00,87090.00,Wipro
07-Jan-25,294.30,293.90,7381943.00,79777.00,Wipro
06-Jan-25,295.00,294.00,9173687.00,127575.00,Wipro
03-Jan-25,303.30,295.20,12535720.00,171050.00,Wipro
02-Jan-25,298.00,303.00,8800435.00,148575.00,Wipro
01-Jan-25,300.00,300.60,7878201.00,70506.00,Wipro
31-Dec-24,300.95,302.00,9337030.00,105060.00,Wipro
30-Dec-24,309.10,304.00,13709891.00,119604.00,Wipro
27-Dec-24,305.20,309.40,8063921.00,81568.00,Wipro
26-Dec-24,305.40,304.80,6516148.00,96741.00,Wipro
24-Dec-24,307.50,305.75,8837902.00,95955.00,Wipro
23-Dec-24,306.60,307.50,6693583.00,87521.00,Wipro
20-Dec-24,315.50,305.85,22214824.00,143471.00,Wipro
19-Dec-24,306.35,312.75,12405595.00,128282.00,Wipro
18-Dec-24,309.00,311.95,10965226.00,127057.00,Wipro
17-Dec-24,311.00,308.90,10568517.00,130871.00,Wipro
16-Dec-24,310.00,308.70,7221189.00,80436.00,Wipro
13-Dec-24,309.10,310.25,7382211.00,133262.00,Wipro
12-Dec-24,308.00,309.55,12958440.00,155980.00,Wipro
11-Dec-24,308.15,308.70,8608406.00,109206.00,Wipro
10-Dec-24,306.00,308.00,17028502.00,184274.00,Wipro
09-Dec-24,295.00,305.30,9285213.00,120217.00,Wipro
06-Dec-24,299.15,297.40,7894350.00,107637.00,Wipro
05-Dec-24,295.00,299.15,13487264.00,184617.00,Wipro
04-Dec-24,294.65,294.30,14036431.00,192217.00,Wipro
03-Dec-24,295.35,291.80,15445286.00,241078.00,Wipro
02-Dec-24,582.45,585.00,5597000.00,113636.00,Wipro
29-Nov-24,575.00,579.00,4270056.00,101163.00,Wipro
28-Nov-24,585.75,574.20,5948278.00,130985.00,Wipro
27-Nov-24,591.50,583.85,6829838.00,96998.00,Wipro
26-Nov-24,585.00,588.30,7885670.00,100727.00,Wipro
25-Nov-24,575.50,583.70,11648737.00,117152.00,Wipro
22-Nov-24,561.95,571.40,7366616.00,109184.00,Wipro
21-Nov-24,562.00,557.00,5836304.00,106572.00,Wipro
19-Nov-24,556.00,561.00,6459889.00,90880.00,Wipro
18-Nov-24,566.70,553.95,7644882.00,123477.00,Wipro
14-Nov-24,568.95,566.90,4891760.00,117854.00,Wipro
13-Nov-24,570.00,570.05,5695600.00,102437.00,Wipro
12-Nov-24,575.00,569.05,5630445.00,108985.00,Wipro
11-Nov-24,569.00,572.90,8069722.00,138522.00,Wipro
08-Nov-24,565.00,568.60,10426329.00,183221.00,Wipro
07-Nov-24,566.00,563.00,5998571.00,104332.00,Wipro
